basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20200414,011200,KR7011200003,HMM,KOSPI,3585,125,3.61,3425,3595,3425,2766846,9866888275,316552195,1134839619075
20200416,011200,KR7011200003,HMM,KOSPI,3705,120,3.35,3605,3765,3525,3209617,11779374360,316552195,1172825882475
20200417,011200,KR7011200003,HMM,KOSPI,3655,-50,-1.35,3725,3985,3635,5135984,19501575905,316552195,1156998272725
20200420,011200,KR7011200003,HMM,KOSPI,3750,95,2.6,3720,3810,3655,2419972,9038303070,316552195,1187070731250
20200421,011200,KR7011200003,HMM,KOSPI,3685,-65,-1.73,3755,3830,3455,3768430,13826891555,316552195,1166494838575
20200422,011200,KR7011200003,HMM,KOSPI,3650,-35,-.95,3600,3650,3530,1783288,6401817345,316552195,1155415511750
20200423,011200,KR7011200003,HMM,KOSPI,3680,30,.82,3750,3780,3660,2102806,7804178180,316552195,1164912077600
20200424,011200,KR7011200003,HMM,KOSPI,3710,30,.82,3880,3910,3585,5768258,21741438865,316552195,1174408643450
20200427,011200,KR7011200003,HMM,KOSPI,3670,-40,-1.08,3700,3730,3655,1292320,4755935185,316552195,1161746555650
20200428,011200,KR7011200003,HMM,KOSPI,3600,-70,-1.91,3685,3700,3570,1279489,4621463390,316552195,1139587902000
20200429,011200,KR7011200003,HMM,KOSPI,3610,10,.28,3570,3660,3570,1024170,3699948200,316552195,1142753423950
20200504,011200,KR7011200003,HMM,KOSPI,3505,-105,-2.91,3560,3590,3490,1295648,4593436275,316552195,1109515443475
20200506,011200,KR7011200003,HMM,KOSPI,3495,-10,-.29,3515,3575,3475,1222688,4286068500,316552195,1106349921525
20200507,011200,KR7011200003,HMM,KOSPI,3600,105,3,3485,3650,3470,1281810,4575667445,316552195,1139587902000
20200508,011200,KR7011200003,HMM,KOSPI,3645,45,1.25,3600,3670,3595,1058254,3842186855,316552195,1153832750775
20200511,011200,KR7011200003,HMM,KOSPI,3765,120,3.29,3700,3845,3695,3710016,14019740580,316552195,1191819014175
20200512,011200,KR7011200003,HMM,KOSPI,3705,-60,-1.59,3770,3780,3655,1236438,4569705240,316552195,1172825882475
20200513,011200,KR7011200003,HMM,KOSPI,3680,-25,-.67,3650,3710,3615,970572,3543870210,316552195,1164912077600
20200514,011200,KR7011200003,HMM,KOSPI,3695,15,.41,3680,3745,3620,1308450,4816156435,316552195,1169660360525
20200515,011200,KR7011200003,HMM,KOSPI,3735,40,1.08,3725,3740,3685,1452864,5399605435,316552195,1182322448325
20200518,011200,KR7011200003,HMM,KOSPI,3760,25,.67,3850,3870,3755,1936810,7345476655,316552195,1190236253200
20200519,011200,KR7011200003,HMM,KOSPI,3800,40,1.06,3810,3860,3790,1898938,7258254730,316552195,1202898341000
20200520,011200,KR7011200003,HMM,KOSPI,3795,-5,-.13,3805,3820,3750,1014561,3842959085,316552195,1201315580025
20200521,011200,KR7011200003,HMM,KOSPI,3825,30,.79,3850,3855,3800,1152598,4411743115,316552195,1210812145875
20200522,011200,KR7011200003,HMM,KOSPI,3995,170,4.44,3860,4270,3830,12795608,52368464065,316552195,1264626019025
20200525,011200,KR7011200003,HMM,KOSPI,4155,160,4.01,4065,4155,4020,3007002,12334341570,316552195,1315274370225
20200526,011200,KR7011200003,HMM,KOSPI,4465,310,7.46,4240,4490,4180,7337191,32160538690,316552195,1413405550675
20200527,011200,KR7011200003,HMM,KOSPI,4840,375,8.4,4575,5140,4570,15837049,76632026770,316552195,1532112623800
20200528,011200,KR7011200003,HMM,KOSPI,4685,-155,-3.2,4930,4930,4555,6527606,30835879240,316552195,1483047033575
20200529,011200,KR7011200003,HMM,KOSPI,4725,40,.85,4585,4885,4525,5255791,24838277215,316552195,1495709121375
20200601,011200,KR7011200003,HMM,KOSPI,4845,120,2.54,4885,4970,4785,3702570,18035553910,316552195,1533695384775
20200602,011200,KR7011200003,HMM,KOSPI,4895,50,1.03,4925,4925,4720,3199800,15491651130,316552195,1549522994525
20200603,011200,KR7011200003,HMM,KOSPI,5020,125,2.55,4910,5080,4890,5183013,25972581465,316552195,1589092018900
20200604,011200,KR7011200003,HMM,KOSPI,5520,500,9.96,5150,5600,5100,16221001,87790280390,316552195,1747368116400
20200605,011200,KR7011200003,HMM,KOSPI,5410,-110,-1.99,5520,5530,5300,5740875,30976785680,316552195,1712547374950
20200608,011200,KR7011200003,HMM,KOSPI,5240,-170,-3.14,5440,5450,5110,5561894,29097457460,316552195,1658733501800
20200609,011200,KR7011200003,HMM,KOSPI,5280,40,.76,5280,5380,5190,3604268,19041275980,316552195,1671395589600
20200610,011200,KR7011200003,HMM,KOSPI,5400,120,2.27,5280,5450,5230,4593961,24655400870,316552195,1709381853000
20200611,011200,KR7011200003,HMM,KOSPI,5570,170,3.15,5350,5680,5280,13085521,72340132240,316552195,1763195726150
20200612,011200,KR7011200003,HMM,KOSPI,5160,-410,-7.36,5040,5350,5040,8613229,44440502540,316552195,1633409326200
20200615,011200,KR7011200003,HMM,KOSPI,4750,-410,-7.95,5090,5190,4750,6954895,34573123615,316552195,1503622926250
20200616,011200,KR7011200003,HMM,KOSPI,4905,155,3.26,4900,5050,4830,4470077,21914363405,316552195,1552688516475
20200617,011200,KR7011200003,HMM,KOSPI,4780,-125,-2.55,4790,4880,4675,3824085,18327399455,316552195,1513119492100
20200618,011200,KR7011200003,HMM,KOSPI,4670,-110,-2.3,4780,4790,4630,3073664,14392201990,316552195,1478298750650
20200619,011200,KR7011200003,HMM,KOSPI,4655,-15,-.32,4770,4785,4530,3182172,14794011965,316552195,1473550467725
20200622,011200,KR7011200003,HMM,KOSPI,4480,-175,-3.76,4640,4640,4450,3162028,14322033435,316552195,1418153833600
20200623,011200,KR7011200003,HMM,KOSPI,4450,-30,-.67,4530,4660,4420,3420436,15413604300,316552195,1408657267750
20200624,011200,KR7011200003,HMM,KOSPI,4530,80,1.8,4505,4600,4475,2216186,10042801595,316552195,1433981443350
20200625,011200,KR7011200003,HMM,KOSPI,4320,-210,-4.64,4430,4450,4280,3123364,13597340035,316552195,1367505482400
20200626,011200,KR7011200003,HMM,KOSPI,4660,340,7.87,4400,4665,4325,3049102,13688889485,316552195,1475133228700
20200629,011200,KR7011200003,HMM,KOSPI,4720,60,1.29,4620,4830,4510,3651108,17153939880,316552195,1494126360400
20200630,011200,KR7011200003,HMM,KOSPI,4685,-35,-.74,4800,4800,4655,1962503,9244094390,316552195,1483047033575
20200701,011200,KR7011200003,HMM,KOSPI,4650,-35,-.75,4750,4770,4625,1610729,7572701195,316552195,1471967706750
20200702,011200,KR7011200003,HMM,KOSPI,4760,110,2.37,4690,4830,4675,2123961,10133691735,316552195,1506788448200
20200703,011200,KR7011200003,HMM,KOSPI,4925,165,3.47,4760,4950,4760,2515313,12248114740,316552195,1559019560375
20200706,011200,KR7011200003,HMM,KOSPI,4970,45,.91,4935,4980,4865,1606825,7944990905,316552195,1573264409150
20200707,011200,KR7011200003,HMM,KOSPI,4940,-30,-.6,4970,5080,4875,2188130,10909789860,316552195,1563767843300
20200708,011200,KR7011200003,HMM,KOSPI,4920,-20,-.4,4905,4980,4835,1561482,7641119980,316552195,1557436799400
20200709,011200,KR7011200003,HMM,KOSPI,4840,-80,-1.63,4915,4915,4835,1238219,6018924710,316552195,1532112623800
20200710,011200,KR7011200003,HMM,KOSPI,4715,-125,-2.58,4770,4825,4670,2115151,9975970990,316552195,1492543599425
20200713,011200,KR7011200003,HMM,KOSPI,4815,100,2.12,4715,4870,4715,1435549,6912530900,316552195,1524198818925
20200714,011200,KR7011200003,HMM,KOSPI,4970,155,3.22,4790,5020,4740,2511761,12348734530,316552195,1573264409150
20200715,011200,KR7011200003,HMM,KOSPI,4995,25,.5,5020,5080,4935,2067856,10341112865,316552195,1581178214025
20200716,011200,KR7011200003,HMM,KOSPI,5000,5,.1,5020,5080,4980,1576233,7896838835,316552195,1582760975000
20200717,011200,KR7011200003,HMM,KOSPI,5020,20,.4,5000,5050,4955,1258451,6297729920,316552195,1589092018900
20200720,011200,KR7011200003,HMM,KOSPI,4995,-25,-.5,5070,5070,4905,1445867,7171676930,316552195,1581178214025
20200721,011200,KR7011200003,HMM,KOSPI,5220,225,4.5,5010,5240,5000,4054260,21026688050,326726323,1705511406060
20200722,011200,KR7011200003,HMM,KOSPI,5190,-30,-.57,5250,5260,5100,1971025,10213257060,326726323,1695709616370
20200723,011200,KR7011200003,HMM,KOSPI,5200,10,.19,5130,5230,5100,1615306,8315562180,326726323,1698976879600
