basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20240102,105560,KR7105560007,KB금융,KOSPI,53600,-500,-.92,53300,53800,52700,811158,43232564400,403511072,21628193459200
20240103,105560,KR7105560007,KB금융,KOSPI,52600,-1000,-1.87,53200,53600,52600,689245,36445595000,403511072,21224682387200
20240104,105560,KR7105560007,KB금융,KOSPI,51700,-900,-1.71,52100,52400,51700,755382,39197050000,403511072,20861522422400
20240105,105560,KR7105560007,KB금융,KOSPI,51300,-400,-.77,51600,51700,51100,569782,29261806300,403511072,20700117993600
20240108,105560,KR7105560007,KB금융,KOSPI,52200,900,1.75,51700,52500,51500,539904,28147506800,403511072,21063277958400
20240109,105560,KR7105560007,KB금융,KOSPI,52400,200,.38,52800,52900,52100,470134,24646444900,403511072,21143980172800
20240110,105560,KR7105560007,KB금융,KOSPI,51300,-1100,-2.1,51600,52100,51300,4539715,230192355220,403511072,20700117993600
20240111,105560,KR7105560007,KB금융,KOSPI,51000,-300,-.58,51500,52200,51000,1704375,87579384905,403511072,20579064672000
20240112,105560,KR7105560007,KB금융,KOSPI,51000,0,0,51200,51400,50600,1169346,59606406800,403511072,20579064672000
20240115,105560,KR7105560007,KB금융,KOSPI,51600,600,1.18,51000,51800,50900,708782,36440461300,403511072,20821171315200
20240116,105560,KR7105560007,KB금융,KOSPI,51100,-500,-.97,51200,51500,50800,736825,37679121081,403511072,20619415779200
20240117,105560,KR7105560007,KB금융,KOSPI,49800,-1300,-2.54,50800,51300,49750,1340792,67381377774,403511072,20094851385600
20240118,105560,KR7105560007,KB금융,KOSPI,49400,-400,-.8,49450,49700,49200,873664,43176719150,403511072,19933446956800
20240119,105560,KR7105560007,KB금융,KOSPI,49500,100,.2,49500,49750,48900,860502,42444850200,403511072,19973798064000
20240122,105560,KR7105560007,KB금융,KOSPI,49300,-200,-.4,49100,49850,49100,1063329,52638227750,403511072,19893095849600
20240123,105560,KR7105560007,KB금융,KOSPI,51400,2100,4.26,50300,51500,50000,1800015,91874967474,403511072,20740469100800
20240124,105560,KR7105560007,KB금융,KOSPI,52100,700,1.36,51400,53000,51000,1825246,95620227500,403511072,21022926851200
20240125,105560,KR7105560007,KB금융,KOSPI,52900,800,1.54,51700,52900,51600,1478934,77740890065,403511072,21345735708800
20240126,105560,KR7105560007,KB금융,KOSPI,53800,900,1.7,52500,53900,52500,1997168,106946132900,403511072,21708895673600
20240129,105560,KR7105560007,KB금융,KOSPI,55600,1800,3.35,53900,56000,53300,2107798,116180650700,403511072,22435215603200
20240130,105560,KR7105560007,KB금융,KOSPI,55900,300,.54,55900,56700,55100,1842740,103189577700,403511072,22556268924800
20240131,105560,KR7105560007,KB금융,KOSPI,56600,700,1.25,55100,57000,55000,1343293,75558626200,403511072,22838726675200
20240201,105560,KR7105560007,KB금융,KOSPI,61300,4700,8.3,58700,61500,57700,4269503,256212044730,403511072,24735228713600
20240202,105560,KR7105560007,KB금융,KOSPI,66300,5000,8.16,62400,66500,61500,5492430,352651019202,403511072,26752784073600
