basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20240102,030200,KR7030200000,KT,KOSPI,34150,-250,-.73,33850,34350,33800,608435,20711126450,257860760,8805944954000
20240103,030200,KR7030200000,KT,KOSPI,33600,-550,-1.61,33900,34250,33500,684490,23071611900,257860760,8664121536000
20240104,030200,KR7030200000,KT,KOSPI,33550,-50,-.15,33650,33900,33300,478994,16048964900,257860760,8651228498000
20240105,030200,KR7030200000,KT,KOSPI,33500,-50,-.15,33250,33550,33250,334395,11168046050,257860760,8638335460000
20240108,030200,KR7030200000,KT,KOSPI,33650,150,.45,33500,33850,33300,368284,12366067750,257860760,8677014574000
20240109,030200,KR7030200000,KT,KOSPI,33700,50,.15,33950,33950,33500,306649,10331861000,257860760,8689907612000
20240110,030200,KR7030200000,KT,KOSPI,33700,0,0,33700,33700,33450,271456,9117202650,257860760,8689907612000
20240111,030200,KR7030200000,KT,KOSPI,33450,-250,-.74,33700,33850,33450,518440,17414206450,257860760,8625442422000
20240112,030200,KR7030200000,KT,KOSPI,33550,100,.3,33500,33750,33300,262218,8787746650,257860760,8651228498000
20240115,030200,KR7030200000,KT,KOSPI,33550,0,0,33600,33650,33400,266081,8916773600,257860760,8651228498000
20240116,030200,KR7030200000,KT,KOSPI,33150,-400,-1.19,33450,33550,33000,344106,11437823100,257860760,8548084194000
20240117,030200,KR7030200000,KT,KOSPI,33300,150,.45,33300,33400,32950,362802,12038656200,257860760,8586763308000
20240118,030200,KR7030200000,KT,KOSPI,33800,500,1.5,33400,33800,33200,489997,16448305290,257860760,8715693688000
20240119,030200,KR7030200000,KT,KOSPI,33750,-50,-.15,33950,33950,33600,352710,11899222900,257860760,8702800650000
20240122,030200,KR7030200000,KT,KOSPI,33700,-50,-.15,33850,33850,33500,279104,9389208050,257860760,8689907612000
20240123,030200,KR7030200000,KT,KOSPI,33650,-50,-.15,33800,33800,33300,343205,11522993850,257860760,8677014574000
20240124,030200,KR7030200000,KT,KOSPI,33700,50,.15,33600,33700,33250,445287,14860114050,257860760,8689907612000
20240125,030200,KR7030200000,KT,KOSPI,34200,500,1.48,33550,34500,33500,531608,18113794800,257860760,8818837992000
20240126,030200,KR7030200000,KT,KOSPI,34800,600,1.75,34300,35100,34200,717318,24976784400,257860760,8973554448000
20240129,030200,KR7030200000,KT,KOSPI,34750,-50,-.14,35050,35200,34750,512271,17924124750,257860760,8960661410000
