basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20200102,066570,KR7066570003,LG전자,KOSPI,71000,-1100,-1.53,71800,72100,71000,284758,20296939400,163647814,11618994794000
20200103,066570,KR7066570003,LG전자,KOSPI,71100,100,.14,71400,71900,70800,369493,26324361900,163647814,11635359575400
20200106,066570,KR7066570003,LG전자,KOSPI,69900,-1200,-1.69,70300,70500,69600,337026,23580739600,163647814,11438982198600
20200107,066570,KR7066570003,LG전자,KOSPI,70300,400,.57,69800,70600,69800,265311,18652846300,163647814,11504441324200
20200108,066570,KR7066570003,LG전자,KOSPI,67500,-2800,-3.98,70300,70300,67000,937438,64136743100,163647814,11046227445000
20200109,066570,KR7066570003,LG전자,KOSPI,66600,-900,-1.33,68100,68300,66100,1565867,104665440200,163647814,10898944412400
20200110,066570,KR7066570003,LG전자,KOSPI,66800,200,.3,67000,67500,66400,797710,53265395800,163647814,10931673975200
20200113,066570,KR7066570003,LG전자,KOSPI,66600,-200,-.3,66900,67000,66200,600906,40012303700,163647814,10898944412400
20200114,066570,KR7066570003,LG전자,KOSPI,68300,1700,2.55,67200,69400,67100,1081428,74104479100,163647814,11177145696200
20200115,066570,KR7066570003,LG전자,KOSPI,69600,1300,1.9,68800,70000,68600,698052,48455791100,163647814,11389887854400
20200116,066570,KR7066570003,LG전자,KOSPI,69900,300,.43,69800,70000,68900,440562,30599502700,163647814,11438982198600
20200117,066570,KR7066570003,LG전자,KOSPI,69200,-700,-1,69800,70200,68900,464204,32172121400,163647814,11324428728800
20200120,066570,KR7066570003,LG전자,KOSPI,71200,2000,2.89,69600,71700,69400,894609,63468963900,163647814,11651724356800
20200121,066570,KR7066570003,LG전자,KOSPI,70100,-1100,-1.54,71400,71600,70100,379059,26760572100,163647814,11471711761400
20200122,066570,KR7066570003,LG전자,KOSPI,70400,300,.43,69800,70500,68600,546215,38051183700,163647814,11520806105600
20200123,066570,KR7066570003,LG전자,KOSPI,69000,-1400,-1.99,69600,69700,68600,604024,41704984800,163647814,11291699166000
20200128,066570,KR7066570003,LG전자,KOSPI,67100,-1900,-2.75,66600,67500,66600,729302,48842249300,163647814,10980768319400
20200129,066570,KR7066570003,LG전자,KOSPI,67200,100,.15,67100,68000,66900,585990,39488238700,163647814,10997133100800
20200130,066570,KR7066570003,LG전자,KOSPI,67200,0,0,67000,67800,66900,549972,36959367800,163647814,10997133100800
20200131,066570,KR7066570003,LG전자,KOSPI,65900,-1300,-1.93,67200,67600,65800,697360,46303911000,163647814,10784390942600
20200203,066570,KR7066570003,LG전자,KOSPI,64900,-1000,-1.52,65400,65600,64100,797729,51714739400,163647814,10620743128600
20200204,066570,KR7066570003,LG전자,KOSPI,65100,200,.31,64400,65400,64400,716163,46530479800,163647814,10653472691400
20200205,066570,KR7066570003,LG전자,KOSPI,65200,100,.15,65600,65700,64800,657342,42846380100,163647814,10669837472800
20200206,066570,KR7066570003,LG전자,KOSPI,66800,1600,2.45,65600,67000,65500,635295,42312124700,163647814,10931673975200
20200207,066570,KR7066570003,LG전자,KOSPI,67300,500,.75,66700,67400,66500,519466,34804697900,163647814,11013497882200
20200210,066570,KR7066570003,LG전자,KOSPI,67000,-300,-.45,67000,67000,66100,364246,24243161900,163647814,10964403538000
20200211,066570,KR7066570003,LG전자,KOSPI,67200,200,.3,67500,67600,66800,462160,31061952300,163647814,10997133100800
20200212,066570,KR7066570003,LG전자,KOSPI,67900,700,1.04,67000,68300,67000,487071,32983429900,163647814,11111686570600
20200213,066570,KR7066570003,LG전자,KOSPI,67100,-800,-1.18,68200,68400,67000,699540,47147310000,163647814,10980768319400
20200214,066570,KR7066570003,LG전자,KOSPI,67000,-100,-.15,67200,67600,66700,354348,23802470800,163647814,10964403538000
20200217,066570,KR7066570003,LG전자,KOSPI,67000,0,0,66900,67300,66000,560384,37309104100,163647814,10964403538000
20200218,066570,KR7066570003,LG전자,KOSPI,68900,1900,2.84,67900,70000,67700,1338368,92447713500,163647814,11275334384600
20200219,066570,KR7066570003,LG전자,KOSPI,68800,-100,-.15,69300,69400,68000,636116,43696308600,163647814,11258969603200
20200220,066570,KR7066570003,LG전자,KOSPI,67200,-1600,-2.33,68700,69000,66700,677402,45587884500,163647814,10997133100800
20200221,066570,KR7066570003,LG전자,KOSPI,66100,-1100,-1.64,66000,67000,65800,531902,35223888600,163647814,10817120505400
20200224,066570,KR7066570003,LG전자,KOSPI,63300,-2800,-4.24,64800,65000,63100,874557,55658331100,163647814,10358906626200
20200225,066570,KR7066570003,LG전자,KOSPI,63000,-300,-.47,62200,63500,62100,956415,60036326100,163647814,10309812282000
20200226,066570,KR7066570003,LG전자,KOSPI,63300,300,.48,62100,63700,61500,607215,38198836300,163647814,10358906626200
20200227,066570,KR7066570003,LG전자,KOSPI,62400,-900,-1.42,63000,63600,62000,524379,32830864200,163647814,10211623593600
20200228,066570,KR7066570003,LG전자,KOSPI,60400,-2000,-3.21,61400,61700,60000,932828,56507160500,163647814,9884327965600
20200302,066570,KR7066570003,LG전자,KOSPI,60100,-300,-.5,60300,61200,59600,711979,42918418760,163647814,9835233621400
20200303,066570,KR7066570003,LG전자,KOSPI,60200,100,.17,61500,61700,60000,587763,35691817300,163647814,9851598402800
20200304,066570,KR7066570003,LG전자,KOSPI,60600,400,.66,60100,61200,60100,520867,31642157300,163647814,9917057528400
20200305,066570,KR7066570003,LG전자,KOSPI,61500,900,1.49,61300,61900,60800,573595,35257814900,163647814,10064340561000
20200306,066570,KR7066570003,LG전자,KOSPI,60300,-1200,-1.95,60900,61100,60200,542438,32826572800,163647814,9867963184200
20200309,066570,KR7066570003,LG전자,KOSPI,57800,-2500,-4.15,59000,59300,57500,1001568,58214072500,163647814,9458843649200
20200310,066570,KR7066570003,LG전자,KOSPI,60000,2200,3.81,58800,61400,58400,1500440,90474070500,163647814,9818868840000
20200311,066570,KR7066570003,LG전자,KOSPI,59000,-1000,-1.67,60000,61000,58100,938290,55445592400,163647814,9655221026000
20200312,066570,KR7066570003,LG전자,KOSPI,55500,-3500,-5.93,58900,58900,55000,1649095,92478199500,163647814,9082453677000
20200313,066570,KR7066570003,LG전자,KOSPI,52500,-3000,-5.41,51100,54500,50600,1968749,102737670000,163647814,8591510235000
20200316,066570,KR7066570003,LG전자,KOSPI,50400,-2100,-4,53100,54200,50400,948845,49270721600,163647814,8247849825600
20200317,066570,KR7066570003,LG전자,KOSPI,49450,-950,-1.88,48000,52000,48000,1004008,50267111550,163647814,8092384402300
20200318,066570,KR7066570003,LG전자,KOSPI,48000,-1450,-2.93,50200,50800,47700,886739,43923851650,163647814,7855095072000
20200319,066570,KR7066570003,LG전자,KOSPI,43650,-4350,-9.06,48900,49600,43650,1601945,72778894850,163647814,7143227081100
