basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20240102,079550,KR7079550000,LIG넥스원,KOSPI,128300,-2200,-1.69,131700,132000,127900,267529,34531477300,22000000,2822600000000
20240103,079550,KR7079550000,LIG넥스원,KOSPI,130500,2200,1.71,128400,131400,126500,347854,44973517400,22000000,2871000000000
20240104,079550,KR7079550000,LIG넥스원,KOSPI,126100,-4400,-3.37,130600,135500,126000,564684,73457057800,22000000,2774200000000
20240105,079550,KR7079550000,LIG넥스원,KOSPI,123200,-2900,-2.3,126800,129600,120500,508621,63172976900,22000000,2710400000000
20240108,079550,KR7079550000,LIG넥스원,KOSPI,120500,-2700,-2.19,123300,124500,120400,277309,33672956700,22000000,2651000000000
20240109,079550,KR7079550000,LIG넥스원,KOSPI,119800,-700,-.58,120600,121500,115000,266216,31795999800,22000000,2635600000000
20240110,079550,KR7079550000,LIG넥스원,KOSPI,123800,4000,3.34,119900,124400,118800,327498,39892609900,22000000,2723600000000
20240111,079550,KR7079550000,LIG넥스원,KOSPI,124500,700,.57,123400,126400,121800,332269,41415137500,22000000,2739000000000
20240112,079550,KR7079550000,LIG넥스원,KOSPI,126100,1600,1.29,124100,129500,124100,423838,53753499400,22000000,2774200000000
20240115,079550,KR7079550000,LIG넥스원,KOSPI,122600,-3500,-2.78,128000,128900,120500,269188,33199097600,22000000,2697200000000
20240116,079550,KR7079550000,LIG넥스원,KOSPI,120600,-2000,-1.63,121400,122700,119900,154156,18652984500,22000000,2653200000000
20240117,079550,KR7079550000,LIG넥스원,KOSPI,120500,-100,-.08,120100,121300,116700,235620,28074110100,22000000,2651000000000
20240118,079550,KR7079550000,LIG넥스원,KOSPI,121300,800,.66,121200,124400,120000,232632,28478550100,22000000,2668600000000
20240119,079550,KR7079550000,LIG넥스원,KOSPI,121400,100,.08,121500,122400,119500,180426,21829086300,22000000,2670800000000
20240122,079550,KR7079550000,LIG넥스원,KOSPI,123900,2500,2.06,122400,124900,119200,183486,22450356000,22000000,2725800000000
20240123,079550,KR7079550000,LIG넥스원,KOSPI,122600,-1300,-1.05,123800,123900,120300,177700,21701883500,22000000,2697200000000
20240124,079550,KR7079550000,LIG넥스원,KOSPI,119000,-3600,-2.94,123400,125800,118900,223838,27127141300,22000000,2618000000000
20240125,079550,KR7079550000,LIG넥스원,KOSPI,116300,-2700,-2.27,117000,121300,115700,234155,27598475400,22000000,2558600000000
20240126,079550,KR7079550000,LIG넥스원,KOSPI,113000,-3300,-2.84,116000,117000,112500,262768,29926962200,22000000,2486000000000
20240129,079550,KR7079550000,LIG넥스원,KOSPI,108500,-4500,-3.98,113200,114300,107600,325019,35844100400,22000000,2387000000000
20240130,079550,KR7079550000,LIG넥스원,KOSPI,105600,-2900,-2.67,108400,109100,104000,312101,33013168500,22000000,2323200000000
20240131,079550,KR7079550000,LIG넥스원,KOSPI,105100,-500,-.47,104900,108300,104200,247494,26251132700,22000000,2312200000000
20240201,079550,KR7079550000,LIG넥스원,KOSPI,105400,300,.29,104500,107900,104300,183940,19466533200,22000000,2318800000000
20240202,079550,KR7079550000,LIG넥스원,KOSPI,106900,1500,1.42,105200,109400,104700,208781,22453544400,22000000,2351800000000
20240205,079550,KR7079550000,LIG넥스원,KOSPI,108900,2000,1.87,107300,111000,105700,193152,21067504000,22000000,2395800000000
20240206,079550,KR7079550000,LIG넥스원,KOSPI,113000,4100,3.76,108700,114200,107600,330331,36789912900,22000000,2486000000000
20240207,079550,KR7079550000,LIG넥스원,KOSPI,113400,400,.35,119000,120700,112800,1024257,119150223300,22000000,2494800000000
20240208,079550,KR7079550000,LIG넥스원,KOSPI,113600,200,.18,114200,118800,113300,489058,56496086300,22000000,2499200000000
20240213,079550,KR7079550000,LIG넥스원,KOSPI,118200,4600,4.05,114700,118600,114100,442233,51774065900,22000000,2600400000000
20240214,079550,KR7079550000,LIG넥스원,KOSPI,127000,8800,7.45,117200,132700,115400,1071555,135307570300,22000000,2794000000000
20240215,079550,KR7079550000,LIG넥스원,KOSPI,127200,200,.16,129300,130500,125800,422704,54098855600,22000000,2798400000000
20240216,079550,KR7079550000,LIG넥스원,KOSPI,127700,500,.39,127200,129400,125800,241548,30825442200,22000000,2809400000000
20240219,079550,KR7079550000,LIG넥스원,KOSPI,130800,3100,2.43,129300,132700,128800,433205,56785058600,22000000,2877600000000
20240220,079550,KR7079550000,LIG넥스원,KOSPI,128000,-2800,-2.14,130500,134700,127200,561579,73443608600,22000000,2816000000000
20240221,079550,KR7079550000,LIG넥스원,KOSPI,137600,9600,7.5,130500,139300,128500,674347,90071236800,22000000,3027200000000
20240222,079550,KR7079550000,LIG넥스원,KOSPI,138000,400,.29,135600,148600,134900,1152264,162617555800,22000000,3036000000000
20240223,079550,KR7079550000,LIG넥스원,KOSPI,133400,-4600,-3.33,139600,139700,131200,408870,54723703500,22000000,2934800000000
20240226,079550,KR7079550000,LIG넥스원,KOSPI,135000,1600,1.2,132800,136300,131300,292732,39271949600,22000000,2970000000000
20240227,079550,KR7079550000,LIG넥스원,KOSPI,137100,2100,1.56,134700,140900,134700,558197,77403959300,22000000,3016200000000
20240228,079550,KR7079550000,LIG넥스원,KOSPI,140100,3000,2.19,137300,142400,137300,420752,58777452700,22000000,3082200000000
20240229,079550,KR7079550000,LIG넥스원,KOSPI,143200,3100,2.21,140400,147900,137800,615031,88377289800,22000000,3150400000000
20240304,079550,KR7079550000,LIG넥스원,KOSPI,144700,1500,1.05,144700,148200,139900,301058,43287311100,22000000,3183400000000
20240305,079550,KR7079550000,LIG넥스원,KOSPI,152300,7600,5.25,146000,157800,145800,866910,132575015000,22000000,3350600000000
20240306,079550,KR7079550000,LIG넥스원,KOSPI,168500,16200,10.64,154100,169500,154100,1236603,204091307100,22000000,3707000000000
20240307,079550,KR7079550000,LIG넥스원,KOSPI,177600,9100,5.4,170000,179500,167500,838886,145637776000,22000000,3907200000000
20240308,079550,KR7079550000,LIG넥스원,KOSPI,183300,5700,3.21,178700,186500,176300,504913,92265912500,22000000,4032600000000
20240311,079550,KR7079550000,LIG넥스원,KOSPI,177700,-5600,-3.06,184400,191300,175900,643926,118259507600,22000000,3909400000000
20240312,079550,KR7079550000,LIG넥스원,KOSPI,172500,-5200,-2.93,178700,182000,168000,527832,90898743000,22000000,3795000000000
20240313,079550,KR7079550000,LIG넥스원,KOSPI,172200,-300,-.17,175000,183000,170800,616839,108908068000,22000000,3788400000000
20240314,079550,KR7079550000,LIG넥스원,KOSPI,165400,-6800,-3.95,172400,176600,164500,608756,101851528100,22000000,3638800000000
20240315,079550,KR7079550000,LIG넥스원,KOSPI,162000,-3400,-2.06,167400,169400,160800,303589,49728621400,22000000,3564000000000
20240318,079550,KR7079550000,LIG넥스원,KOSPI,163300,1300,.8,164700,167500,162500,293251,48374450900,22000000,3592600000000
20240319,079550,KR7079550000,LIG넥스원,KOSPI,164400,1100,.67,165600,168500,163300,323480,53462796900,22000000,3616800000000
