basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20240102,035420,KR7035420009,NAVER,KOSPI,227500,3500,1.56,222500,229000,221000,716469,161946345500,162408594,36947955135000
20240103,035420,KR7035420009,NAVER,KOSPI,222000,-5500,-2.42,223500,224000,220000,690960,153542219000,162408594,36054707868000
20240104,035420,KR7035420009,NAVER,KOSPI,223000,1000,.45,221000,225500,220500,538911,120372067000,162408594,36217116462000
20240105,035420,KR7035420009,NAVER,KOSPI,220500,-2500,-1.12,222500,224000,219500,387884,85907366000,162408594,35811094977000
20240108,035420,KR7035420009,NAVER,KOSPI,226500,6000,2.72,222000,231500,222000,1054917,240424339000,162408594,36785546541000
20240109,035420,KR7035420009,NAVER,KOSPI,229500,3000,1.32,229500,233000,228500,835945,192638796500,162408594,37272772323000
20240110,035420,KR7035420009,NAVER,KOSPI,231000,1500,.65,229500,233500,227000,702562,162104581000,162408594,37516385214000
20240111,035420,KR7035420009,NAVER,KOSPI,231500,500,.22,232500,234500,229500,879647,204400304000,162408594,37597589511000
20240112,035420,KR7035420009,NAVER,KOSPI,230500,-1000,-.43,232000,232500,228000,516678,118930059500,162408594,37435180917000
20240115,035420,KR7035420009,NAVER,KOSPI,229500,-1000,-.43,230000,230500,223500,536029,122093694000,162408594,37272772323000
20240116,035420,KR7035420009,NAVER,KOSPI,230000,500,.22,227500,235500,227000,695734,160920812500,162408594,37353976620000
20240117,035420,KR7035420009,NAVER,KOSPI,219000,-11000,-4.78,228500,230500,218500,961856,213976285000,162408594,35567482086000
20240118,035420,KR7035420009,NAVER,KOSPI,216500,-2500,-1.14,217000,219500,215000,730722,158373813000,162408594,35161460601000
20240119,035420,KR7035420009,NAVER,KOSPI,215500,-1000,-.46,219000,221500,213500,916193,198301089250,162408594,34999052007000
20240122,035420,KR7035420009,NAVER,KOSPI,217000,1500,.7,219000,222500,217000,533513,116755585500,162408594,35242664898000
20240123,035420,KR7035420009,NAVER,KOSPI,218000,1000,.46,218000,219500,215500,388908,84616588000,162408594,35405073492000
20240124,035420,KR7035420009,NAVER,KOSPI,218000,0,0,219000,219500,215500,380731,82856574000,162408594,35405073492000
20240125,035420,KR7035420009,NAVER,KOSPI,213500,-4500,-2.06,216000,217000,212500,582265,124605101500,162408594,34674234819000
20240126,035420,KR7035420009,NAVER,KOSPI,216500,3000,1.41,211500,218500,211500,406869,88143112500,162408594,35161460601000
20240129,035420,KR7035420009,NAVER,KOSPI,212000,-4500,-2.08,216500,218000,211500,616505,131914981500,162408594,34430621928000
20240130,035420,KR7035420009,NAVER,KOSPI,209500,-2500,-1.18,214000,214500,208000,614246,128853307500,162408594,34024600443000
20240131,035420,KR7035420009,NAVER,KOSPI,200500,-9000,-4.3,208500,209500,200000,1318605,267032071500,162408594,32562923097000
20240201,035420,KR7035420009,NAVER,KOSPI,202500,2000,1,199500,202500,198600,818613,164628176800,162408594,32887740285000
20240202,035420,KR7035420009,NAVER,KOSPI,221500,19000,9.38,209500,221500,208000,1841501,397797262000,162408594,35973503571000
20240205,035420,KR7035420009,NAVER,KOSPI,208000,-13500,-6.09,220500,221500,208000,1721981,363089536500,162408594,33780987552000
20240206,035420,KR7035420009,NAVER,KOSPI,205500,-2500,-1.2,208000,209000,203500,896400,183987745500,162408594,33374966067000
20240207,035420,KR7035420009,NAVER,KOSPI,204500,-1000,-.49,208000,209500,204000,706209,145824743500,162408594,33212557473000
20240208,035420,KR7035420009,NAVER,KOSPI,206000,1500,.73,206500,208000,205000,628984,129753871500,162408594,33456170364000
20240213,035420,KR7035420009,NAVER,KOSPI,205000,-1000,-.49,206500,208000,204500,860778,177299710500,162408594,33293761770000
20240214,035420,KR7035420009,NAVER,KOSPI,202500,-2500,-1.22,200500,203500,199300,627951,126589711600,162408594,32887740285000
20240215,035420,KR7035420009,NAVER,KOSPI,203500,1000,.49,205000,209500,203500,945641,194796661000,162408594,33050148879000
20240216,035420,KR7035420009,NAVER,KOSPI,205000,1500,.74,205500,209000,204000,999143,205911570624,162408594,33293761770000
20240219,035420,KR7035420009,NAVER,KOSPI,203500,-1500,-.73,206500,206500,203000,618150,126016737500,162408594,33050148879000
20240220,035420,KR7035420009,NAVER,KOSPI,202500,-1000,-.49,203500,205500,202000,708867,144088263200,162408594,32887740285000
20240221,035420,KR7035420009,NAVER,KOSPI,202500,0,0,202000,203500,201000,592041,119871272000,162408594,32887740285000
20240222,035420,KR7035420009,NAVER,KOSPI,202000,-500,-.25,204000,204500,200500,881700,177986852000,162408594,32806535988000
20240223,035420,KR7035420009,NAVER,KOSPI,200500,-1500,-.74,202500,203000,200000,731357,146816083500,162408594,32562923097000
20240226,035420,KR7035420009,NAVER,KOSPI,199900,-600,-.3,200000,201500,199500,630834,126298144503,162408594,32465477940600
20240227,035420,KR7035420009,NAVER,KOSPI,200000,100,.05,199900,200500,198700,650795,129862078600,162408594,32481718800000
20240228,035420,KR7035420009,NAVER,KOSPI,204000,4000,2,200500,204000,199700,597421,120373326400,162408594,33131353176000
20240229,035420,KR7035420009,NAVER,KOSPI,195000,-9000,-4.41,200000,200500,195000,2016957,397064235700,162408594,31669675830000
20240304,035420,KR7035420009,NAVER,KOSPI,192000,-3000,-1.54,194400,197400,192000,1186323,230239756900,162408594,31182450048000
20240305,035420,KR7035420009,NAVER,KOSPI,188700,-3300,-1.72,191800,192800,188700,1096733,208364421400,162408594,30646501687800
20240306,035420,KR7035420009,NAVER,KOSPI,189800,1100,.58,189000,192800,189000,876283,166887929100,162408594,30825151141200
20240307,035420,KR7035420009,NAVER,KOSPI,189000,-800,-.42,191200,191500,188200,775759,146866729400,162408594,30695224266000
20240308,035420,KR7035420009,NAVER,KOSPI,188000,-1000,-.53,190000,190700,188000,750757,142003314800,162408594,30532815672000
20240311,035420,KR7035420009,NAVER,KOSPI,189900,1900,1.01,188200,190900,188200,653165,124040858800,162408594,30841392000600
20240312,035420,KR7035420009,NAVER,KOSPI,190500,600,.32,190700,191200,188400,708580,134576149300,162408594,30938837157000
20240313,035420,KR7035420009,NAVER,KOSPI,188400,-2100,-1.1,191100,191200,188300,812716,153833163300,162408594,30597779109600
20240314,035420,KR7035420009,NAVER,KOSPI,186800,-1600,-.85,188800,189400,186800,1148654,215514445556,162408594,30337925359200
20240315,035420,KR7035420009,NAVER,KOSPI,186100,-700,-.37,186100,188500,186000,1015837,189819427500,162408594,30224239343400
20240318,035420,KR7035420009,NAVER,KOSPI,184100,-2000,-1.07,186200,186500,183200,1054143,194190362500,162408594,29899422155400
20240319,035420,KR7035420009,NAVER,KOSPI,182600,-1500,-.81,183200,183800,182100,726483,132621646100,162408594,29655809264400
20240320,035420,KR7035420009,NAVER,KOSPI,183100,500,.27,183000,184400,182600,569076,104208520900,162408594,29737013561400
20240321,035420,KR7035420009,NAVER,KOSPI,184400,1300,.71,184700,187800,184400,1047858,194248623400,162408594,29948144733600
20240322,035420,KR7035420009,NAVER,KOSPI,188900,4500,2.44,184600,190800,184600,1280053,241858193000,162408594,30678983406600
20240325,035420,KR7035420009,NAVER,KOSPI,188000,-900,-.48,187300,189400,185400,654494,122896691100,162408594,30532815672000
20240326,035420,KR7035420009,NAVER,KOSPI,188900,900,.48,188000,191000,187300,746583,141353660600,162408594,30678983406600
20240327,035420,KR7035420009,NAVER,KOSPI,189300,400,.21,188900,191200,188400,590542,111934917400,162408594,30743946844200
20240328,035420,KR7035420009,NAVER,KOSPI,187100,-2200,-1.16,190000,190200,187100,661837,124789900900,162408594,30386647937400
20240329,035420,KR7035420009,NAVER,KOSPI,187400,300,.16,187300,188900,185100,633233,118025099300,162408594,30435370515600
20240401,035420,KR7035420009,NAVER,KOSPI,194300,6900,3.68,188000,194500,188000,1393825,268463534000,162408594,31555989814200
20240402,035420,KR7035420009,NAVER,KOSPI,192000,-2300,-1.18,192500,193100,190500,918137,176162087900,162408594,31182450048000
20240403,035420,KR7035420009,NAVER,KOSPI,193400,1400,.73,191000,197300,190600,1132978,220138802908,162408594,31409822079600
20240404,035420,KR7035420009,NAVER,KOSPI,194300,900,.47,195900,196000,194100,682404,133039198900,162408594,31555989814200
20240405,035420,KR7035420009,NAVER,KOSPI,193100,-1200,-.62,192100,193800,190000,484403,93154765800,162408594,31361099501400
20240408,035420,KR7035420009,NAVER,KOSPI,189900,-3200,-1.66,193100,193200,188500,614052,116546535900,162408594,30841392000600
20240409,035420,KR7035420009,NAVER,KOSPI,189000,-900,-.47,189100,190500,186600,457312,86558422100,162408594,30695224266000
20240411,035420,KR7035420009,NAVER,KOSPI,183600,-5400,-2.86,186100,188300,183100,1192681,219564924181,162408594,29818217858400
20240412,035420,KR7035420009,NAVER,KOSPI,185900,2300,1.25,184700,189300,184600,835729,156410402000,162408594,30191757624600
20240415,035420,KR7035420009,NAVER,KOSPI,182800,-3100,-1.67,183800,184600,182600,636607,116607852200,162408594,29688290983200
20240416,035420,KR7035420009,NAVER,KOSPI,179500,-3300,-1.81,181600,181700,179500,796179,143440665000,162408594,29152342623000
20240417,035420,KR7035420009,NAVER,KOSPI,179600,100,.06,180800,181600,179600,405813,73215809600,162408594,29168583482400
20240418,035420,KR7035420009,NAVER,KOSPI,180700,1100,.61,180000,181500,179800,599743,108256290700,162408594,29347232935800
20240419,035420,KR7035420009,NAVER,KOSPI,182400,1700,.94,179900,183800,179100,759807,137661738800,162408594,29623327545600
20240422,035420,KR7035420009,NAVER,KOSPI,180900,-1500,-.82,185200,185300,180300,492109,89411731400,162408594,29379714654600
20240423,035420,KR7035420009,NAVER,KOSPI,180100,-800,-.44,181400,182400,180000,468831,84824300800,162408594,29249787779400
20240424,035420,KR7035420009,NAVER,KOSPI,183700,3600,2,181400,184400,181300,597721,109404221600,162408594,29834458717800
20240425,035420,KR7035420009,NAVER,KOSPI,182700,-1000,-.54,181500,184600,180200,437455,79806154300,162408594,29672050123800
20240426,035420,KR7035420009,NAVER,KOSPI,181500,-1200,-.66,184100,184500,181500,438747,79932372060,162408594,29477159811000
20240429,035420,KR7035420009,NAVER,KOSPI,184700,3200,1.76,182200,184800,181600,510519,93666037400,162408594,29996867311800
20240430,035420,KR7035420009,NAVER,KOSPI,184400,-300,-.16,184600,187500,183800,620050,115107178500,162408594,29948144733600
20240502,035420,KR7035420009,NAVER,KOSPI,188800,4400,2.39,185200,190000,184600,1046087,195195353300,162408594,30662742547200
20240503,035420,KR7035420009,NAVER,KOSPI,194600,5800,3.07,195000,196400,191500,2291415,445400711900,162408594,31604712392400
20240507,035420,KR7035420009,NAVER,KOSPI,194800,200,.1,197400,198500,193800,1272598,249747017600,162408594,31637194111200
