basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20240102,000660,KR7000660001,SK하이닉스,KOSPI,142400,900,.64,139700,142800,139700,2147458,304025996500,728002365,103667536776000
20240103,000660,KR7000660001,SK하이닉스,KOSPI,136800,-5600,-3.93,140000,140800,136800,3257820,449799956600,728002365,99590723532000
20240104,000660,KR7000660001,SK하이닉스,KOSPI,136400,-400,-.29,136800,138800,135800,2661970,364515557225,728002365,99299522586000
20240105,000660,KR7000660001,SK하이닉스,KOSPI,137500,1100,.81,135800,137500,135800,1846781,252186160000,728002365,100100325187500
20240108,000660,KR7000660001,SK하이닉스,KOSPI,136000,-1500,-1.09,137500,137900,135400,2498302,340752338000,728002365,99008321640000
20240109,000660,KR7000660001,SK하이닉스,KOSPI,137400,1400,1.03,139000,139500,136600,3473806,480449816300,728002365,100027524951000
20240110,000660,KR7000660001,SK하이닉스,KOSPI,133500,-3900,-2.84,137700,138100,132100,3769252,504545182100,728002365,97188315727500
20240111,000660,KR7000660001,SK하이닉스,KOSPI,136000,2500,1.87,132400,137100,132400,3594909,485469304242,728002365,99008321640000
20240112,000660,KR7000660001,SK하이닉스,KOSPI,134100,-1900,-1.4,136400,137300,133400,1878915,252938171800,728002365,97625117146500
20240115,000660,KR7000660001,SK하이닉스,KOSPI,134100,0,0,134800,135100,133300,1858867,249236618000,728002365,97625117146500
20240116,000660,KR7000660001,SK하이닉스,KOSPI,132100,-2000,-1.49,132600,133700,131100,3670169,485781577321,728002365,96169112416500
20240117,000660,KR7000660001,SK하이닉스,KOSPI,131000,-1100,-.83,133800,134500,129000,3822702,502258110100,728002365,95368309815000
20240118,000660,KR7000660001,SK하이닉스,KOSPI,136200,5200,3.97,131500,136800,130600,3050556,408810385400,728002365,99153922113000
20240119,000660,KR7000660001,SK하이닉스,KOSPI,141300,5100,3.74,138700,141300,137400,4946040,692333153000,728002365,102866734174500
20240122,000660,KR7000660001,SK하이닉스,KOSPI,142600,1300,.92,145200,145400,142300,3784276,543785154385,728002365,103813137249000
