basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20240102,047040,KR7047040001,대우건설,KOSPI,4170,25,.6,4130,4180,4095,719049,2975973465,415622638,1733146400460
20240103,047040,KR7047040001,대우건설,KOSPI,4110,-60,-1.44,4155,4160,4100,898798,3699116075,415622638,1708209042180
20240104,047040,KR7047040001,대우건설,KOSPI,4100,-10,-.24,4095,4160,4080,670099,2764055725,415622638,1704052815800
20240105,047040,KR7047040001,대우건설,KOSPI,4100,0,0,4100,4135,4090,594583,2440347185,415622638,1704052815800
20240108,047040,KR7047040001,대우건설,KOSPI,4100,0,0,4100,4135,4090,571677,2349333425,415622638,1704052815800
20240109,047040,KR7047040001,대우건설,KOSPI,4170,70,1.71,4125,4210,4110,1013228,4216824725,415622638,1733146400460
20240110,047040,KR7047040001,대우건설,KOSPI,4260,90,2.16,4195,4280,4155,1804623,7638985400,415622638,1770552437880
20240111,047040,KR7047040001,대우건설,KOSPI,4240,-20,-.47,4285,4340,4240,1851147,7913655565,415622638,1762239985120
20240112,047040,KR7047040001,대우건설,KOSPI,4205,-35,-.83,4240,4330,4180,925648,3917318315,415622638,1747693192790
20240115,047040,KR7047040001,대우건설,KOSPI,4095,-110,-2.62,4205,4220,4085,1173481,4842271485,415622638,1701974702610
20240116,047040,KR7047040001,대우건설,KOSPI,4090,-5,-.12,4080,4135,4075,693242,2846163190,415622638,1699896589420
20240117,047040,KR7047040001,대우건설,KOSPI,4010,-80,-1.96,4090,4110,3970,1197367,4799948655,415622638,1666646778380
20240118,047040,KR7047040001,대우건설,KOSPI,3970,-40,-1,4000,4090,3955,954485,3803344445,415622638,1650021872860
20240119,047040,KR7047040001,대우건설,KOSPI,3980,10,.25,4000,4040,3970,744125,2970773520,415622638,1654178099240
20240122,047040,KR7047040001,대우건설,KOSPI,3880,-100,-2.51,4015,4015,3870,1450301,5670937500,415622638,1612615835440
