basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20240102,003490,KR7003490000,대한항공,KOSPI,23900,0,0,23750,24000,23600,681904,16218122100,368220661,8800473797900
20240103,003490,KR7003490000,대한항공,KOSPI,23000,-900,-3.77,23850,23900,23000,1033606,24015217650,368220661,8469075203000
20240104,003490,KR7003490000,대한항공,KOSPI,23000,0,0,22700,23100,22500,666691,15243294150,368220661,8469075203000
20240105,003490,KR7003490000,대한항공,KOSPI,23050,50,.22,23000,23150,22750,642293,14772611150,368220661,8487486236050
20240108,003490,KR7003490000,대한항공,KOSPI,22700,-350,-1.52,23100,23150,22500,896223,20319092200,368220661,8358609004700
20240109,003490,KR7003490000,대한항공,KOSPI,23600,900,3.96,23050,23600,22900,1286376,30081918608,368220661,8690007599600
20240110,003490,KR7003490000,대한항공,KOSPI,23600,0,0,23800,23900,23400,647619,15271914750,368220661,8690007599600
20240111,003490,KR7003490000,대한항공,KOSPI,23150,-450,-1.91,23750,23800,23150,758890,17678621150,368220661,8524308302150
20240112,003490,KR7003490000,대한항공,KOSPI,22850,-300,-1.3,23100,23100,22700,827187,18891260800,368220661,8413842103850
20240115,003490,KR7003490000,대한항공,KOSPI,22950,100,.44,23200,24300,22900,1694503,39645572250,368220661,8450664169950
20240116,003490,KR7003490000,대한항공,KOSPI,22650,-300,-1.31,22950,23100,22550,635209,14453411400,368220661,8340197971650
20240117,003490,KR7003490000,대한항공,KOSPI,22100,-550,-2.43,22650,22750,22100,733583,16365197500,368220661,8137676608100
20240118,003490,KR7003490000,대한항공,KOSPI,22250,150,.68,22000,22550,21950,618877,13810170750,368220661,8192909707250
20240119,003490,KR7003490000,대한항공,KOSPI,23000,750,3.37,22550,23000,22400,726618,16506884600,368220661,8469075203000
20240122,003490,KR7003490000,대한항공,KOSPI,22500,-500,-2.17,23000,23000,22450,521048,11791964400,368220661,8284964872500
20240123,003490,KR7003490000,대한항공,KOSPI,22500,0,0,22600,22650,22300,673378,15126664650,368220661,8284964872500
20240124,003490,KR7003490000,대한항공,KOSPI,22300,-200,-.89,22400,22500,22150,641840,14303879750,368220661,8211320740300
20240125,003490,KR7003490000,대한항공,KOSPI,22500,200,.9,22200,22500,22150,443200,9907788900,368220661,8284964872500
20240126,003490,KR7003490000,대한항공,KOSPI,22600,100,.44,22350,22700,22350,506115,11428664050,368220661,8321786938600
20240129,003490,KR7003490000,대한항공,KOSPI,22400,-200,-.88,22450,22600,22300,515636,11583987750,368220661,8248142806400
20240130,003490,KR7003490000,대한항공,KOSPI,22450,50,.22,22500,22600,22300,610535,13702114550,368220661,8266553839450
20240131,003490,KR7003490000,대한항공,KOSPI,22500,50,.22,22500,22500,22150,866776,19515474700,368220661,8284964872500
20240201,003490,KR7003490000,대한항공,KOSPI,22700,200,.89,23000,23350,22400,1269391,28874952100,368220661,8358609004700
20240202,003490,KR7003490000,대한항공,KOSPI,23150,450,1.98,22750,23200,22550,1046922,24106770150,368220661,8524308302150
20240205,003490,KR7003490000,대한항공,KOSPI,22850,-300,-1.3,23150,23200,22650,753129,17188972800,368220661,8413842103850
20240206,003490,KR7003490000,대한항공,KOSPI,22900,50,.22,22750,22900,22650,541475,12339009400,368220661,8432253136900
20240207,003490,KR7003490000,대한항공,KOSPI,23050,150,.66,23000,23150,22800,722661,16594929700,368220661,8487486236050
20240208,003490,KR7003490000,대한항공,KOSPI,22850,-200,-.87,23100,23100,22850,798335,18305415000,368220661,8413842103850
20240213,003490,KR7003490000,대한항공,KOSPI,23650,800,3.5,23050,23750,23000,1683410,39418288600,368220661,8708418632650
20240214,003490,KR7003490000,대한항공,KOSPI,23300,-350,-1.48,23650,23700,23150,1145168,26754919800,368220661,8579541401300
20240215,003490,KR7003490000,대한항공,KOSPI,22900,-400,-1.72,23450,23500,22800,845557,19479384900,368220661,8432253136900
20240216,003490,KR7003490000,대한항공,KOSPI,23100,200,.87,23100,23150,22900,529237,12204500350,368220661,8505897269100
20240219,003490,KR7003490000,대한항공,KOSPI,23400,300,1.3,23100,23400,23100,888082,20711655600,368220661,8616363467400
20240220,003490,KR7003490000,대한항공,KOSPI,23600,200,.85,23400,23600,23300,1048785,24680262700,368220661,8690007599600
20240221,003490,KR7003490000,대한항공,KOSPI,23500,-100,-.42,23600,23750,23400,774151,18263073500,368220661,8653185533500
20240222,003490,KR7003490000,대한항공,KOSPI,23450,-50,-.21,23700,23700,23400,515605,12103520800,368220661,8634774500450
20240223,003490,KR7003490000,대한항공,KOSPI,23200,-250,-1.07,23600,23600,23200,563125,13133498600,368220661,8542719335200
20240226,003490,KR7003490000,대한항공,KOSPI,23000,-200,-.86,23300,23300,23000,666941,15399864750,368220661,8469075203000
20240227,003490,KR7003490000,대한항공,KOSPI,22600,-400,-1.74,23100,23150,22500,1028565,23332231450,368220661,8321786938600
20240228,003490,KR7003490000,대한항공,KOSPI,22700,100,.44,22450,22750,22350,634830,14337134050,368220661,8358609004700
20240229,003490,KR7003490000,대한항공,KOSPI,23000,300,1.32,22500,23450,22400,2221586,51037273750,368220661,8469075203000
20240304,003490,KR7003490000,대한항공,KOSPI,22600,-400,-1.74,23100,23200,22600,936680,21301695180,368220661,8321786938600
20240305,003490,KR7003490000,대한항공,KOSPI,22450,-150,-.66,22500,22800,22450,624648,14069136850,368220661,8266553839450
20240306,003490,KR7003490000,대한항공,KOSPI,22250,-200,-.89,22400,22450,22200,721116,16075416000,368220661,8192909707250
20240307,003490,KR7003490000,대한항공,KOSPI,22200,-50,-.22,22300,22400,22050,581419,12897918200,368220661,8174498674200
20240308,003490,KR7003490000,대한항공,KOSPI,22200,0,0,22400,22500,22200,462218,10317087900,368220661,8174498674200
20240311,003490,KR7003490000,대한항공,KOSPI,22450,250,1.13,22200,22450,22100,540112,12024488750,368220661,8266553839450
20240312,003490,KR7003490000,대한항공,KOSPI,22250,-200,-.89,22450,22450,22150,523859,11632357400,368220661,8192909707250
20240313,003490,KR7003490000,대한항공,KOSPI,22200,-50,-.22,22300,22300,22150,578441,12844729500,368220661,8174498674200
20240314,003490,KR7003490000,대한항공,KOSPI,22250,50,.23,22200,22250,22000,1276290,28272565650,368220661,8192909707250
20240315,003490,KR7003490000,대한항공,KOSPI,22150,-100,-.45,22100,22150,21900,1266145,27858999150,368220661,8156087641150
20240318,003490,KR7003490000,대한항공,KOSPI,21800,-350,-1.58,22150,22150,21800,822452,17967151600,368220661,8027210409800
20240319,003490,KR7003490000,대한항공,KOSPI,21350,-450,-2.06,21750,21800,21250,1249970,26696614800,368220661,7861511112350
20240320,003490,KR7003490000,대한항공,KOSPI,21400,50,.23,21450,21650,21400,573629,12331031950,368220661,7879922145400
20240321,003490,KR7003490000,대한항공,KOSPI,21750,350,1.64,21550,21800,21550,696110,15099225900,368220661,8008799376750
20240322,003490,KR7003490000,대한항공,KOSPI,21800,50,.23,21750,22100,21750,761816,16730290600,368220661,8027210409800
20240325,003490,KR7003490000,대한항공,KOSPI,21800,0,0,21800,21950,21800,355730,7772333250,368220661,8027210409800
