basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20240102,006400,KR7006400006,삼성SDI,KOSPI,467000,-5000,-1.06,469000,469500,463000,195216,91089738500,68764530,32113035510000
20240103,006400,KR7006400006,삼성SDI,KOSPI,446500,-20500,-4.39,462000,462000,446500,350254,158193025500,68764530,30703362645000
20240104,006400,KR7006400006,삼성SDI,KOSPI,445000,-1500,-.34,444500,448500,440000,201870,89577242000,68764530,30600215850000
20240105,006400,KR7006400006,삼성SDI,KOSPI,445000,0,0,445500,449000,442000,172950,77059957500,68764530,30600215850000
20240108,006400,KR7006400006,삼성SDI,KOSPI,436000,-9000,-2.02,445000,446000,435500,213935,93877954000,68764530,29981335080000
20240109,006400,KR7006400006,삼성SDI,KOSPI,432000,-4000,-.92,442000,442000,432000,210683,91923279500,68764530,29706276960000
20240110,006400,KR7006400006,삼성SDI,KOSPI,416500,-15500,-3.59,430000,431500,416000,562351,235590592414,68764530,28640426745000
20240111,006400,KR7006400006,삼성SDI,KOSPI,416500,0,0,415500,421500,415500,331233,138521846199,68764530,28640426745000
20240112,006400,KR7006400006,삼성SDI,KOSPI,408000,-8500,-2.04,417000,418500,405500,369362,151225926381,68764530,28055928240000
20240115,006400,KR7006400006,삼성SDI,KOSPI,400000,-8000,-1.96,400000,404000,396500,337909,135087914500,68764530,27505812000000
20240116,006400,KR7006400006,삼성SDI,KOSPI,395000,-5000,-1.25,398500,405500,395000,312693,124760195500,68764530,27161989350000
20240117,006400,KR7006400006,삼성SDI,KOSPI,379000,-16000,-4.05,395000,397500,379000,511751,196659584500,68764530,26061756870000
20240118,006400,KR7006400006,삼성SDI,KOSPI,376500,-2500,-.66,372000,388500,367500,477618,180130270500,68764530,25889845545000
20240119,006400,KR7006400006,삼성SDI,KOSPI,374000,-2500,-.66,380000,384500,373500,329271,124203791000,68764530,25717934220000
20240122,006400,KR7006400006,삼성SDI,KOSPI,358000,-16000,-4.28,374000,376000,358000,571765,206904334700,68764530,24617701740000
20240123,006400,KR7006400006,삼성SDI,KOSPI,358500,500,.14,354000,362500,354000,533096,191107576570,68764530,24652084005000
20240124,006400,KR7006400006,삼성SDI,KOSPI,354000,-4500,-1.26,358500,361500,350000,519692,184633739000,68764530,24342643620000
20240125,006400,KR7006400006,삼성SDI,KOSPI,347500,-6500,-1.84,351000,353500,345000,436330,152060259500,68764530,23895674175000
20240126,006400,KR7006400006,삼성SDI,KOSPI,360500,13000,3.74,342500,366000,342000,597180,214790818000,68764530,24789613065000
20240129,006400,KR7006400006,삼성SDI,KOSPI,379000,18500,5.13,363500,384000,360500,557298,209918942500,68764530,26061756870000
20240130,006400,KR7006400006,삼성SDI,KOSPI,374500,-4500,-1.19,383500,390000,373500,524836,200823483000,68764530,25752316485000
20240131,006400,KR7006400006,삼성SDI,KOSPI,372500,-2000,-.53,371000,385000,368500,352675,132805151000,68764530,25614787425000
20240201,006400,KR7006400006,삼성SDI,KOSPI,377500,5000,1.34,369000,379500,366000,305271,113497807500,68764530,25958610075000
20240202,006400,KR7006400006,삼성SDI,KOSPI,393000,15500,4.11,377000,395000,376500,380372,148303469500,68764530,27024460290000
20240205,006400,KR7006400006,삼성SDI,KOSPI,387000,-6000,-1.53,396000,399000,387000,327198,128098457500,68764530,26611873110000
20240206,006400,KR7006400006,삼성SDI,KOSPI,374000,-13000,-3.36,382500,385000,374000,348821,131255940500,68764530,25717934220000
20240207,006400,KR7006400006,삼성SDI,KOSPI,382000,8000,2.14,378000,395000,378000,454296,176295445500,68764530,26268050460000
20240208,006400,KR7006400006,삼성SDI,KOSPI,385000,3000,.79,393000,394500,385000,368228,143383852000,68764530,26474344050000
20240213,006400,KR7006400006,삼성SDI,KOSPI,391000,6000,1.56,391000,393000,386000,253552,98922526500,68764530,26886931230000
20240214,006400,KR7006400006,삼성SDI,KOSPI,386500,-4500,-1.15,385000,390000,380000,205747,79107738500,68764530,26577490845000
20240215,006400,KR7006400006,삼성SDI,KOSPI,386000,-500,-.13,393000,393000,385500,258465,100364086500,68764530,26543108580000
20240216,006400,KR7006400006,삼성SDI,KOSPI,404500,18500,4.79,394000,408500,394000,521244,209968977848,68764530,27815252385000
20240219,006400,KR7006400006,삼성SDI,KOSPI,394500,-10000,-2.47,400000,404500,394000,346748,138081747900,68764530,27127607085000
20240220,006400,KR7006400006,삼성SDI,KOSPI,395000,500,.13,394000,396000,386000,231525,90759569000,68764530,27161989350000
20240221,006400,KR7006400006,삼성SDI,KOSPI,400000,5000,1.27,393000,401000,391000,178105,70717279500,68764530,27505812000000
20240222,006400,KR7006400006,삼성SDI,KOSPI,395000,-5000,-1.25,402000,402000,395000,204188,81240046000,68764530,27161989350000
20240223,006400,KR7006400006,삼성SDI,KOSPI,388500,-6500,-1.65,396000,397000,388000,239275,93697201000,68764530,26715019905000
20240226,006400,KR7006400006,삼성SDI,KOSPI,391000,2500,.64,388000,394000,386000,183001,71531879500,68764530,26886931230000
20240227,006400,KR7006400006,삼성SDI,KOSPI,381000,-10000,-2.56,391000,393500,381000,260974,100688259000,68764530,26199285930000
20240228,006400,KR7006400006,삼성SDI,KOSPI,381500,500,.13,384500,393000,381500,191287,73751954000,68764530,26233668195000
20240229,006400,KR7006400006,삼성SDI,KOSPI,377000,-4500,-1.18,381000,382500,376000,246129,93137018000,68764530,25924227810000
20240304,006400,KR7006400006,삼성SDI,KOSPI,374500,-2500,-.66,377500,383000,373500,302231,113942353425,68764530,25752316485000
20240305,006400,KR7006400006,삼성SDI,KOSPI,366500,-8000,-2.14,371000,371500,366000,296735,109258515000,68764530,25202200245000
20240306,006400,KR7006400006,삼성SDI,KOSPI,364500,-2000,-.55,365000,369000,363000,220362,80463893000,68764530,25064671185000
20240307,006400,KR7006400006,삼성SDI,KOSPI,412000,47500,13.03,369000,417000,368000,1771829,710120281000,68764530,28330986360000
20240308,006400,KR7006400006,삼성SDI,KOSPI,426000,14000,3.4,420500,442500,418000,1764503,761622730500,68764530,29293689780000
20240311,006400,KR7006400006,삼성SDI,KOSPI,413500,-12500,-2.93,421000,424500,411000,533937,222433320500,68764530,28434133155000
20240312,006400,KR7006400006,삼성SDI,KOSPI,459500,46000,11.12,421500,461000,421500,1470069,650697201000,68764530,31597301535000
20240313,006400,KR7006400006,삼성SDI,KOSPI,459500,0,0,453500,468500,447000,1060664,486393254000,68764530,31597301535000
20240314,006400,KR7006400006,삼성SDI,KOSPI,446000,-13500,-2.94,454500,465000,441500,799779,359865003500,68764530,30668980380000
20240315,006400,KR7006400006,삼성SDI,KOSPI,425000,-21000,-4.71,437000,438000,422000,785190,335613221500,68764530,29224925250000
20240318,006400,KR7006400006,삼성SDI,KOSPI,444000,19000,4.47,425000,448000,424500,569305,249578732000,68764530,30531451320000
20240319,006400,KR7006400006,삼성SDI,KOSPI,451000,7000,1.58,451500,454500,438500,655915,293146862500,68764530,31012803030000
20240320,006400,KR7006400006,삼성SDI,KOSPI,453000,2000,.44,450500,471500,445500,910857,419149151280,68764530,31150332090000
20240321,006400,KR7006400006,삼성SDI,KOSPI,455500,2500,.55,456000,465000,454000,537490,246475541000,68764530,31322243415000
20240322,006400,KR7006400006,삼성SDI,KOSPI,472500,17000,3.73,454500,475000,453500,779394,364414171000,68764530,32491240425000
20240325,006400,KR7006400006,삼성SDI,KOSPI,486000,13500,2.86,478000,494500,475000,840495,409179508728,68764530,33419561580000
20240326,006400,KR7006400006,삼성SDI,KOSPI,473000,-13000,-2.67,488500,493500,471500,822461,396916734646,68764530,32525622690000
20240327,006400,KR7006400006,삼성SDI,KOSPI,480500,7500,1.59,477000,491500,476500,577141,278976575500,68764530,33041356665000
20240328,006400,KR7006400006,삼성SDI,KOSPI,477500,-3000,-.62,487000,488000,475500,485116,233240273000,68764530,32835063075000
20240329,006400,KR7006400006,삼성SDI,KOSPI,471000,-6500,-1.36,477500,478000,460000,586778,273673352000,68764530,32388093630000
20240401,006400,KR7006400006,삼성SDI,KOSPI,454000,-17000,-3.61,469000,470000,453500,455659,207937501000,68764530,31219096620000
20240402,006400,KR7006400006,삼성SDI,KOSPI,453000,-1000,-.22,453000,463500,452500,369009,168447917000,68764530,31150332090000
20240403,006400,KR7006400006,삼성SDI,KOSPI,428000,-25000,-5.52,441500,445000,428000,601115,260054794000,68764530,29431218840000
20240404,006400,KR7006400006,삼성SDI,KOSPI,442000,14000,3.27,434000,448000,432000,449367,197143020500,68764530,30393922260000
20240405,006400,KR7006400006,삼성SDI,KOSPI,420500,-21500,-4.86,433500,434500,420000,429686,182279169500,68764530,28915484865000
20240408,006400,KR7006400006,삼성SDI,KOSPI,420000,-500,-.12,415500,428500,407000,461096,192048185000,68764530,28881102600000
20240409,006400,KR7006400006,삼성SDI,KOSPI,411000,-9000,-2.14,425000,426500,411000,313504,130511646000,68764530,28262221830000
20240411,006400,KR7006400006,삼성SDI,KOSPI,407500,-3500,-.85,403000,415500,401000,316145,129718952500,68764530,28021545975000
20240412,006400,KR7006400006,삼성SDI,KOSPI,401000,-6500,-1.6,410000,411000,401000,269656,109042963000,68764530,27574576530000
20240415,006400,KR7006400006,삼성SDI,KOSPI,394000,-7000,-1.75,396500,401000,392500,274388,108596416000,68764530,27093224820000
20240416,006400,KR7006400006,삼성SDI,KOSPI,386500,-7500,-1.9,387000,391000,384500,245249,94884089000,68764530,26577490845000
20240417,006400,KR7006400006,삼성SDI,KOSPI,386000,-500,-.13,388500,399500,386000,267059,104634938000,68764530,26543108580000
20240418,006400,KR7006400006,삼성SDI,KOSPI,405500,19500,5.05,390000,408000,390000,322387,129715873500,68764530,27884016915000
