basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20200102,028260,KR7028260008,삼성물산,KOSPI,107500,-1000,-.92,109000,110000,106500,232765,24996073000,189690043,20391679622500
20200103,028260,KR7028260008,삼성물산,KOSPI,107500,0,0,108500,109500,107000,253791,27390855000,189690043,20391679622500
20200106,028260,KR7028260008,삼성물산,KOSPI,106000,-1500,-1.4,106000,107000,105000,236334,25040166500,189690043,20107144558000
20200107,028260,KR7028260008,삼성물산,KOSPI,108000,2000,1.89,107000,108000,106500,200467,21538066000,189690043,20486524644000
20200108,028260,KR7028260008,삼성물산,KOSPI,105000,-3000,-2.78,106500,107000,103000,409091,42862850500,189690043,19917454515000
20200109,028260,KR7028260008,삼성물산,KOSPI,106500,1500,1.43,106000,107000,106000,446040,47482707000,189690043,20201989579500
20200110,028260,KR7028260008,삼성물산,KOSPI,107000,500,.47,106000,108000,105500,267976,28629068500,189690043,20296834601000
20200113,028260,KR7028260008,삼성물산,KOSPI,109000,2000,1.87,107000,109000,106500,336316,36442181000,189690043,20676214687000
20200114,028260,KR7028260008,삼성물산,KOSPI,107000,-2000,-1.83,109000,110000,106500,343008,36981873500,189690043,20296834601000
20200115,028260,KR7028260008,삼성물산,KOSPI,107000,0,0,107000,108000,106000,199124,21287170000,189690043,20296834601000
20200116,028260,KR7028260008,삼성물산,KOSPI,108000,1000,.93,107500,108500,106000,200395,21535015000,189690043,20486524644000
20200117,028260,KR7028260008,삼성물산,KOSPI,107500,-500,-.46,108500,109500,107500,181114,19600909000,189690043,20391679622500
20200120,028260,KR7028260008,삼성물산,KOSPI,112000,4500,4.19,108000,112000,107500,544608,60240769500,189690043,21245284816000
20200121,028260,KR7028260008,삼성물산,KOSPI,110000,-2000,-1.79,111500,112500,109500,248677,27545755000,189690043,20865904730000
20200122,028260,KR7028260008,삼성물산,KOSPI,112000,2000,1.82,110000,112500,109500,285391,31776679500,189690043,21245284816000
20200123,028260,KR7028260008,삼성물산,KOSPI,117000,5000,4.46,113000,119000,112500,1290170,150605409500,189690043,22193735031000
20200128,028260,KR7028260008,삼성물산,KOSPI,112000,-5000,-4.27,113500,114500,111000,706005,79449153500,189690043,21245284816000
20200129,028260,KR7028260008,삼성물산,KOSPI,113500,1500,1.34,112500,114000,110500,384304,43370225000,189690043,21529819880500
20200130,028260,KR7028260008,삼성물산,KOSPI,110500,-3000,-2.64,113500,114000,109000,448272,49640929500,189690043,20960749751500
20200131,028260,KR7028260008,삼성물산,KOSPI,108500,-2000,-1.81,110000,111500,108000,391016,42865459000,189690043,20581369665500
20200203,028260,KR7028260008,삼성물산,KOSPI,107500,-1000,-.92,106500,108500,105500,379093,40558777500,189690043,20391679622500
20200204,028260,KR7028260008,삼성물산,KOSPI,111000,3500,3.26,108500,111000,107500,387111,42445681000,189690043,21055594773000
20200205,028260,KR7028260008,삼성물산,KOSPI,110500,-500,-.45,111500,112000,110000,405448,44993958500,189690043,20960749751500
20200206,028260,KR7028260008,삼성물산,KOSPI,115500,5000,4.52,112000,117000,112000,608944,70002581000,189690043,21909199966500
20200207,028260,KR7028260008,삼성물산,KOSPI,115000,-500,-.43,115500,116500,114000,358446,41304994000,189690043,21814354945000
20200210,028260,KR7028260008,삼성물산,KOSPI,116000,1000,.87,115000,116500,113000,297490,34326964500,189690043,22004044988000
20200211,028260,KR7028260008,삼성물산,KOSPI,119000,3000,2.59,117000,120000,116500,543327,64748677000,189690043,22573115117000
20200212,028260,KR7028260008,삼성물산,KOSPI,119500,500,.42,118500,120000,118000,325990,38792384500,189690043,22667960138500
20200213,028260,KR7028260008,삼성물산,KOSPI,118500,-1000,-.84,120000,121500,118000,443917,52975272000,189690043,22478270095500
20200214,028260,KR7028260008,삼성물산,KOSPI,119500,1000,.84,118500,120000,117500,310446,36931703250,189690043,22667960138500
