basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20240102,207940,KR7207940008,삼성바이오로직스,KOSPI,789000,29000,3.82,760000,800000,756000,199238,155991336500,71174000,56156286000000
20240103,207940,KR7207940008,삼성바이오로직스,KOSPI,787000,-2000,-.25,782000,793000,776000,87350,68694638000,71174000,56013938000000
20240104,207940,KR7207940008,삼성바이오로직스,KOSPI,770000,-17000,-2.16,782000,784000,759000,77785,59734262000,71174000,54803980000000
20240105,207940,KR7207940008,삼성바이오로직스,KOSPI,756000,-14000,-1.82,765000,769000,753000,60943,46175385000,71174000,53807544000000
20240108,207940,KR7207940008,삼성바이오로직스,KOSPI,749000,-7000,-.93,763000,763000,746000,60440,45446153000,71174000,53309326000000
20240109,207940,KR7207940008,삼성바이오로직스,KOSPI,752000,3000,.4,757000,758000,751000,32301,24366690000,71174000,53522848000000
20240110,207940,KR7207940008,삼성바이오로직스,KOSPI,746000,-6000,-.8,758000,758000,745000,25263,18895698000,71174000,53095804000000
20240111,207940,KR7207940008,삼성바이오로직스,KOSPI,751000,5000,.67,750000,765000,746000,51085,38572446000,71174000,53451674000000
20240112,207940,KR7207940008,삼성바이오로직스,KOSPI,744000,-7000,-.93,752000,758000,740000,36332,27142333000,71174000,52953456000000
20240115,207940,KR7207940008,삼성바이오로직스,KOSPI,764000,20000,2.69,742000,768000,739000,56061,42598626500,71174000,54376936000000
20240116,207940,KR7207940008,삼성바이오로직스,KOSPI,766000,2000,.26,765000,777000,755000,71224,54774108000,71174000,54519284000000
20240117,207940,KR7207940008,삼성바이오로직스,KOSPI,756000,-10000,-1.31,770000,770000,755000,66807,50887149000,71174000,53807544000000
20240118,207940,KR7207940008,삼성바이오로직스,KOSPI,750000,-6000,-.79,756000,760000,748000,45252,34052996000,71174000,53380500000000
20240119,207940,KR7207940008,삼성바이오로직스,KOSPI,770000,20000,2.67,751000,771000,747000,92506,70502507500,71174000,54803980000000
20240122,207940,KR7207940008,삼성바이오로직스,KOSPI,793000,23000,2.99,775000,793000,771000,136637,107397628000,71174000,56440982000000
20240123,207940,KR7207940008,삼성바이오로직스,KOSPI,799000,6000,.76,793000,799000,789000,77547,61680453000,71174000,56868026000000
