basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20200102,005930,KR7005930003,삼성전자,KOSPI,55200,-600,-1.08,55500,56000,55000,12993228,719663194492,5969782550,329531996760000
20200103,005930,KR7005930003,삼성전자,KOSPI,55500,300,.54,56000,56600,54900,15422255,860206709400,5969782550,331322931525000
20200106,005930,KR7005930003,삼성전자,KOSPI,55500,0,0,54900,55600,54600,10278951,567461518576,5969782550,331322931525000
20200107,005930,KR7005930003,삼성전자,KOSPI,55800,300,.54,55700,56400,55600,10009778,560226659600,5969782550,333113866290000
20200108,005930,KR7005930003,삼성전자,KOSPI,56800,1000,1.79,56200,57400,55900,23501171,1330939275000,5969782550,339083648840000
20200109,005930,KR7005930003,삼성전자,KOSPI,58600,1800,3.17,58400,58600,57400,24102579,1402996580240,5969782550,349829257430000
20200110,005930,KR7005930003,삼성전자,KOSPI,59500,900,1.54,58800,59700,58300,16000170,945370595609,5969782550,355202061725000
20200113,005930,KR7005930003,삼성전자,KOSPI,60000,500,.84,59600,60000,59100,11359139,677775904500,5969782550,358186953000000
20200114,005930,KR7005930003,삼성전자,KOSPI,60000,0,0,60400,61000,59900,16906295,1021497902472,5969782550,358186953000000
20200115,005930,KR7005930003,삼성전자,KOSPI,59000,-1000,-1.67,59500,59600,58900,14300928,846497803148,5969782550,352217170450000
20200116,005930,KR7005930003,삼성전자,KOSPI,60700,1700,2.88,59100,60700,59000,14381774,862500254132,5969782550,362365800785000
20200117,005930,KR7005930003,삼성전자,KOSPI,61300,600,.99,61900,62000,61000,16025661,984566747211,5969782550,365947670315000
20200120,005930,KR7005930003,삼성전자,KOSPI,62400,1100,1.79,62000,62800,61700,12528855,781048125700,5969782550,372514431120000
20200121,005930,KR7005930003,삼성전자,KOSPI,61400,-1000,-1.6,62000,62400,61200,11142693,686991404500,5969782550,366544648570000
20200122,005930,KR7005930003,삼성전자,KOSPI,62300,900,1.47,60500,62600,60400,15339565,943882357729,5969782550,371917452865000
20200123,005930,KR7005930003,삼성전자,KOSPI,60800,-1500,-2.41,61800,61800,60700,14916555,912319470070,5969782550,362962779040000
20200128,005930,KR7005930003,삼성전자,KOSPI,58800,-2000,-3.29,59400,59400,58300,23664541,1394361672900,5969782550,351023213940000
20200129,005930,KR7005930003,삼성전자,KOSPI,59100,300,.51,59100,59700,58800,16446102,975344481100,5969782550,352814148705000
20200130,005930,KR7005930003,삼성전자,KOSPI,57200,-1900,-3.21,58800,58800,56800,20821939,1202914994182,5969782550,341471561860000
20200131,005930,KR7005930003,삼성전자,KOSPI,56400,-800,-1.4,57800,58400,56400,19749457,1132894868886,5969782550,336695735820000
20200203,005930,KR7005930003,삼성전자,KOSPI,57200,800,1.42,55500,57400,55200,23995260,1354043037985,5969782550,341471561860000
20200204,005930,KR7005930003,삼성전자,KOSPI,58900,1700,2.97,57100,59000,56800,21800192,1271098154792,5969782550,351620192195000
20200205,005930,KR7005930003,삼성전자,KOSPI,59500,600,1.02,60000,60200,58900,19278165,1147948101875,5969782550,355202061725000
20200206,005930,KR7005930003,삼성전자,KOSPI,61100,1600,2.69,60100,61100,59700,14727159,889351613760,5969782550,364753713805000
20200207,005930,KR7005930003,삼성전자,KOSPI,60400,-700,-1.15,61100,61200,59700,16402493,989081174058,5969782550,360574866020000
20200210,005930,KR7005930003,삼성전자,KOSPI,59700,-700,-1.16,59200,59800,59100,13107121,779716562160,5969782550,356396018235000
20200211,005930,KR7005930003,삼성전자,KOSPI,59900,200,.34,59800,60700,59700,11071231,665611292200,5969782550,357589974745000
20200212,005930,KR7005930003,삼성전자,KOSPI,60500,600,1,60300,60700,59700,12904207,776552625500,5969782550,361171844275000
20200213,005930,KR7005930003,삼성전자,KOSPI,60700,200,.33,61200,61600,60500,18449775,1127648710000,5969782550,362365800785000
20200214,005930,KR7005930003,삼성전자,KOSPI,61800,1100,1.81,60900,61900,60200,13276067,814138135400,5969782550,368932561590000
20200217,005930,KR7005930003,삼성전자,KOSPI,61500,-300,-.49,61600,62000,61200,8740596,538520786200,5969782550,367141626825000
20200218,005930,KR7005930003,삼성전자,KOSPI,59800,-1700,-2.76,60800,60900,59700,16674266,1004070367400,5969782550,356992996490000
20200219,005930,KR7005930003,삼성전자,KOSPI,60200,400,.67,59800,60400,59400,12951496,775714875900,5969782550,359380909510000
20200220,005930,KR7005930003,삼성전자,KOSPI,60000,-200,-.33,60700,61300,59600,14591924,880828906700,5969782550,358186953000000
20200221,005930,KR7005930003,삼성전자,KOSPI,59200,-800,-1.33,58800,59800,58500,13777393,817158847200,5969782550,353411126960000
