basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20200102,055550,KR7055550008,신한지주,KOSPI,42600,-750,-1.73,43100,43450,42400,772880,32978192900,474199587,20200902406200
20200103,055550,KR7055550008,신한지주,KOSPI,42750,150,.35,42750,43200,42650,963717,41270854300,474199587,20272032344250
20200106,055550,KR7055550008,신한지주,KOSPI,42100,-650,-1.52,42400,42700,41900,719169,30281185600,474199587,19963802612700
20200107,055550,KR7055550008,신한지주,KOSPI,42750,650,1.54,42500,42750,42100,759544,32289413500,474199587,20272032344250
20200108,055550,KR7055550008,신한지주,KOSPI,42000,-750,-1.75,42100,42100,41750,1122496,47018339800,474199587,19916382654000
20200109,055550,KR7055550008,신한지주,KOSPI,42200,200,.48,41850,42400,41800,1254533,52825660750,474199587,20011222571400
20200110,055550,KR7055550008,신한지주,KOSPI,41350,-850,-2.01,42100,42250,41200,1405033,58345071400,474199587,19608152922450
20200113,055550,KR7055550008,신한지주,KOSPI,41750,400,.97,41200,41800,40950,988398,41015578909,474199587,19797832757250
20200114,055550,KR7055550008,신한지주,KOSPI,41850,100,.24,41450,42100,41450,1200364,50190587450,474199587,19845252715950
20200115,055550,KR7055550008,신한지주,KOSPI,41500,-350,-.84,41700,42050,41350,1158426,48166419100,474199587,19679282860500
20200116,055550,KR7055550008,신한지주,KOSPI,41300,-200,-.48,41450,41450,40950,1360022,55997973700,474199587,19584442943100
20200117,055550,KR7055550008,신한지주,KOSPI,41050,-250,-.61,41000,41400,40800,1370331,56223693400,474199587,19465893046350
20200120,055550,KR7055550008,신한지주,KOSPI,41300,250,.61,41150,41900,41000,1139491,47318321150,474199587,19584442943100
20200121,055550,KR7055550008,신한지주,KOSPI,41400,100,.24,41250,41850,41200,1333154,55302029050,474199587,19631862901800
20200122,055550,KR7055550008,신한지주,KOSPI,41000,-400,-.97,41400,41550,40900,1166603,48029457900,474199587,19442183067000
20200123,055550,KR7055550008,신한지주,KOSPI,41200,200,.49,40700,41250,40650,894645,36637870300,474199587,19537022984400
20200128,055550,KR7055550008,신한지주,KOSPI,40150,-1050,-2.55,40350,40700,39700,1463667,58670041700,474199587,19039113418050
20200129,055550,KR7055550008,신한지주,KOSPI,39800,-350,-.87,39900,40100,39600,1001549,39914746750,474199587,18873143562600
20200130,055550,KR7055550008,신한지주,KOSPI,39900,100,.25,40050,40100,39600,1064052,42415507300,474199587,18920563521300
20200131,055550,KR7055550008,신한지주,KOSPI,39150,-750,-1.88,40300,40300,39150,1285828,50922061150,474199587,18564913831050
