basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20240102,009830,KR7009830001,한화솔루션,KOSPI,38600,-900,-2.28,39500,39500,38300,753499,29125850900,171892536,6635051889600
20240103,009830,KR7009830001,한화솔루션,KOSPI,37450,-1150,-2.98,38050,38450,37450,867468,32720524350,171892536,6437375473200
20240104,009830,KR7009830001,한화솔루션,KOSPI,36600,-850,-2.27,36650,36900,35550,1083258,39302976900,171892536,6291266817600
20240105,009830,KR7009830001,한화솔루션,KOSPI,36300,-300,-.82,36400,36950,36050,714593,26124661400,171892536,6239699056800
20240108,009830,KR7009830001,한화솔루션,KOSPI,35600,-700,-1.93,36300,36850,35600,655553,23581597400,171892536,6119374281600
20240109,009830,KR7009830001,한화솔루션,KOSPI,37000,1400,3.93,36700,38100,36450,1441041,53721822350,171892536,6360023832000
20240110,009830,KR7009830001,한화솔루션,KOSPI,38550,1550,4.19,37750,39300,37600,2410753,93323183500,171892536,6626457262800
20240111,009830,KR7009830001,한화솔루션,KOSPI,37500,-1050,-2.72,38650,38900,37500,1051976,40031121400,171892536,6445970100000
20240112,009830,KR7009830001,한화솔루션,KOSPI,36750,-750,-2,37550,38000,36750,618701,22970172900,171892536,6317050698000
20240115,009830,KR7009830001,한화솔루션,KOSPI,37200,450,1.22,36750,37950,36750,627403,23523150950,171892536,6394402339200
20240116,009830,KR7009830001,한화솔루션,KOSPI,37750,550,1.48,37000,38500,37000,863341,32748870600,171892536,6488943234000
20240117,009830,KR7009830001,한화솔루션,KOSPI,34150,-3600,-9.54,37000,37050,34100,2041632,70954327750,171892536,5870130104400
20240118,009830,KR7009830001,한화솔루션,KOSPI,33200,-950,-2.78,34100,34600,32800,1408701,47162142200,171892536,5706832195200
20240119,009830,KR7009830001,한화솔루션,KOSPI,32600,-600,-1.81,33400,34100,32450,1316582,43431082200,171892536,5603696673600
20240122,009830,KR7009830001,한화솔루션,KOSPI,32200,-400,-1.23,32700,32900,31650,771241,24826424500,171892536,5534939659200
20240123,009830,KR7009830001,한화솔루션,KOSPI,32900,700,2.17,32650,33550,32600,841747,27895280800,171892536,5655264434400
20240124,009830,KR7009830001,한화솔루션,KOSPI,33750,850,2.58,33750,34150,33250,768656,25877850850,171892536,5801373090000
20240125,009830,KR7009830001,한화솔루션,KOSPI,32950,-800,-2.37,33200,33350,32550,569270,18701950400,171892536,5663859061200
20240126,009830,KR7009830001,한화솔루션,KOSPI,32950,0,0,32750,33100,32400,460852,15116257550,171892536,5663859061200
20240129,009830,KR7009830001,한화솔루션,KOSPI,32600,-350,-1.06,33000,33100,32550,421000,13778790850,171892536,5603696673600
20240130,009830,KR7009830001,한화솔루션,KOSPI,33250,650,1.99,33000,34100,32950,777968,26093289500,171892536,5715426822000
20240131,009830,KR7009830001,한화솔루션,KOSPI,33350,100,.3,33300,33900,32750,639514,21402409500,171892536,5732616075600
20240201,009830,KR7009830001,한화솔루션,KOSPI,35000,1650,4.95,33400,35000,32850,1014891,35019859850,171892536,6016238760000
20240202,009830,KR7009830001,한화솔루션,KOSPI,34700,-300,-.86,35250,35850,34650,837462,29361278650,171892536,5964670999200
20240205,009830,KR7009830001,한화솔루션,KOSPI,33200,-1500,-4.32,34550,34650,32800,1058349,35289721000,171892536,5706832195200
20240206,009830,KR7009830001,한화솔루션,KOSPI,32250,-950,-2.86,32800,33200,32250,819274,26603560300,171892536,5543534286000
20240207,009830,KR7009830001,한화솔루션,KOSPI,31600,-650,-2.02,32000,32200,31000,1782214,56002257800,171892536,5431804137600
20240208,009830,KR7009830001,한화솔루션,KOSPI,31850,250,.79,32500,32600,31600,819718,26246084750,171892536,5474777271600
20240213,009830,KR7009830001,한화솔루션,KOSPI,32250,400,1.26,32600,32850,32200,629246,20431809800,171892536,5543534286000
20240214,009830,KR7009830001,한화솔루션,KOSPI,32000,-250,-.78,31600,32150,31400,577862,18350093950,171892536,5500561152000
20240215,009830,KR7009830001,한화솔루션,KOSPI,32250,250,.78,32750,32750,32050,514452,16647573550,171892536,5543534286000
20240216,009830,KR7009830001,한화솔루션,KOSPI,33600,1350,4.19,32600,34150,32600,1359706,45539454650,171892536,5775589209600
20240219,009830,KR7009830001,한화솔루션,KOSPI,33250,-350,-1.04,33300,33850,32900,621708,20683730400,171892536,5715426822000
20240220,009830,KR7009830001,한화솔루션,KOSPI,32950,-300,-.9,33450,33650,32850,579253,19228016950,171892536,5663859061200
20240221,009830,KR7009830001,한화솔루션,KOSPI,32800,-150,-.46,32900,33150,32550,486652,15973270450,171892536,5638075180800
20240222,009830,KR7009830001,한화솔루션,KOSPI,29300,-3500,-10.67,32950,33100,28900,4885784,147306269000,171892536,5036451304800
20240223,009830,KR7009830001,한화솔루션,KOSPI,26900,-2400,-8.19,28800,28800,26500,6545619,177102508750,171892536,4623909218400
20240226,009830,KR7009830001,한화솔루션,KOSPI,26800,-100,-.37,26750,27650,26650,2495943,67600400000,171892536,4606719964800
20240227,009830,KR7009830001,한화솔루션,KOSPI,27300,500,1.87,26950,27300,26800,1292909,35073546350,171892536,4692666232800
20240228,009830,KR7009830001,한화솔루션,KOSPI,27950,650,2.38,27600,28250,27450,1658587,46262933300,171892536,4804396381200
20240229,009830,KR7009830001,한화솔루션,KOSPI,27750,-200,-.72,27700,27950,27450,920770,25481683650,171892536,4770017874000
20240304,009830,KR7009830001,한화솔루션,KOSPI,27600,-150,-.54,28000,28100,27400,722389,20056219300,171892536,4744233993600
20240305,009830,KR7009830001,한화솔루션,KOSPI,27250,-350,-1.27,27300,27700,27150,636334,17419638850,171892536,4684071606000
20240306,009830,KR7009830001,한화솔루션,KOSPI,26900,-350,-1.28,27200,27450,26800,827642,22367008200,171892536,4623909218400
20240307,009830,KR7009830001,한화솔루션,KOSPI,26650,-250,-.93,26900,27100,26500,678458,18114697750,171892536,4580936084400
20240308,009830,KR7009830001,한화솔루션,KOSPI,27350,700,2.63,27050,27350,26900,790138,21439905300,171892536,4701260859600
20240311,009830,KR7009830001,한화솔루션,KOSPI,27000,-350,-1.28,27400,27450,26950,534057,14489935350,171892536,4641098472000
20240312,009830,KR7009830001,한화솔루션,KOSPI,27250,250,.93,27150,27350,27000,494684,13435070250,171892536,4684071606000
20240313,009830,KR7009830001,한화솔루션,KOSPI,26900,-350,-1.28,27300,27300,26900,685184,18501102700,171892536,4623909218400
20240314,009830,KR7009830001,한화솔루션,KOSPI,27800,900,3.35,26900,27800,26800,871964,23847358100,171892536,4778612500800
20240315,009830,KR7009830001,한화솔루션,KOSPI,27450,-350,-1.26,27600,27600,27050,715543,19574399200,171892536,4718450113200
20240318,009830,KR7009830001,한화솔루션,KOSPI,27650,200,.73,27550,27650,27100,455440,12506094600,171892536,4752828620400
20240319,009830,KR7009830001,한화솔루션,KOSPI,27050,-600,-2.17,27650,27700,27050,545394,14891967200,171892536,4649693098800
20240320,009830,KR7009830001,한화솔루션,KOSPI,27050,0,0,27300,27550,27000,452820,12306539900,171892536,4649693098800
20240321,009830,KR7009830001,한화솔루션,KOSPI,27550,500,1.85,27550,28100,27350,881630,24355320400,171892536,4735639366800
20240322,009830,KR7009830001,한화솔루션,KOSPI,27600,50,.18,27600,28050,27500,784096,21744202450,171892536,4744233993600
20240325,009830,KR7009830001,한화솔루션,KOSPI,27250,-350,-1.27,27600,27600,27150,580568,15834529600,171892536,4684071606000
20240326,009830,KR7009830001,한화솔루션,KOSPI,27200,-50,-.18,27250,27650,27100,620861,16946853950,171892536,4675476979200
20240327,009830,KR7009830001,한화솔루션,KOSPI,27100,-100,-.37,27150,27400,27000,461724,12546001750,171892536,4658287725600
