제목,언론사,날짜,링크
'HMM의 출발점' 송윤재 전 현대상선 고문 별세,서울경제,20240101,https://www.sedaily.com/NewsView/2D3WZ562KZ
"해수부 장관 ""이달 말 HMM 매각 관련 1차 협의 결과 발표""",한국경제,20240102,https://www.hankyung.com/article/202401026913i
"HMM, 해상 운송 탄소배출량 측정…'그린 세일링' 시동",뉴시스,20240103,http://www.newsis.com/view/?id=NISX20240103_0002579143&cID=13001&pID=13000
"""홍해 리스크에 유럽행 물류비 2배로""…HMM·흥아해운 6%대 강세[핫종목...",뉴스1,20240104,https://www.news1.kr/articles/5280155
[위클립] 1월 1주,참여와혁신,20240106,http://www.laborplus.co.kr/news/articleView.html?idxno=33031
롯데손보·지오영…사모펀드 보유 매물 쏟아진다,서울경제,20240107,https://www.sedaily.com/NewsView/2D3ZPZX97V
"“하림그룹, HMM 인수 적절한지 따져보자”",부산일보,20240108,https://www.busan.com/view/busan/view.php?code=2024010818342092693
"[오늘의 주목주] '실적 우려' HMM 4%대 하락, LS머트리얼즈 10%대 급락",비즈니스포스트,20240109,https://www.businesspost.co.kr/BP?command=article_view&num=338765
"HMM, 국내 기업 수출 물량 해소 위해 4척 투입",서울경제,20240110,https://www.sedaily.com/NewsView/2D413HWV5P
'홍해 사태 장기화'…HMM 실적개선 이어질까,딜사이트,20240112,https://dealsite.co.kr/articles/116321
HMM매각 전 국민 공감대 형성이 우선돼야,현대해양,20240113,http://www.hdhy.co.kr/news/articleView.html?idxno=20008
"예맨 반군의 무차별 선박 공격 장기화, HMM 올해 수익성 개선 단초될까",비즈니스포스트,20240114,https://www.businesspost.co.kr/BP?command=article_view&num=339212
"""수에즈 운하 통항 장애로 해운사 반사이익 누려…HMM 주목""",한국경제,20240115,https://www.hankyung.com/article/2024011537176
"HMM 해원노조 단체협상 결렬 통보…""조정 안되면 파업할 것""",서울경제,20240116,https://www.sedaily.com/NewsView/2D43W4707W
[단독] 산업은행 보유 HMM 주식 외부 실사 나선다,블로터,20240117,https://www.bloter.net/news/articleView.html?idxno=610868
"하림의 HMM 인수…""새우가 고래 삼키면 둘다 위험""",뉴시스,20240118,http://www.newsis.com/view/?id=NISX20240118_0002597036&cID=13001&pID=13000
"""치킨 이미지 벗어라""…하림의 꿈 실현엔 '주머닛돈'이 관건",아이뉴스24,20240120,http://www.inews24.com/view/1678357
인수전 진통에 운항동맹 재편까지… HMM 앞길 '첩첩산중',부산일보,20240121,https://www.busan.com/view/busan/view.php?code=2024012117523088359
"""2주 연장"" HMM 매각 본계약 협상, 설 전에 끝낸다",머니S,20240123,https://www.moneys.co.kr/article/2024012308564798374
HMM 가닛호 명명식,연합뉴스,20240124,https://www.yna.co.kr/view/PYH20240124124100003?input=1196m
