제목,언론사,날짜,링크
"윤종규 KB금융 회장, 새해 첫 행보로 콜센터 현장 방문",전자신문,20200102,http://www.etnews.com/20200102000007
새해 콜센터 출근한 KB금융 회장 “다양한 인수합병 가능성 열고 검토”,서울신문,20200103,https://www.seoul.co.kr/news/newsView.php?id=20200103022022&wlog_tag3=naver
금융지주 빅4 ‘당기순익 3조 클럽’ 넘봐 [뉴스 인사이드],세계일보,20200104,http://www.segye.com/content/html/2020/01/02/20200102519839.html?OutUrl=naver
"윤종규 KB금융 회장 ""지속가능 경영 선도하는 금융그룹 되겠다""",연합뉴스,20200105,http://yna.kr/AKR20200104034400002?did=1195m
"KB금융, 피겨 꿈나무 장학금 5000만원 전달",뉴시스,20200106,http://www.newsis.com/view/?id=NISX20200106_0000880159&cID=10401&pID=10400
"윤종규 회장 ""KB금융 경쟁자는 구글""",조선일보,20200107,https://biz.chosun.com/site/data/html_dir/2020/01/07/2020010700029.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"KB국민카드, 중고차 할부금융 특화 영업점 '오토 금융센터' 개소",한국경제,20200108,https://www.hankyung.com/economy/article/2020010813536
"KB금융, 'LPGA 루키' 전지원 선수 메인 스폰서로",뉴시스,20200109,http://www.newsis.com/view/?id=NISX20200109_0000884235&cID=10401&pID=10400
[인사] KB금융지주·KB국민은행,연합뉴스,20200110,http://yna.kr/AKR20200110067200002?did=1195m
"[fn마켓워치]기업거버넌스포럼 ""KB금융, 자사주 매입 소각 모범적""",파이낸셜뉴스,20200111,http://www.fnnews.com/news/202001101031287765
"KB국민카드·KB캐피탈, 車할부금융 시장 공략 가속화",아시아경제,20200112,https://view.asiae.co.kr/article/2020011215174527103
"KB금융, 국내 신디케이티드론 주선 4년 연속 1위",뉴스1,20200113,http://news1.kr/articles/?3815160
"KB금융, WM복합점포 확대…종합자산관리 서비스 강화",연합뉴스,20200114,http://yna.kr/AKR20200114052200002?did=1195m
"KB금융, 사회복지공동모금회에 이웃돕기 성금 100억원 전달",연합뉴스,20200115,http://yna.kr/AKR20200115059200002?did=1195m
"푸르덴셜생명 인수전, KB금융·MBK 등 4파전",이데일리,20200116,http://www.edaily.co.kr/news/newspath.asp?newsid=03896646625638376
푸르덴셜생명 매각 개시…KB금융·사모펀드 경쟁전 돌입,SBS Biz,20200117,https://cnbc.sbs.co.kr/article_hub/10000969662?division=NAVER
M&A전문가 윤종규 KB금융회장의 ‘마지막 화살’,쿠키뉴스,20200118,http://www.kukinews.com/news/article.html?no=739014
"KB금융, 푸르덴셜 품고 리딩뱅크 도약하나",컨슈머타임스,20200119,http://www.cstimes.com/news/articleView.html?idxno=400407
"KB증권, 2020 경영전략 워크숍 개최",파이낸셜뉴스,20200120,http://www.fnnews.com/news/202001201106222846
"KB금융, M&A 위해 5500억 자금 조달",조선비즈,20200121,https://biz.chosun.com/site/data/html_dir/2020/01/21/2020012101552.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"KB금융, '블룸버그 양성평등 지수' 우수기업 선정",연합뉴스,20200122,http://yna.kr/AKR20200122068200002?did=1195m
