제목,언론사,날짜,링크
프로농구 '형제 대결' 또 만원 관중…승자는 배스 폭발한 kt(종합),연합뉴스,20240101,https://www.yna.co.kr/view/AKR20240101038851007?input=1195m
"KT, '알뜰할인 프로모션' 실시",연합뉴스,20240102,https://www.yna.co.kr/view/PYH20240102017900013?input=1196m
"""부모님 폰 요금제 대리 변경에 가족증명서 매번 내?""…KT는 이제 필요 ...",뉴시스,20240103,http://www.newsis.com/view/?id=NISX20240103_0002579168&cID=13004&pID=13100
"KT, 시나모롤 키즈폰·갤럭시A25 5G 출시",이데일리,20240104,http://www.edaily.co.kr/news/newspath.asp?newsid=02676486638754440
"KT, 김인관 신임 노조위원장 취임",뉴시스,20240105,http://www.newsis.com/view/?id=NISX20240105_0002582199&cID=13005&pID=13100
"'옥존, 위닝 3점포 포함 23점' 현대모비스, KT 연승 제동 걸고 3연승",뉴시스,20240106,http://www.newsis.com/view/?id=NISX20240106_0002583267&cID=10505&pID=10500
"KT, 주요 그룹사 사장단 인사 퍼즐 대부분 완료…3월 진용 완성",전자신문,20240107,https://www.etnews.com/20240107000094
"KT, 대학생 서포터즈 ‘Y퓨처리스트 22기’ 모집",조선비즈,20240108,https://biz.chosun.com/it-science/ict/2024/01/08/NI4Z6TA6QFHD5PIZI2OIFYPTBE/?utm_source=naver&utm_medium=original&utm_campaign=biz
"[단독] 검찰, 보은성 거래 의혹 윤동식 KT클라우드 대표 소환",MBC,20240109,https://imnews.imbc.com/news/2024/society/article/6560889_36438.html
"와이파이 공유기도 오브제로…KT, 와이파이 6D 공유기 출시",연합뉴스,20240110,https://www.yna.co.kr/view/AKR20240110045900017?input=1195m
KT 지니TV '밀리의서재 오브제북' 제공,파이낸셜뉴스,20240111,http://www.fnnews.com/news/202401110911031175
회장 뽑는 7인 전원 입건…'KT 악몽'에 포스코 차기구도 '위태',뉴스1,20240112,https://www.news1.kr/articles/5288577
"무선 회선수 2위 LGU+, 11월 KT와 격차 더 벌렸다",뉴시스,20240113,http://www.newsis.com/view/?id=NISX20240112_0002590381&cID=13005&pID=13100
"'압도적인 탄력' KT 배스, 덩크 콘테스트 100점 만점 우승",뉴스1,20240114,https://www.news1.kr/articles/5289621
"KT-복터진집에프앤비, 디지털 전환 위한 업무 협약",뉴시스,20240115,http://www.newsis.com/view/?id=NISX20240115_0002592745&cID=10810&pID=10800
"이강인 6년 후원한 KT, 새 갤럭시 모델로 낙점",지디넷코리아,20240116,https://zdnet.co.kr/view/?no=20240116090058
"KT, 강원 동계 청소년올림픽 통신 인프라 구축 마쳐(종합)",연합뉴스,20240117,https://www.yna.co.kr/view/AKR20240117057651017?input=1195m
KT 통신료 최저 3만원대로 인하…소량구간 확대,한국경제TV,20240118,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202401180055&t=NN
"KT, 에이블스쿨 교육생 취업 지원 잡페어 개최",지디넷코리아,20240119,https://zdnet.co.kr/view/?no=20240119133610
[프로농구 고양전적] kt 92-73 소노,연합뉴스,20240120,https://www.yna.co.kr/view/AKR20240120037800007?input=1195m
"KT ""통신 케이블 끊어져도 몇 초면 메시지 서비스 복구""",뉴시스,20240121,http://www.newsis.com/view/?id=NISX20240121_0002599346&cID=13006&pID=13100
"KT, 바쁜 소상공인을 위한 똑똑한 ‘AI링고전화' 패키지 선보여",이코노미스트,20240122,https://economist.co.kr/article/view/ecn202401220039
작년 5G 분쟁 해결률 90%.. LGU+·KT·SKT 순,파이낸셜뉴스,20240123,http://www.fnnews.com/news/202401230945081537
