제목,언론사,날짜,링크
"LG전자, CES서 투명 OLED로 만들어진 오디오 공개",지디넷코리아,20240101,https://zdnet.co.kr/view/?no=20240101085059
"LG전자, 핸디형 스팀다리미 탑재된 '올 뉴 스타일러' 출시",연합뉴스,20240102,https://www.yna.co.kr/view/AKR20240102013100003?input=1195m
"LG전자, 2024년형 올레드 에보 공개",연합뉴스,20240103,https://www.yna.co.kr/view/PYH20240103007600013?input=1196m
"LG전자-마그나, 올 CES서 '자율주행 통합 플랫폼' 공개",뉴시스,20240104,http://www.newsis.com/view/?id=NISX20240104_0002580570&cID=13001&pID=13000
LG전자 로봇 클로이가 동남아 골프장에 간 까닭,서울신문,20240105,https://www.seoul.co.kr/news/newsView.php?id=20240105500051&wlog_tag3=naver
"LG전자, 스마트스코어와 1,200대 안내·배송로봇 공급계약 체결",IT비즈뉴스,20240106,https://www.itbiznews.com/news/articleView.html?idxno=122565
"LG전자, 'CES 2024'서 광고 진행",연합뉴스,20240107,https://www.yna.co.kr/view/PYH20240107053400013?input=1196m
"LG전자, 불황 속 호실적…눈길 끄는 이유는?",뉴시스,20240108,http://www.newsis.com/view/?id=NISX20240108_0002584946&cID=13001&pID=13000
조주완 사장 “LG전자의 AI는 ‘공감지능’…센스에 책임감까지” [CES ...,세계일보,20240109,http://www.segye.com/newsView/20240108514060?OutUrl=naver
우주? 미래도시?…관람객 몰려드는 LG전자 CES 전시관 [영상],한국경제,20240110,https://www.hankyung.com/article/202401103601g
"LG전자 조주완 CEO ""한계 돌파 위해 투자 2배 늘린다""",노컷뉴스,20240111,https://www.nocutnews.co.kr/news/6077134
"LG전자, 올레드·QNED TV '쌍두마차'…체질 전환도[CES 2024]",뉴시스,20240112,http://www.newsis.com/view/?id=NISX20240111_0002589058&cID=13001&pID=13000
"LG전자, 美 전기차 충전기 생산 공장 본격 가동…B2B 승부수[CES 2024]",뉴시스,20240113,http://www.newsis.com/view/?id=NISX20240112_0002589687&cID=13001&pID=13000
영업 비밀인데 다 공개한다…사업 키우려고 ‘결단’ 내린 LG전자,매일경제,20240114,https://www.mk.co.kr/article/10920316
"LG전자, '사업 파트너' 글로벌 입지 강화…B2B 차별화",뉴시스,20240115,http://www.newsis.com/view/?id=NISX20240115_0002592249&cID=13001&pID=13000
"中서 짝퉁 '스탠바이미' 내놓자…LG전자, 결국 칼 뽑았다",한국경제,20240117,https://www.hankyung.com/article/202401179568g
"LG전자, 휘센 타워 에어컨 신제품 출시…AI 기능 강화",연합뉴스,20240118,https://www.yna.co.kr/view/AKR20240118037900003?input=1195m
"크리에이츠, LG전자와 글로벌 시장 공략",뉴시스,20240119,http://www.newsis.com/view/?id=NISX20240119_0002597855&cID=10403&pID=15000
삼성이 선보인 '투명 마이크로 LED'에 들썩…대중화 앞당길까,연합뉴스,20240120,https://www.yna.co.kr/view/AKR20240118142000003?input=1195m
"LG전자, 고효율 히트펌프 앞세워 美 공조 시장 공략",뉴시스,20240121,http://www.newsis.com/view/?id=NISX20240121_0002599335&cID=13001&pID=13000
"LG전자, 'AI 경영시스템' 인증 획득",한국경제TV,20240122,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202401220095&t=NN
"LG전자, 설 명절 앞두고 이웃에 온정 손길",뉴시스,20240124,http://www.newsis.com/view/?id=NISX20240124_0002603136&cID=13001&pID=13000
"""가전·전장 선방""…LG전자 매출 84조 '역대 최대'(종합)",뉴시스,20240125,http://www.newsis.com/view/?id=NISX20240125_0002605513&cID=13001&pID=13000
"‘84조’ 역대 최대 매출 LG전자, 최대 665% 보너스 준다",조선일보,20240126,https://www.chosun.com/economy/tech_it/2024/01/26/MQNIRPHIOJADLEJQWI7ZRADHWM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
LG전자 ‘시원하게 쏜다’···최대 665% 성과급 내달 2일 지급,한경비즈니스,20240127,https://magazine.hankyung.com/business/article/202401275508b
"매출 신기록 쓴 LG전자, 내달 2일 '기본급 최대 665%' 성과급 쏜다",머니S,20240128,https://www.moneys.co.kr/article/2024012717422793117
"LG전자, B2B 대상 '스마트 라이프 솔루션' 선보인다",뉴시스,20240130,http://www.newsis.com/view/?id=NISX20240130_0002609441&cID=13001&pID=13000
"에이스플래닛, LG전자와 앱공급 계약 체결",중앙일보,20240131,https://www.joongang.co.kr/article/25225993
"LG전자, UV살균 더한 '퓨리케어 공기청정기' 신제품 출시",뉴스1,20240201,https://www.news1.kr/articles/5308474
"LG 트롬 건조기, 겨울철 '미세먼지·독감' 유행에 쾌적한 겨울철 위생가...",한국경제,20240202,https://www.hankyung.com/article/202402020087O
"LG전자, 공기청정기·에어로타워 출시…""세균 99% 제거""",이코노뉴스,20240203,http://www.econonews.co.kr/news/articleView.html?idxno=325039
"LG전자, 무게·크기 줄인 'LG 코드제로 A9 에어' 출시",뉴시스,20240205,http://www.newsis.com/view/?id=NISX20240205_0002616501&cID=10414&pID=13000
"LG전자, 온디바이스AI 기술 개발 속도…업스테이지와 맞손",매일경제,20240206,https://www.mk.co.kr/article/10937697
"LG전자, 느린학습자용 '쉬운글 도서' 세탁기·전자레인지편 발행",연합뉴스,20240207,https://www.yna.co.kr/view/AKR20240207031300003?input=1195m
