제목,언론사,날짜,링크
1위 포스코인터내셔널 주가·2위 LG에너지솔루션 주가·3위 LG화학주가 ...,스타데일리뉴스,20240101,http://www.stardailynews.co.kr/news/articleView.html?idxno=430848
"[신년사] 신학철 LG화학 부회장 ""격변하는 경영환경을 차별화 기회로""",연합뉴스,20240102,https://www.yna.co.kr/view/AKR20240102026100003?input=1195m
"[신년사] 신학철 LG화학 부회장 ""격변하는 경영환경을 차별화 기회로""",천지일보,20240103,https://www.newscj.com/news/articleView.html?idxno=3096731
"LG화학, 8일 기업설명회 개최",뉴시스,20240104,http://www.newsis.com/view/?id=NISX20240104_0002580593&cID=10403&pID=15000
"LG화학, 美 리듬파마에 먹는 희귀비만약 4000억 기술수출",한국경제,20240105,https://www.hankyung.com/article/202401053766i
"LG화학 비만 신약, 美제약사에 3억달러 기술 수출",조선일보,20240106,https://www.chosun.com/economy/science/2024/01/06/KSZHSINBRFCW3CWTM5Q5EIFNP4/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
"올해 국내 1호 기술수출 LG화학, 美제약사와 4천억원 규모 계약",대한경제,20240107,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202401071012088440204
"화학사 브랜드평판, 에코프로·포스코퓨처엠·LG화학 순",스트레이트뉴스,20240108,https://www.straightnews.co.kr/news/articleView.html?idxno=243467
"LG화학, 美 시장 정조준… 차별화 전략에 항암제 기대감↑",머니S,20240109,http://moneys.mt.co.kr/news/mwView.php?no=2024010914085129592
"'메탈 경쟁력' 외친 LG화학 신학철…""이만큼 성장하는 시장 없어""",블로터,20240110,https://www.bloter.net/news/articleView.html?idxno=610575
"LG화학, 정부에 中 양극재 특허권 침해 조사 신청",이코노미스트,20240111,https://economist.co.kr/article/view/ecn202401110057
韓·中 배터리 전쟁 시작되나…LG화학 “특허 기술 침해 당해”,매경이코노미,20240112,https://www.mk.co.kr/article/10919816
"LG화학 ""中 기업, 배터리 양극재 특허기술 침해""... 조사 착수",포인트경제,20240113,http://www.chemicalnews.co.kr/news/articleView.html?idxno=7637
다보스포럼 내일 개막…전쟁·기후위기 혼돈 속 신뢰재건 모색,연합뉴스,20240114,https://www.yna.co.kr/view/AKR20240113045600088?input=1195m
"LG화학 신학철 부회장, 세계경제포럼 '리더 100인' 선정",뉴시스,20240115,http://www.newsis.com/view/?id=NISX20240115_0002591778&cID=13001&pID=13000
"LG화학, 올 양극재 업황 회복 기대-유안타",이데일리,20240116,http://www.edaily.co.kr/news/newspath.asp?newsid=01289046638758376
"LG화학, 두경부암 신약 임상 3상 돌입…美 첫 환자 등록",뉴시스,20240117,http://www.newsis.com/view/?id=NISX20240117_0002594806&cID=10434&pID=13200
"대웅제약, 한국아스트라제네카와 결별…LG화학 밀어준다",블로터,20240118,https://www.bloter.net/news/articleView.html?idxno=610920
"LG화학, 이탈리아 ENI와 국내 최대 바이오오일 공장 짓는다",뉴시스,20240119,http://www.newsis.com/view/?id=NISX20240119_0002598472&cID=13001&pID=13000
"LG화학, 국내서 연 30만t 바이오오일 생산한다...伊기업 협력",헬로티,20240120,https://www.hellot.net/news/article.html?no=86041
"LG화학, 이탈리아 국영 에너지 기업 ENI와 바이오 오일 JV 설립",글로벌경제,20240121,https://www.getnews.co.kr/news/articleView.html?idxno=657810
"'체질개선' LG화학, 미래소재 투자 가속…내재화·신사업 '두 마리 토끼...",뉴스웨이,20240122,https://www.newsway.co.kr/news/view?ud=2024012214071174839
석화업계 불황에 LG화학 실적 위축…신산업 10조 투자로 기지개 켤까,아이뉴스24,20240123,http://www.inews24.com/view/1679542
"LG화학, 대산에 연 30만톤 바이오 오일 생산공장 건설",스포츠동아,20240124,https://sports.donga.com/article/all/20240124/123196356/4
"[충북소식] LG화학 청주공장, 사랑의 헌혈 행사",연합뉴스,20240125,https://www.yna.co.kr/view/AKR20240125139600064?input=1195m
"LG화학, 당뇨복합제 '제미메트' 품목 추가…""맞춤형 처방 확대""",뉴스1,20240126,https://www.news1.kr/articles/5302977
"신학철 LG화학 부회장, 포트폴리오 효율화로 위기 극복",머니S,20240127,https://www.moneys.co.kr/article/2024012608542748771
"LG화학, '제미메트' 신규 용량 품목허가...국내 당뇨복합제 시장 확대",메트로신문,20240128,http://www.metroseoul.co.kr/article/20240128500247
"[충북소식] LG화학 청주공장, 소외계층에 연탄 7천장 전달",연합뉴스,20240129,https://www.yna.co.kr/view/AKR20240129130900064?input=1195m
"LG화학, 기후변화 대응 '친환경 지킴이' 육성",매일경제,20240130,https://www.mk.co.kr/article/10932554
'불황 터널'서 헤매는 LG화학,블로터,20240131,https://www.bloter.net/news/articleView.html?idxno=611613
"하이투자 ""LG화학, 당분간 주가 반등 모멘텀 부재…목표가↓""",뉴시스,20240201,http://www.newsis.com/view/?id=NISX20240201_0002612567&cID=10403&pID=15000
투자금 고민 빠진 LG화학…'외부 차입' 계획대로 될까?,뉴시스,20240202,http://www.newsis.com/view/?id=NISX20240201_0002613487&cID=13001&pID=13000
[2차전지 TOP 10] LG화학 7.21% 올라 업종내 상승률 선두,핀포인트뉴스,20240203,https://www.pinpointnews.co.kr/news/articleView.html?idxno=243145
"""현대차·LG화학 주가 2배 상승 가능하다""",한국경제TV,20240204,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202402040053&t=NN
[단독]종목형도 터졌다…'LG화학 ELS' 원금 반토막,서울경제,20240205,https://www.sedaily.com/NewsView/2D58RHLN6J
H지수 이어 종목형 ELS도 터졌다…'LG화학 ELS' 반토막 손실,서울경제,20240206,https://www.sedaily.com/NewsView/2D595EFRPB
"[기획] LG화학, 25조 `잭팟` 터졌다",디지털타임스,20240207,https://www.dt.co.kr/contents.html?article_no=2024020702109932049005&ref=naver
"""25조 잭팟 터졌다""…LG화학, 장 초반 강세",한국경제TV,20240208,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202402080056&t=NN
"LG화학, GM에 양극재 장기 공급… 25조원 규모 계약 체결",인더스트리뉴스,20240209,http://www.industrynews.co.kr/news/articleView.html?idxno=52371
"LG화학, GM에 25조 양극재 공급…북미 전기차 시장주도",신아일보,20240210,http://www.shinailbo.co.kr/news/articleView.html?idxno=1827244
'배터리 초집중' 신학철 승부수 통했다…LG화학 고객다변화 '성과' [소부...,디지털데일리,20240211,https://www.ddaily.co.kr/page/view/2024021110112577302
작년 주요기업 배당 전년비 9.3% 증가...LG화학은 65% '급감',아시아타임즈,20240212,https://www.asiatime.co.kr/article/20240212500028
"LG화학, 25조 ‘잭팟’ 터졌다…GM과 2035년까지 ‘양극재 동맹’",스포츠동아,20240213,https://sports.donga.com/article/all/20240213/123494324/2
"""LG엔솔 뺐는데?""...LG화학, R&D 투자 사상 첫 1조 돌파",파이낸셜뉴스,20240214,http://www.fnnews.com/news/202402131438002858
"LG화학·CJ제일제당, 바이오 나일론 합작사업 추진",아시아경제,20240215,https://view.asiae.co.kr/article/2024021508294320285
"'친환경 제품'이 미래… LG화학, 국내외 기업과 협업 확대",머니S,20240216,https://www.moneys.co.kr/article/2024021515494123583
LG화학-CJ제일제당 '바이오 나일론' 생산·판매 합작사 설립 추진,뉴스프리존,20240217,https://www.newsfreezone.co.kr/news/articleView.html?idxno=548543
"롯데·LG 공격적 투자, 금호석유화학은 ‘버티기’",국민일보,20240218,https://www.kmib.co.kr/article/view.asp?arcid=0019806076&code=61141411&cp=nv
"최저한세 후폭풍에도…증권가 ""LG화학 비중 늘려라""",한국경제,20240219,https://www.hankyung.com/article/2024021921886
LG화학 청주공장 교복지원금 기탁,뉴시스,20240220,http://www.newsis.com/view/?id=NISI20240220_0001483818
"삼성운용 KODEX 2차전지산업레버리지, 순자산 2000억원 돌파",시장경제신문,20240221,http://www.meconomynews.com/news/articleView.html?idxno=89057
"케이메디허브, LG화학과 신약물질 심장독성분석 연구한다",한국경제,20240222,https://www.hankyung.com/article/202402222649h
"LG화학, 中 에스테틱 솔루션 센터 개소",의학신문,20240223,http://www.bosa.co.kr/news/articleView.html?idxno=2217194
"'中 장악' LFP 뛰어든 K-배터리…""中과 협력"" 말 나오는 속사정",뉴스1,20240224,https://www.news1.kr/articles/5330393
"LG화학, 하청업체 부당대우 없도록 감독 강화",매일경제,20240225,https://www.mk.co.kr/article/10950258
"‘빅이슈어’ LG화학, 최대 1조 차입…눈덩이 차입금 어쩌나",한국경제,20240226,https://www.hankyung.com/article/202402235407r
