제목,언론사,날짜,링크
"LIG넥스원, '올해의 넥스원인상' 시상",연합뉴스,20200102,http://yna.kr/PYH20200102136800013?did=1196m
"[우주항공과국방 업종 오후 시황] 상승률 상위 종목, 유니맥스글로벌 +...",공감신문,20200103,http://www.gokorea.kr/news/articleView.html?idxno=620606
"LIG넥스원, ‘올해의 넥스원人상’ 조성일 연구위원 선정",아주경제,20200104,http://www.ajunews.com/view/20200104125349238
"[판교 리얼리티·(1)성장]""삼성·현대 다음으로 한국경제 책임 지는 곳""",경인일보,20200105,http://m.kyeongin.com/view.php?key=20200102010000619
수주잔고 6兆 'LIG넥스원'… 턴어라운드 청신호,뉴데일리,20200106,http://biz.newdaily.co.kr/site/data/html/2020/01/06/2020010600040.html
"LIG넥스원, 현충원에서 애국시무식 실시",뉴시스,20200107,http://www.newsis.com/view/?id=NISX20200107_0000881745&cID=13001&pID=13000
"LIG넥스원 대표이사, 현충원 참배",세계일보,20200108,http://www.segye.com/content/html/2020/01/07/20200107513538.html?OutUrl=naver
1월 9일 LIG넥스원 오늘주식시세 31550원 -2.62%,내외경제tv,20200109,http://nbntv.co.kr/news/view/802423
"LIG넥스원, 무기체계 정비역량 발전에 힘모은다",뉴스1,20200110,http://news1.kr/articles/?3813713
"LIG넥스원, 무기체계 정비역량 발전 위한 업무협약 체결",뉴시스,20200111,http://www.newsis.com/view/?id=NISX20200110_0000884992&cID=13001&pID=13000
"LIG넥스원, 무기체계 정비역량 발전 위한 업무협약 체결",이코노뉴스,20200112,http://www.econonews.co.kr/news/articleView.html?idxno=103154
"LIG넥스원, '보안 우수업체' 국방부장관 표창",조선비즈,20200113,https://n.news.naver.com/article/366/0000465099?sid=004
"LIG넥스원, '보안 우수업체' 국방부장관 표창 수상",뉴시스,20200114,http://www.newsis.com/view/?id=NISX20200113_0000886659&cID=13001&pID=13000
