제목,언론사,날짜,링크
"[이번주 추천주] 하이닉스, HBM 수요급증 수혜 전망",서울경제,20240101,https://www.sedaily.com/NewsView/2D3WZMZZV5
한종희·경계현 강조한 삼성전자 ‘핵심 가치’,한국정경신문,20240102,http://kpenews.com/View.aspx?No=3079646
"1/2 외국인 순매수 상위 종목 기술력, '고평가' 엘앤에프... '저평가' 현...",포인트데일리,20240103,https://www.thekpm.com/news/articleView.html?idxno=186213
"네이버, COO 및 정책·RM 대표직 신설...2024년 첫 조직개편",머니투데이,20240104,http://news.mt.co.kr/mtview.php?no=2024010415072212314
"SK, Naver, AfreecaTV collaborate for AI-based sports content",매일경제,20240105,https://www.mk.co.kr/article/10914336
영화 '외계+인' 2부 VIP 시사회 찾은 스타들,스트레이트뉴스,20240106,https://www.straightnews.co.kr/news/articleView.html?idxno=243434
"""불법행위, 욕설 차단""...개인방송 음란물도 걸러내는 'AI'",머니투데이,20240107,http://news.mt.co.kr/mtview.php?no=2024010515253992904
"""NAVER, AI 및 웹툰 비즈니스가 맥점""",인사이트코리아,20240108,http://www.insightkorea.co.kr/news/articleView.html?idxno=126360
[특징주] 美 기대 인플레이션 둔화... NAVER·카카오 2%대 동반 강세,오피니언뉴스,20240109,http://www.opinionnews.co.kr/news/articleView.html?idxno=92489
"글로벌 금리 하락기, 네이버 주가 상승세 이어진다... 목표주가 UP-삼성",머니투데이,20240110,http://news.mt.co.kr/mtview.php?no=2024011008233735561
1위 아프리카TV 주가·2위 미스터블루 주가·3위 NAVER 주가 1월 2주차 업...,스타데일리뉴스,20240111,http://www.stardailynews.co.kr/news/articleView.html?idxno=432085
"네이버, 프라이버시 백서 발간…개인정보보호 연구 결과 담아",이데일리,20240112,http://www.edaily.co.kr/news/newspath.asp?newsid=01594086638757064
"""집에 TV 없는데"" 네이버서 '공짜' 야구 못 본다…이제 돈 내고 보나",머니투데이,20240113,http://news.mt.co.kr/mtview.php?no=2024011113374231568
"북한, 동해상으로 탄도미사일 발사..지난해 12월 발사 이후 27일만",한국정경신문,20240114,http://kpenews.com/View.aspx?No=3092030
"Why is AfreecaTV outperforming Naver, Kakao?",코리아타임스,20240115,https://www.koreatimes.co.kr/www/tech/2024/01/133_366896.html?na
