제목,언론사,날짜,링크
"[이번주 추천주] 하이닉스, HBM 수요급증 수혜 전망",서울경제,20240101,https://www.sedaily.com/NewsView/2D3WZMZZV5
"SK하이닉스 노조 ""경영상황 개선…특별격려금 달라""",뉴시스,20240102,http://www.newsis.com/view/?id=NISX20240102_0002578290&cID=13001&pID=13000
"""SK하이닉스, 1조3천억원 상당 달러채권 발행 계획""",연합뉴스,20240103,https://www.yna.co.kr/view/AKR20240103149400009?input=1195m
새해 SK하이닉스 달려간 최태원…반도체부터 챙겼다(종합),이데일리,20240104,http://www.edaily.co.kr/news/newspath.asp?newsid=03434166638754440
"'올해 첫 현장경영' 최태원 회장, SK하이닉스 방문… 반도체 힘준다",머니S,20240105,http://moneys.mt.co.kr/news/mwView.php?no=2024010416433458075
심텍 주가 다시 움직이나... 삼성전자와 SK하이닉스 실적 회복 진입,핀포인트뉴스,20240106,https://www.pinpointnews.co.kr/news/articleView.html?idxno=236813
"SK하이닉스, 세계 최대 전자전시회 CES 2024 참가",KBS,20240107,https://news.kbs.co.kr/news/pc/view/view.do?ncd=7860125&ref=A
"'홀로서기' 곽노정 SK하이닉스 대표, 업황 개선 업고 날아오른다",머니S,20240108,http://moneys.mt.co.kr/news/mwView.php?no=2024010514151626837
"SK하이닉스 경영진 ""우리 갈길 간다…1Q 실적개선""[CES 2024]",이데일리,20240109,http://www.edaily.co.kr/news/newspath.asp?newsid=02499366638756080
"'비상' 꿈꾸는 SK하이닉스, 직원들 성과급 준다",뉴시스,20240110,http://www.newsis.com/view/?id=NISX20240110_0002587102&cID=13001&pID=13000
'반도체 반등' 삼전·하이닉스 시총 1년새 200조 '껑충'…나란히 1·2위,뉴스1,20240111,https://www.news1.kr/articles/5286596
"[단독] SK하이닉스 中공장, 10나노급 4세대 D램 생산한다",서울경제,20240112,https://www.sedaily.com/NewsView/2D420P2B5K
"SK하이닉스, 美-中 갈등 뚫고 우시 공장 '업그레이드' 나선다 [biz-플러스...",서울경제,20240113,https://www.sedaily.com/NewsView/2D42FZWF97
연초부터 순매도 이어간 기관…삼성전자 팔고 SK하이닉스 샀다,연합뉴스,20240114,https://www.yna.co.kr/view/AKR20240112139700002?input=1195m
삼성·SK하이닉스 622조원 투자…세계 최대 반도체 클러스터 조성,아시아경제,20240115,https://view.asiae.co.kr/article/2024011422432945182
얼어붙은 어닝시즌…SK하이닉스가 녹일까,한국경제,20240116,https://www.hankyung.com/article/2024011684551
메모리 업황 반등…삼성·SK하이닉스 감산 종료 '고민',뉴시스,20240117,http://www.newsis.com/view/?id=NISX20240116_0002594548&cID=13001&pID=13000
SK하이닉스·네이버 등 사람 뽑는다…전공무관·신입채용도,아시아경제,20240118,https://view.asiae.co.kr/article/2024011816175863212
[어제장 오늘장] '반도체 동아줄'이 하락 멈췄다…SK하이닉스 실적 '이목...,SBS Biz,20240119,https://biz.sbs.co.kr/article_hub/20000153499?division=NAVER
[CEO 24시] '기술경영' 힘주는 곽노정 SK하이닉스 사장...고객맞춤 강조,뉴스핌,20240120,https://www.newspim.com/news/view/20240119000953
"[인터뷰] 주영표 SK하이닉스 부사장 “AI 반도체 시대, 메모리 경쟁력은...",조선비즈,20240121,https://biz.chosun.com/it-science/ict/2024/01/21/57T2SXLEIJADHDQZMRPJB3RBAQ/?utm_source=naver&utm_medium=original&utm_campaign=biz
"올트먼 방한 소식에…SK하이닉스, 52주 신고가",한국경제,20240122,https://www.hankyung.com/article/2024012223171
"SK하이닉스, HBM공정에 국산장비 대거 투입",전자신문,20240123,https://www.etnews.com/20240123000249
AI 반도체 경쟁력...SK하이닉스 4분기 '흑전' 기대감,데일리안,20240124,https://www.dailian.co.kr/news/view/1320575/?sc=Naver
"DDR5·HBM3 덕에…SK하이닉스, 5분기 만에 흑자전환 성공(종합)",연합뉴스,20240125,https://www.yna.co.kr/view/AKR20240125023652527?input=1195m
"SK하이닉스, 성과급에 격려금·주식까지…삼성전자는?",뉴시스,20240126,http://www.newsis.com/view/?id=NISX20240126_0002606091&cID=13001&pID=13000
"'흑자전환' SK하이닉스, 직원에 격려금·자사주 지급",이코노뉴스,20240127,http://www.econonews.co.kr/news/articleView.html?idxno=323965
"반도체 투톱 ""메모리 변곡점, 모든 곳에 AI 있는 시대 왔다""",한국경제,20240128,https://www.hankyung.com/article/2024012863641
"SK하이닉스, 오해순 최초 女연구위원…""낸드 업턴 주도""",뉴시스,20240129,http://www.newsis.com/view/?id=NISX20240129_0002608296&cID=13001&pID=13000
"日 NTT, SK하이닉스·인텔과 '빛의 반도체' 개발 추진",서울경제,20240130,https://www.sedaily.com/NewsView/2D4A98V354
"SK하이닉스에 HBM 뒤진 삼성전자 ""올해는 다르다""",뉴시스,20240131,http://www.newsis.com/view/?id=NISX20240131_0002611527&cID=13001&pID=13000
"""SK하이닉스, 美인디애나주에 첨단 반도체 공장 설립키로""",연합뉴스,20240201,https://www.yna.co.kr/view/AKR20240201155700009?input=1195m
"SK하이닉스, 인디애나공장 이어 R&D센터 가동[韓 반도체 美 투자①]",뉴시스,20240202,http://www.newsis.com/view/?id=NISX20240202_0002614533&cID=10414&pID=13000
"용인특례시, SK하이닉스와 생산라인 조기 착공 합의",머니S,20240203,https://www.moneys.co.kr/article/2024020309333595309
[그래픽] SK하이닉스 미국 투자 계획,뉴시스,20240204,http://www.newsis.com/view/?id=NISI20240204_0001473829
"김현숙 ""가족친화경영, 인재 영입 기반""…SK하이닉스 간담회",연합뉴스,20240205,https://www.yna.co.kr/view/AKR20240205073700530?input=1195m
"SK하이닉스, 설 맞아 2400억원 거래대금 조기 지급",뉴시스,20240206,http://www.newsis.com/view/?id=NISX20240206_0002618778&cID=10414&pID=13000
SK하이닉스 사장이 밝힌 'HBM 1위' 비결은,파이낸셜뉴스,20240207,http://www.fnnews.com/news/202402071125584901
"몸값 뛰는 HBM, ‘프리미엄’ 500%까지 치솟아… 삼성전자·SK하이닉스, ...",조선비즈,20240208,https://biz.chosun.com/it-science/ict/2024/02/08/LDLS6WNUNNGGDPA3L7XKT75RKE/?utm_source=naver&utm_medium=original&utm_campaign=biz
"SK하이닉스, 선별 투자로 선두 지킨다[위기에 역발상 투자②]",뉴시스,20240209,http://www.newsis.com/view/?id=NISX20240208_0002621846&cID=13001&pID=13000
D램 가격 지속↑…삼성·SK하이닉스 ‘고부가’로 수익 높인다,세계비즈,20240210,http://www.segyebiz.com/newsView/20240210503528?OutUrl=naver
“반도체 재고 정점 지났다”…삼성·SK하이닉스 올해 실적 ‘장밋빛’,서울신문,20240211,https://www.seoul.co.kr/news/newsView.php?id=20240211500022&wlog_tag3=naver
"삼성전자·하이닉스의 새로운 시도 ‘주목’…“금·은·구리, 다시 쓰고...",매일경제,20240212,https://www.mk.co.kr/article/10940808
엔비디아발 훈풍에…삼성전자·SK하이닉스 동반 '상승',한국경제,20240213,https://www.hankyung.com/article/2024021391716
"SK하이닉스 최연소 임원 ""321단 4D 낸드, 업계 이정표될 것""",연합뉴스,20240214,https://www.yna.co.kr/view/AKR20240214056300003?input=1195m
"‘반도체 불황’에도 증액…SK하이닉스, 임직원과 모은 기부금 전달",이코노미스트,20240215,https://economist.co.kr/article/view/ecn202402150028
"[단독] 곽노정 SK하이닉스 사장, 올해 고려대 졸업식 축사한다",조선일보,20240216,https://www.chosun.com/national/national_general/2024/02/16/3C7Q5UFK3RC6VDXXM44ORVKCGM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
"반도체 보조금 삼성보다 인텔 먼저?…""팹리스 확보 서둘러야""[美 반도체...",뉴시스,20240217,http://www.newsis.com/view/?id=NISX20240216_0002629710&cID=10414&pID=13000
"하이닉스-TSMC, 키옥시아-웨스턴디지털… 'AI 동맹' 가시화",뉴데일리,20240218,https://biz.newdaily.co.kr/site/data/html/2024/02/18/2024021800008.html
"SK하이닉스 곽노정 ""美패키징공장 부지 신중 검토중…보조금도 신청""",이데일리,20240219,http://www.edaily.co.kr/news/newspath.asp?newsid=02827366638792160
"[단독]SK하이닉스, 3월 세계 최초 HBM3E 양산",머니투데이,20240220,http://news.mt.co.kr/mtview.php?no=2024022014205132953
"김기태 SK하이닉스 부사장 “올해 HBM은 ‘완판’, 시장 선점 위해 내년...",조선비즈,20240221,https://biz.chosun.com/it-science/ict/2024/02/21/V73OEQRJNBFSNDDENUV4WIZ3LA/?utm_source=naver&utm_medium=original&utm_campaign=biz
"용인시, 반도체클러스터 SK하이닉스 팹 착공 대비 TF 가동",연합뉴스,20240222,https://www.yna.co.kr/view/AKR20240222129100061?input=1195m
"‘엔비디아와 짝꿍’ SK하이닉스, AI칩 밀어붙인다…삼성도 맹추격",매일경제,20240223,https://www.mk.co.kr/article/10949323
"'불안요소 해소' SK하이닉스, 엔비디아 손잡고 '훨훨'[종목현미경]",뉴스1,20240224,https://www.news1.kr/articles/5330514
하이닉스 '3500억 흑자전환'에 훨훨…방산주도 깜짝 실적,한국경제,20240225,https://www.hankyung.com/article/2024022583391
"신고가 행진 SK하이닉스, 'HBM 랠리' 이끈다",파이낸셜뉴스,20240226,http://www.fnnews.com/news/202402261057195487
"HBM 시장 '독주' SK하이닉스, 풀어야 할 과제는 '생산능력 부족'",머니투데이,20240227,http://news.mt.co.kr/mtview.php?no=2024022713174656612
"""목표가 28만원?""…SK하이닉스 사장 발언에 증권가 반응은 '글쎄`",뉴시스,20240228,http://www.newsis.com/view/?id=NISX20240228_0002642263&cID=10403&pID=15000
