제목,언론사,날짜,링크
[2024 100대 CEO] 전동화 최전선 달린다…송호성 기아 사장,뉴스핌,20240101,http://www.newspim.com/news/view/20231228000936
"美 보조금 받는 전기차, 절반 이상 줄었다",한국경제,20240102,https://www.hankyung.com/article/2024010272891
"기아, 지난해 309만대 판매…""창사 이래 최대""",뉴시스,20240103,http://www.newsis.com/view/?id=NISX20240103_0002579935&cID=10435&pID=13000
"현대차·기아, 작년 美 판매 165만대 ‘역대 최고’",조선비즈,20240104,https://biz.chosun.com/industry/car/2024/01/04/6EMIFRTWGZFSRKQUPRHCSLXMHI/?utm_source=naver&utm_medium=original&utm_campaign=biz
"기아 EV9, 車업계 오스카상 받았다...‘북미 올해의 차’ SUV 1위",조선일보,20240105,https://www.chosun.com/economy/auto/2024/01/05/E6SW2E5R7JG2LBMXAKCUYRYKZI/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
[시승기] 기아 EV9 ‘매력쟁이’ 끼 많은 대형 전기 SUV,에너지경제,20240106,https://www.ekn.kr/web/view.php?key=20240106010001368
현대차그룹 '축구장 1개 크기' 역대급 전시장 꾸렸다,한국경제,20240107,https://www.hankyung.com/article/2024010772671
"""이러다 현대·기아차만 타겠네""…중견 3사 '회심의 반격'",한국경제,20240108,https://www.hankyung.com/article/202401087935g
운전대가 책상 램프로 변신…기아 첫 PBV 'PV5' 보니[CES 2024],뉴시스,20240109,http://www.newsis.com/view/?id=NISX20240106_0002583402&cID=13001&pID=13000
[CES 2024]기아 PV5는 다재다능 PBV,아시아경제,20240110,https://view.asiae.co.kr/article/2024011009545957050
"[CES 2024] 기아, 우버와 PBV 파트너십 구축",조선비즈,20240111,https://biz.chosun.com/industry/company/2024/01/11/FTA6B3APM5AUBPIBVLS4N55QYY/?utm_source=naver&utm_medium=original&utm_campaign=biz
"현대차·기아, 작년 美에서 165만대 판매… 사상 최대",조선비즈,20240112,https://biz.chosun.com/industry/car/2024/01/12/MOBMJ23AMRBIFKDTJQEZFM5PTM/?utm_source=naver&utm_medium=original&utm_campaign=biz
"""벤츠요? 기아만큼 좋진 않군요"" …20년째 동행하는 나달과 기아의 우정...",서울경제,20240113,https://www.sedaily.com/NewsView/2D42HWZ703
[Pick] 도난 차량만 8대…한국차 절도 전문 '기아 보이' 추적 끝에 검거,SBS,20240114,https://news.sbs.co.kr/news/endPage.do?news_id=N1007496991&plink=ORI&cooper=NAVER
"극한의 사막서 혹독한 담금질… 현대차·기아 고품질 車, '이곳'서 시작...",머니S,20240115,https://www.moneys.co.kr/article/2024011500042866336
"""현대차·기아, 美브랜드 위상 정말 달라졌다"" [최종근의 FN 모빌리티]",파이낸셜뉴스,20240116,http://www.fnnews.com/news/202401161533552080
"현대차·기아, AVP 신설 등 연구개발 조직 개편",이코노미스트,20240117,https://economist.co.kr/article/view/ecn202401170004
르노 SM3·기아 카렌스 등 10만대 자발적 시정조치,뉴시스,20240118,http://www.newsis.com/view/?id=NISX20240117_0002595515&cID=10401&pID=10400
"현대차·기아, 美시사주간지 '최고의 고객가치상' 최다부문 수상",연합뉴스,20240119,https://www.yna.co.kr/view/AKR20240119034600003?input=1195m
"현대차·기아, 美 최고의 고객가치상 최다 수상",광주드림,20240120,http://www.gjdream.com/news/articleView.html?idxno=638789
"현대차·기아·제네시스, 英 ‘왓 카 어워즈’ 5관왕 올라",데일리안,20240121,https://www.dailian.co.kr/news/view/1319702/?sc=Naver
"현대차·기아, 英 '왓카어워즈' 5관왕",딜사이트,20240122,https://dealsite.co.kr/articles/116775
전기차 주행거리 늘리는 현대차·기아의 신기술… “공기저항 최소화”,조선비즈,20240123,https://biz.chosun.com/industry/car/2024/01/23/5PBA4PLDJBDSDIWPDHFVT5LLZI/?utm_source=naver&utm_medium=original&utm_campaign=biz
"현대차·기아, 사상 최대 실적 예고…매달 '2조' 벌었다",뉴시스,20240124,http://www.newsis.com/view/?id=NISX20240123_0002602322&cID=13001&pID=13000
기아 작년 영업이익 11.6조원…창사 이래 최대 실적(종합),연합뉴스,20240125,https://www.yna.co.kr/view/AKR20240125053352527?input=1195m
"현대차·기아, 내달 6∼8일 설 특별 무상점검 서비스",연합뉴스,20240126,https://www.yna.co.kr/view/AKR20240126032200003?input=1195m
"전기차 수요 주춤?…현대차·기아 ""공격 앞으로!""",머니투데이,20240127,http://news.mt.co.kr/mtview.php?no=2024012608535395824
"기아, ‘금품 수수’ 의혹 김종국 감독 직무 정지",한겨레,20240128,https://www.hani.co.kr/arti/sports/baseball/1126218.html
'억대 금품 수수'‥기아 감독·전 단장 구속영장,MBC,20240129,https://imnews.imbc.com/replay/2024/nwdesk/article/6566822_36515.html
"[단독] 기아 김종국 전 감독, 경기장서 100만원권 '수표 60장' 받아",JTBC,20240130,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12163209
"기아, ‘큰 형님’ 현대차 뛰어넘었다… 시총 6위 탈환",조선비즈,20240131,https://biz.chosun.com/stock/stock_general/2024/01/31/GE3UEE4CFNAU5FNCY3WNOG4PN4/?utm_source=naver&utm_medium=original&utm_campaign=biz
"현대차·기아, 지난달 56만495대…전년비 2.8%↑(종합)",뉴시스,20240201,http://www.newsis.com/view/?id=NISX20240201_0002613812&cID=10435&pID=13000
"현대차·기아, 1월 美 판매 부진…""친환경차는 성장""",연합뉴스,20240202,https://www.yna.co.kr/view/AKR20240202005400075?input=1195m
'저PBR' 수혜주에 돈도 잘 번다…현대차·기아 나란히 '쌩쌩',뉴스1,20240203,https://www.news1.kr/articles/5310632
"""현대차·기아 엎치락 뒤치락""…자동차株 뜬다",뉴시스,20240204,http://www.newsis.com/view/?id=NISX20240202_0002615373&cID=10403&pID=15000
"""K방산, 잘 나가더니""…시장 공략 나선 기아가 첫 공개한 車",한국경제,20240205,https://www.hankyung.com/article/202402054165i
"현대차·기아·현대모비스, 무디스 신용등급 'A3'로 상향",뉴시스,20240206,http://www.newsis.com/view/?id=NISX20240206_0002619345&cID=13001&pID=13000
"현대차·기아·현대모비스, 무디스 신용등급 ‘A3’로 상향",헤럴드경제,20240207,http://news.heraldcorp.com/view.php?ud=20240207000181
"현대차·기아·제네시스, 美 카즈닷컴 ‘최고의 차 어워즈’ 3개 부문 석...",이코노미스트,20240208,https://economist.co.kr/article/view/ecn202402080016
현대차·기아 ‘액셀’…車부품주도 뛴다,매경이코노미,20240209,https://www.mk.co.kr/article/10938435
“국산차도 럭셔리할 수 있어”...기아가 주는 새로운 경험,이코노미스트,20240210,https://economist.co.kr/article/view/ecn202402060047
알맹이는 같은데 대체 왜…현대차 압도하는 기아 RV,데일리안,20240211,https://www.dailian.co.kr/news/view/1326964/?sc=Naver
주요 대기업 배당 9.3% 늘어…1위는 현대차·기아,한겨레,20240212,https://www.hani.co.kr/arti/economy/economy_general/1128014.html
기아타이거즈 새 감독에 이범호 “2년 내 정상권 올려놓겠다”,한겨레,20240213,https://www.hani.co.kr/arti/sports/baseball/1128114.html
"기아, 제2회 PBV 아이디어 공모전 시상식 개최",이코노미스트,20240214,https://economist.co.kr/article/view/ecn202402140011
"기아, 제2회 PBV 아이디어 공모전 시상식...출품만 600여 건",OSEN,20240215,http://www.osen.co.kr/article/G1112275375
현대차·기아 내달 주총…기아 사외이사 첫 50% 넘을 듯,파이낸셜뉴스,20240216,http://www.fnnews.com/news/202402161752510827
"""얼마 만의 상승이냐""…현대차·기아 임원들, '주가 불기둥'에 현금화 러...",뉴스1,20240217,https://www.news1.kr/articles/5323411
"하루 한 대 이상 팔았다…기아 판매왕, 판매 실적 보니",뉴시스,20240218,http://www.newsis.com/view/?id=NISX20240218_0002630308&cID=13001&pID=13000
