제목,언론사,날짜,링크
"대우건설 나이지리아 韓직원 2명, 17일 만에 석방",조선비즈,20240101,https://biz.chosun.com/real_estate/real_estate_general/2024/01/01/R3XUDJTRTJDHLENQLJ4ZNM3W6I/?utm_source=naver&utm_medium=original&utm_campaign=biz
"대우건설, 베트남 디지털 테마파크 시공",국민일보,20240102,https://news.kmib.co.kr/article/view.asp?arcid=0924337666&code=11151500&cp=nv
"[신년사] 대우건설 정원주 회장 ""성장 한계…해외에 답이 있다""",연합뉴스,20240103,https://www.yna.co.kr/view/AKR20240103095400003?input=1195m
"정원주 대우건설 회장 ""해외에 답이 있다"" [신년사]",시사오늘,20240104,http://www.sisaon.co.kr/news/articleView.html?idxno=157221
[르포]대우건설 '손절'한 그곳 여전히 폐허...PF 옥석 가릴때,이데일리,20240105,http://www.edaily.co.kr/news/newspath.asp?newsid=01193926638754768
"태영 사태…불안한 입주자, 피말리는 중소건설사",노컷뉴스,20240106,https://www.nocutnews.co.kr/news/6074463
"새해 회장실 찾은 대우건설 신입사원...정원주 회장, 소통의 장 ‘화제...",파이낸셜뉴스,20240107,http://www.fnnews.com/news/202401051609152414
[건설in] “해외시장에 답 있다”… 동남아에 공들이는 대우건설,CNB저널(문화경제),20240108,https://weekly.cnbnews.com/news/article.html?no=157056
대우건설 ‘문현 푸르지오 트레시엘’ 잔여가구 분양,헤럴드경제,20240109,http://news.heraldcorp.com/view.php?ud=20240109000358
"대우건설, 부천 ‘송내역 푸르지오 센트비엔’ 1월 분양",조선비즈,20240110,https://biz.chosun.com/real_estate/real_estate_general/2024/01/10/IQ2BMSI57RHSFOZRV66LUNUOKI/?utm_source=naver&utm_medium=original&utm_campaign=biz
"[도약! 건설업] ③대우건설, ""해외에 답…디벨로퍼로도 나서겠다""",아이뉴스24,20240111,http://www.inews24.com/view/1674938
"대우건설, 3년 연속 영업이익률 ‘톱’ 보인다",데이터뉴스,20240112,http://www.datanews.co.kr/news/article.html?no=131027
“90%는 이제 기본”… 건설사 주택사업 최대 과제는 ‘원가율 관리’,조선비즈,20240113,https://biz.chosun.com/real_estate/real_estate_general/2024/01/13/GLKRAE5WB5HY5DOEXRMPOHUCAI/?utm_source=naver&utm_medium=original&utm_campaign=biz
고강도 자구노력 '워크아웃'…현대·대우·쌍용건설은 어땠나,아시아경제,20240114,https://view.asiae.co.kr/article/2024011417051930286
"한투證 “대우건설, 미래 성장성 부재… 투자의견 ‘중립’으로 하향”",조선비즈,20240115,https://biz.chosun.com/stock/market_trend/2024/01/15/4Z3SOOKGJ5AWHCIRQFUUBXFAWY/?utm_source=naver&utm_medium=original&utm_campaign=biz
"PF 줄이는 대우건설, 지난해 4분기 아쉽지만 올해는?",뉴스프리존,20240116,https://www.newsfreezone.co.kr/news/articleView.html?idxno=541740
[kfe 人 ceo] 백정완 대우건설 사장,한국금융경제신문,20240117,https://www.kfenews.co.kr/news/articleView.html?idxno=616546
"[게시판] 대우건설, 백정완 사장 주재 올해 첫 현장 안전점검",연합뉴스,20240118,https://www.yna.co.kr/view/AKR20240118042900003?input=1195m
"대우건설 시공 TKG휴켐스 여수 질산공장, 상업생산 개시",뉴스1,20240119,https://www.news1.kr/articles/5295218
"대우건설, 여수산단 'TKG휴켐스' 질산6공장 상업생산 개시",남도일보,20240120,http://www.namdonews.com/news/articleView.html?idxno=755537
대우건설 ‘여수산단 TKG휴켐스 질산6공장’ 상업생산 개시,스카이데일리,20240121,https://www.skyedaily.com/news/news_view.html?ID=218832
"대우건설, ‘의정부 푸르지오 클라시엘’ 계약금 5% 혜택 제시",매일경제,20240122,https://www.mk.co.kr/article/10926298
"대우건설, 인도 최장 뭄바이 해상교량 69개월만에 준공",이코노미스트,20240123,https://economist.co.kr/article/view/ecn202401230009
"대우건설, 21.8㎞ 인도 최장 뭄바이 해상 교량 준공",서울신문,20240124,https://www.seoul.co.kr/news/newsView.php?id=20240124018011&wlog_tag3=naver
"대우건설, '송내역 푸르지오 센트비엔' 견본주택 개관",뉴시스,20240125,http://www.newsis.com/view/?id=NISX20240125_0002604611&cID=10401&pID=10400
“사원으로 입사해 CEO까지”...신입사원과 소통나선 대우건설 사장,매일경제,20240126,https://www.mk.co.kr/article/10929999
[분양브리프] 현대건설·금호건설 대우건설 ﻿현대엔지니어링 ﻿포스코...,비즈트리뷴,20240127,http://www.biztribune.co.kr/news/articleView.html?idxno=303008
[주목! 이 단지] 대우건설의 새해 첫 분양…'송내역 푸르지오 센트비엔...,아시아투데이,20240128,https://www.asiatoday.co.kr/view.php?key=20240128010016259
"백정완 대우건설 사장, 신입사원 소통 행사 '한마음의 장' 참석",에너지경제,20240129,https://www.ekn.kr/web/view.php?key=20240126010007862
"대우건설 매출 성장에도 이익 12%대 감소… ""주택사업 원가 상승""",머니S,20240130,https://www.moneys.co.kr/article/2024013009140315177
"백정완 대우건설 사장, 나이지리아석유공사 CEO와 신규사업 논의",연합뉴스,20240131,https://www.yna.co.kr/view/AKR20240131072100003?input=1195m
"대우건설, 中 국영기업과 해상풍력 발전사업 협력",연합뉴스,20240201,https://www.yna.co.kr/view/AKR20240201063900003?input=1195m
"대우건설, 임직원 자녀 초청 '겨울방학 영어캠프' 개최",뉴스1,20240202,https://www.news1.kr/articles/5309943
"대우건설, 임직원 자녀 대상 '겨울방학 영어캠프' 개최",한국면세뉴스,20240203,http://www.kdfnews.com/news/articleView.html?idxno=126286
대우건설 ‘중국 국영기업과 해상풍력 발전사업’ 협력,스카이데일리,20240204,https://www.skyedaily.com/news/news_view.html?ID=220245
군포 벌터·마벨지구 4천억대 본PF 성사…대우건설 신용공여 원동력,아시아경제,20240205,https://view.asiae.co.kr/article/2024020506045699474
대우건설 ‘평택 푸르지오 센터파인’ 분양 돌입,동아일보,20240206,https://www.donga.com/news/Economy/article/all/20240206/123416606/2
"[2024 건설사 전략] 대우건설, '글로벌 건설 디벨로퍼' 전환 가속화",시사위크,20240207,http://www.sisaweek.com/news/articleView.html?idxno=211873
"대우건설, 인도 건설시장 공략 잰걸음",세계일보,20240208,http://www.segye.com/newsView/20240208509745?OutUrl=naver
"정원주 대우건설 회장, 인도시장 점검",동아일보,20240209,https://www.donga.com/news/Economy/article/all/20240208/123457076/1
삼성‧대우 격파한 포스코이앤씨···올해 수주 '왕좌' 노린다,서울파이낸스,20240210,http://www.seoulfn.com/news/articleView.html?idxno=509795
평사원에서 CEO까지···직장인 신화 이룬 건설사 CEO 3인방,서울파이낸스,20240211,http://www.seoulfn.com/news/articleView.html?idxno=510036
"대우건설, 임직원자녀 겨울방학 영어캠프 '성료'",남도일보,20240212,http://www.namdonews.com/news/articleView.html?idxno=758308
[단독] 가락삼익맨숀 재건축 입찰서 대우건설 철회,머니S,20240213,https://www.moneys.co.kr/article/2024021314302158016
