제목,언론사,날짜,링크
항공권에 숙박권까지 준다…대한항공 '새해 첫 손님'은?,MBN,20240101,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00003&news_seq_no=4990984
日 하네다공항 화재에 대한항공·아시아나항공 운항 차질,조선비즈,20240102,https://biz.chosun.com/industry/company/2024/01/02/C74J6Y2M3VENNJTTI7BLVZZOTM/?utm_source=naver&utm_medium=original&utm_campaign=biz
“어? 대한항공 여객기 아냐?”…CNN ‘황당’ 편집 실수,서울신문,20240103,https://www.seoul.co.kr/news/newsView.php?id=20240103500214&wlog_tag3=naver
"대한항공, '버추얼 휴먼'이 설명하는 기내 비디오 공개",뉴시스,20240104,http://www.newsis.com/view/?id=NISX20240104_0002580602&cID=13001&pID=13000
"대한항공 등 5개 항공사, '항공안전 기여' 국토장관 표창",연합뉴스,20240105,https://www.yna.co.kr/view/AKR20240105087700003?input=1195m
'가장 안전한 항공사'에 에어뉴질랜드 선정…대한항공은?,뉴시스,20240106,http://www.newsis.com/view/?id=NISX20240105_0002582690&cID=10101&pID=10100
"국토부, 대한항공 등 5곳에 보잉항공기 '출입문 구조점검' 지시",조선비즈,20240107,https://biz.chosun.com/policy/policy_sub/2024/01/07/KJZU7BQRTRDSTDLRW6ZQ5NK36A/?utm_source=naver&utm_medium=original&utm_campaign=biz
"""벽으로 메운 비상구, 한국엔 그런 기종 없다"" 보잉 사고 촉각",중앙일보,20240108,https://www.joongang.co.kr/article/25220453
"대한항공-아시아나 유럽 노선 티웨이 가나…EU, 정보요청",조선비즈,20240109,https://biz.chosun.com/industry/company/2024/01/09/5YCEKHYT2JB35KYW7TEPJZAFKI/?utm_source=naver&utm_medium=original&utm_campaign=biz
"대한항공, 日 기업과 '친환경 항공유' 사용 협력",뉴시스,20240110,http://www.newsis.com/view/?id=NISX20240110_0002586938&cID=13001&pID=13000
"국토부, 국내 항공사 'B737-8 MAX' 기종 정비 점검",뉴시스,20240111,http://www.newsis.com/view/?id=NISX20240111_0002588598&cID=10802&pID=14000
"""EU, 대한항공-아시아나 합병 승인 방침""(종합)",연합뉴스,20240112,https://www.yna.co.kr/view/AKR20240112149352098?input=1195m
"""EU, 대한항공·아시아나 합병 승인 방침""",YTN,20240113,https://www.ytn.co.kr/_ln/0104_202401130841276919
"로이터 “EU, 대한항공-아시아나 합병 승인 방침”",한겨레,20240114,https://www.hani.co.kr/arti/economy/marketing/1124263.html
"EU, 합병 승인에 ‘항공 빅2’ 아시아나·대한항공 일제히 강세 [증시이...",이코노미스트,20240115,https://economist.co.kr/article/view/ecn202401150004
"대한항공 여객기, 日홋카이도서 타 항공기와 접촉…부상자 없어(종합)",연합뉴스,20240116,https://www.yna.co.kr/view/AKR20240116154101073?input=1195m
"대한항공, 일본 홋카이도 공항에서 ‘접촉 사고’…“부상자 없어”",KBS,20240117,https://news.kbs.co.kr/news/pc/view/view.do?ncd=7867925&ref=A
"""대한항공·아시아나 합병 수혜주""…티웨이항공, 4%대 '상승'",한국경제,20240118,https://www.hankyung.com/article/2024011834106
"대한항공, 서울 강서구에 새해 맞이 '사랑의 쌀' 3t 기증",연합뉴스,20240119,https://www.yna.co.kr/view/AKR20240119078400003?input=1195m
"대한항공, 서울 강서구에 '사랑의 쌀' 기증",비즈월드,20240120,http://www.bizwnews.com/news/articleView.html?idxno=75030
대한항공 합병 급물살… LCC 지각변동 예고,디지털타임스,20240121,https://www.dt.co.kr/contents.html?article_no=2024012102109932031005&ref=naver
