제목,언론사,날짜,링크
'1km' 세계 최고층 빌딩 건설…삼성·현대·대우 불참 확정,아시아경제,20240101,https://view.asiae.co.kr/article/2024010120425980879
"최상목 부총리의 전화 한 통, 삼성의 로비는 성공했다",오마이뉴스,20240102,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002990269&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
"삼성물산 SSF샵, ‘청룡의 해’ 맞이 프로모션 진행",아시아투데이,20240103,https://www.asiatoday.co.kr/view.php?key=20240103010002364
"삼성물산·SAP 출신 '기업용 IT' 전문가 정응섭, 워크데이코리아 이끈다",블로터,20240104,https://www.bloter.net/news/articleView.html?idxno=610273
"삼성그룹도 IT비용절감 본격화?…삼성물산, ERP 3자 유지보수 선정",디지털데일리,20240105,https://www.ddaily.co.kr/page/view/2024010513593205972
"포스코인터·현대코퍼 ‘진격’…삼성물산·LX인터 ‘주춤’, 왜? [비즈...",헤럴드경제,20240106,http://news.heraldcorp.com/view.php?ud=20240105000676
삼성·현대·DL·SK에코 CEO 연임···건설업계 2024년 키워드는 '안정',서울파이낸스,20240107,http://www.seoulfn.com/news/articleView.html?idxno=506786
'재건축 대어' 압구정현대 수주전 불붙는다,한국경제,20240108,https://www.hankyung.com/article/2024010896831
"삼성, 美 벤처 캐피탈과 MOU…""바이오 신사업 발굴""",뉴시스,20240109,http://www.newsis.com/view/?id=NISX20240109_0002585397&cID=13001&pID=13000
"[단독] 홍라희·이부진·이서현, 삼성전자 주식 등 2.8조원 블록딜",한국경제,20240110,https://www.hankyung.com/article/202401105614r
"삼성물산, 세계최고 부르즈할리파 이어 2위 679ｍ 빌딩도 완공",연합뉴스,20240111,https://www.yna.co.kr/view/AKR20240111037300003?input=1195m
"삼성물산, 세계 2위 마천루 완공… 679m 메르데카118",국민일보,20240112,https://news.kmib.co.kr/article/view.asp?arcid=0924339398&code=11151500&cp=nv
"[영상] ""전세계 1·2위 초고층 빌딩 다 삼성 작품""…국왕도 엄지척[집슐...",서울경제,20240113,https://www.sedaily.com/NewsView/2D42G5K1ID
"삼성물산, 부산 촉진2-1에 래미안 핵심 역량 총동원…명품 주거단지 조...",뉴시스,20240114,http://www.newsis.com/view/?id=NISX20240114_0002591306&cID=10401&pID=10400
"삼성물산 등 상사업계 '빅2'…""올해 실적 더 좋다""",뉴시스,20240115,http://www.newsis.com/view/?id=NISX20240115_0002591824&cID=10402&pID=13000
