제목,언론사,날짜,링크
[속보] 삼성전자 세계 첫 3나노 반도체 기술 개발,매일경제,20200102,http://news.mk.co.kr/newsRead.php?no=5404&year=2020
"이재갑 노동, 삼성전자 등 대기업 임원 만나 '김용균법' 설명",연합뉴스,20200103,http://yna.kr/AKR20200102125200004?did=1195m
"삼성전자, 보급형 ‘갤럭시S10·노트10 라이트’ 공개… CES서 전시",조선비즈,20200104,https://biz.chosun.com/site/data/html_dir/2020/01/04/2020010400591.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"삼성전자 QLED 8K TV 공개…""AI 기술 총망라""",연합뉴스,20200105,http://yna.kr/AKR20200104000500003?did=1195m
"[CES 2020] 삼성전자 ""가정용 마이크로LED TV 시대 연다""",조선비즈,20200106,https://biz.chosun.com/site/data/html_dir/2020/01/06/2020010601040.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"[CES2020]삼성전자, 지능형 반려로봇 '볼리(Ballie)' 공개",아시아경제,20200107,https://view.asiae.co.kr/article/2020010703115775923
[2보] 삼성전자 작년 영업이익 27.7조원…전년 대비 52.9% 감소,연합뉴스,20200108,http://yna.kr/AKR20200108032951527?did=1195m
"삼성전자, 휴대용 SSD 'T7 터치' 출시…""속도·보안 강화""",연합뉴스,20200109,http://yna.kr/AKR20200109032700003?did=1195m
다시 날개펴는 삼성전자·SK하이닉스…시총 비중 30% '코앞',연합뉴스,20200110,http://yna.kr/AKR20200109167500008?did=1195m
"삼성전자, 영업이익 반토막인데 주가는 사상 최고…이유는",아이뉴스24,20200111,http://www.inews24.com/view/1235020
삼성전자 기업가치 세계 18위…인텔 누르고 1년새 10계단↑,연합뉴스,20200112,http://yna.kr/AKR20200111029400008?did=1195m
"[르포] 삼성전자 음향기술 산실, LA오디오랩 가보니",매일경제,20200113,http://news.mk.co.kr/newsRead.php?no=39723&year=2020
"삼성전자, 美 5G망 설계 전문 '텔레월드 솔루션즈' 인수",전자신문,20200114,http://www.etnews.com/20200114000001
"삼성전자, 2020년형 무풍에어컨 공개… ""사계절 가전, 자주 편리하게 청...",조선비즈,20200115,https://biz.chosun.com/site/data/html_dir/2020/01/15/2020011500986.html?utm_source=naver&utm_medium=original&utm_campaign=biz
