제목,언론사,날짜,링크
통합 셀트리온 12일 상장… 잭팟 터지나,파이낸셜뉴스,20240101,http://www.fnnews.com/news/202401011828538780
'합병 맞이 옥석 고르기' 셀트리온…다케다 아·태판권 매각,아시아경제,20240102,https://view.asiae.co.kr/article/2024010213124005203
"휴마시스, 공정위에 셀트리온 '하도급법 위반' 제소",연합뉴스,20240103,https://www.yna.co.kr/view/AKR20240103133400017?input=1195m
‘셀트리온 3형제’ 통합 기대감 속 가족 경영 우려도,국민일보,20240104,https://news.kmib.co.kr/article/view.asp?arcid=0019030147&code=61141111&cp=nv
"셀트리온 램시마SC, 호주서 빠른 성장…""美시장도 기대""",뉴시스,20240105,http://www.newsis.com/view/?id=NISX20240105_0002582012&cID=10434&pID=13200
"금리인하 기대 과했나…신주 상장 앞둔 셀트리온, 향후 변수는",매일경제,20240106,https://www.mk.co.kr/article/10914975
"삼성·SK·롯데·셀트리온·유한·카카오, JPM 콘퍼런스 집결",신아일보,20240107,http://www.shinailbo.co.kr/news/articleView.html?idxno=1810404
"셀트리온, 4955억원 규모 자사주 소각…""주주가치 제고""",뉴시스,20240108,http://www.newsis.com/view/?id=NISX20240108_0002584272&cID=10434&pID=13200
‘빅셀트리온’의 미래를 움켜쥔 사나이[CEO LOUNGE],매경이코노미,20240109,https://www.mk.co.kr/article/10914290
"셀트리온 ""휴미라 바이오시밀러, 美FDA에 상호교환 허가 신청""",연합뉴스,20240110,https://www.yna.co.kr/view/AKR20240110040600017?input=1195m
"""셀트리온 지주사 상장…100兆 펀드 조성""",한국경제,20240111,https://www.hankyung.com/article/2024011186161
"셀트리온 자가면역질환 치료제, 유럽서 수주 이어져",아시아경제,20240112,https://view.asiae.co.kr/article/2024011216571279493
"셀트리온 자가면역질환치료제, 유럽 주요국서 입찰 수주 확대",이뉴스투데이,20240113,http://www.enewstoday.co.kr/news/articleView.html?idxno=2078794
"서정진 셀트리온 회장, 청년들과 ‘기업가정신’ 공유",파이낸셜뉴스,20240114,http://www.fnnews.com/news/202401141920232710
"[단독] 셀트리온홀딩스, 美나스닥 간다…서정진 “이르면 연내상장 ”",매일경제,20240115,https://www.mk.co.kr/article/10921763
"""지주사 美 나스닥 상장""…셀트리온 그룹주 강세",뉴시스,20240116,http://www.newsis.com/view/?id=NISX20240116_0002593425&cID=15001&pID=15000
"셀트리온, 자가면역질환약 '유플라이마' 80㎎ 미국 출시",뉴시스,20240117,http://www.newsis.com/view/?id=NISX20240117_0002594818&cID=10434&pID=13200
"셀트리온 ""유럽 주요국서 항암제 시밀러 3종 입찰 수주""",뉴시스,20240118,http://www.newsis.com/view/?id=NISX20240118_0002596501&cID=10434&pID=13200
"셀트리온, 다케다 의약품판권 매각",지디넷코리아,20240119,https://zdnet.co.kr/view/?no=20240119153317
"셀트리온그룹, 다케다 프라이머리케어 사업권 매각 성공적 마무리",뉴스티앤티,20240120,http://www.newstnt.com/news/articleView.html?idxno=337386
"삼성·셀트리온, 생물다양성 공시체계 '속도'",한국경제,20240121,https://www.hankyung.com/article/2024012192211
"셀트리온홀딩스, 올해도 셀트리온 지분 확보 이어간다",머니투데이,20240122,http://news.mt.co.kr/mtview.php?no=2024012213465153581
"합병 성공한 셀트리온, 빅파마 도약 포부…순매수 1위 [주식 초고수는 ...",서울경제,20240123,https://www.sedaily.com/NewsView/2D471Z5DRB
"셀트리온, 중국 우시XDC와 ADC 신약 개발 협력",뉴스1,20240124,https://www.news1.kr/articles/5299924
다음달 美 출시 셀트리온 '짐펜트라'…현지 의료진도 기대,아시아경제,20240125,https://view.asiae.co.kr/article/2024012517303788312
"[2024 제약바이오] ②셀트리온, '해외시장 공략·합병·포트폴리오 확보...",아이뉴스24,20240126,http://www.inews24.com/view/1678406
"셀트리온, 지난해 자기주식 8860억원 규모 취득 ‘1위’…휴젤은 1224억...",CEO스코어데일리,20240127,https://www.ceoscoredaily.com/page/view/2024012416462349618
"서정진 셀트리온 회장, 김진모 예비후보 후원회장 맡아",충북일보,20240128,https://www.inews365.com/news/article.html?no=799221
