제목,언론사,날짜,링크
"[5대 금융회장 전망] ""이자이익 성장 제한적…상생 최우선""",연합뉴스,20240101,https://www.yna.co.kr/view/AKR20231231025700002?input=1195m
"진옥동 신한지주 회장 ""틀 깨는 혁신과 도전 나설 때""[신년사]",이데일리,20240102,http://www.edaily.co.kr/news/newspath.asp?newsid=01377606638753784
진옥동 신한금융지주 회장의 2024년 범금융 신년인사회,뉴스핌,20240103,http://www.newspim.com/news/view/20240103000858
[Who Is ?] 진옥동 신한금융지주 대표이사 회장,비즈니스포스트,20240104,https://www.businesspost.co.kr/BP?command=article_view&num=338197
"진옥동 신한금융 회장, ""경영리더, 절실하고 치열하게 궁리해야”",소셜밸류,20240105,https://www.socialvalue.kr/news/view/1065573366757634
"[주간政談<하>] 이수진, 왜 기자를 백브리핑장에 데려갔을까",더팩트,20240106,http://news.tf.co.kr/read/ptoday/2066555.htm
금리인하 기대에도 잠잠한 은행주…‘울며 겨자먹기’ 상생금융 때문에...,매일경제,20240107,https://www.mk.co.kr/article/10915684
"""지금 신한금융 주주여도 결산배당 OK""...금융지주, 배당풍경 바뀐다",에너지경제,20240108,https://www.ekn.kr/web/view.php?key=20240105010001692
'라임·옵티머스 사태' 3년 만 매듭… KB·신한·NH·대신證 중징계,뉴시스,20240109,http://www.newsis.com/view/?id=NISX20240109_0002586281&cID=10403&pID=15000
"슈퍼루키 장유빈, 신한은행 모자 쓰고 그린 누빈다",스마트투데이,20240110,https://www.smarttoday.co.kr/news/articleView.html?idxno=41464
[Invest]'새해에는 확장보단 내실'...KBㆍ신한지주 '전략ㆍ재무' 인사 함...,인베스트조선,20240111,http://www.investchosun.com/site/data/html_dir/2024/01/10/2024011080235.html
"""신한지주, 2023년 총주주환원율 30%대 중반 수준 예상""",인사이트코리아,20240112,http://www.insightkorea.co.kr/news/articleView.html?idxno=126763
"[주간사모펀드] 'KDB생명 인수설' MBK파트너스 ""인수 검토한 적 없어""",더팩트,20240113,http://news.tf.co.kr/read/economy/2068096.htm
"메리츠금융, 시총 12조 돌파…하나금융 턱밑 추격",서울경제,20240114,https://www.sedaily.com/NewsView/2D42Y3CGG0
"진옥동 신한금융지주 회장, 취임 1주년 앞둔 성적표는?",팝콘뉴스,20240115,http://www.popcornnews.net/news/articleView.html?idxno=51240
역대 최고가 경신한 메리츠금융지주… KB·신한 이어 시총 3위,조선비즈,20240116,https://biz.chosun.com/stock/stock_general/2024/01/16/P6FBW3MEAZCNVLES7M3ZBV7LPM/?utm_source=naver&utm_medium=original&utm_campaign=biz
"[기획] 진옥동표 신한금융, 조직 안정 속 영업력 다지기…배당도 '통 크...",더리브스,20240117,https://www.tleaves.co.kr/news/articleView.html?idxno=5260
"'은행 없는' 메리츠금융, KB·신한지주 이어 시총 3위",매일일보,20240118,http://www.m-i.kr/news/articleView.html?idxno=1085652
[업앤다운]은행주 상승…신한지주↑·제주은행↓,NSP통신,20240119,https://www.nspna.com/news/?mode=view&newsid=678609
[금융지주회사 브랜드평판] 1위 하나금융지주·2위 신한금융지주·3위 D...,국제뉴스,20240120,https://www.gukjenews.com/news/articleView.html?idxno=2904142
"[마켓인]현대건설, 건설채 첫 주자…위축된 투심 극복할까",이데일리,20240121,http://www.edaily.co.kr/news/newspath.asp?newsid=01184086638760016
[업앤다운]은행주 하락…신한지주↑·카카오뱅크↓,NSP통신,20240122,https://www.nspna.com/news/?mode=view&newsid=678880
금융지주 올 영구채 첫 타자…신한 수요예측 3배 몰려,서울경제,20240123,https://www.sedaily.com/NewsView/2D473I0DXB
"국내 상장사, 지난해 자사주 4.7조 소각…신한지주·현대차 최대",뉴시스,20240124,http://www.newsis.com/view/?id=NISX20240123_0002602388&cID=13001&pID=13000
[업앤다운]은행주 상승…제주은행↑·신한지주↓,NSP통신,20240125,https://www.nspna.com/news/?mode=view&newsid=679526
"신한지주, 내달 8일 기업설명회 개최",뉴시스,20240126,http://www.newsis.com/view/?id=NISX20240126_0002606470&cID=10403&pID=15000
"신한지주, 내달 8일 주주-투자 관계자 등 대상 기업설명회",조세금융신문,20240127,https://www.tfmedia.co.kr/news/article.html?no=157527
대세 된 '벚꽃 배당'…현대차·금융지주 '더블 배당'株 담아라,한국경제,20240128,https://www.hankyung.com/article/2024012863581
금융지주 ESG 관심도 하나·신한·KB 순···꼴찌는 메리츠,증권경제신문,20240129,http://www.koreastocknews.com/news/articleView.html?idxno=96333
'실적 먹구름인데...' 신한지주 주주들은 왜 안도할까,에너지경제,20240130,https://www.ekn.kr/web/view.php?key=20240129010008441
‘자사주 제도’ 개선책 나왔는데…증시 저평가 해소될까?,KBS,20240131,https://news.kbs.co.kr/news/pc/view/view.do?ncd=7879222&ref=A
"진옥동 신한금융지주 회장 “틀을 깨는 디지털 혁신, 고객편의로 이어져...",에너지경제,20240201,https://www.ekn.kr/web/view.php?key=20240201028521062
신한지주 주가 휘파람...기관은 9거래일 연속 대량매수,핀포인트뉴스,20240202,https://www.pinpointnews.co.kr/news/articleView.html?idxno=242885
"‘이자장사’ 데인 금융지주, 비이자 키우기 사활",뉴스투데이,20240203,https://www.news2day.co.kr/article/20240131500193
진옥동 신한금융지주 회장 “사회적 흐름 읽는 것이 사고예방의 출발점...,에너지경제,20240204,https://www.ekn.kr/web/view.php?key=20240204022362567
"[특징주]'저PBR 광풍 주역' 은행주, 약세…신한지주 5%↓",이데일리,20240205,http://www.edaily.co.kr/news/newspath.asp?newsid=01653126638787568
"금융지주 ""배당 확대냐 충당금이냐, 그것이 문제로다""",파이낸셜뉴스,20240206,http://www.fnnews.com/news/202402061827236368
"[Invest]어피너티, 신한지주 지분 팔고 사외이사 지명권 상실…쓸모 없...",인베스트조선,20240207,http://www.investchosun.com/site/data/html_dir/2024/02/07/2024020780156.html
"신한지주, 실적 둔화했지만…주주환원 강화",비즈워치,20240208,http://news.bizwatch.co.kr/article/finance/2024/02/08/0019
ELS 악재에도 사상 최고가로 향하는 은행주 비결은,조선비즈,20240209,https://biz.chosun.com/stock/finance/2024/02/09/G4K4X6CNTVBATAK357JUBHJSB4/?utm_source=naver&utm_medium=original&utm_campaign=biz
'자사주 소각에 배당 확대까지' 적극적 주주환원 정책에 훨훨 나는 금융...,파이낸셜뉴스,20240210,http://www.fnnews.com/news/202402092232057621
‘벚꽃 배당’도 반가운데 ‘더블 배당’까지…금융주 배당 막차 타려면...,매일경제,20240211,https://www.mk.co.kr/article/10940653
"[분석] KB금융, 충당금에도 실적 굳건…주주환원 여력 '넉넉'",더리브스,20240212,https://www.tleaves.co.kr/news/articleView.html?idxno=5361
PBR·주주환원 확대 …“신한지주 목표가 19% 상향”,매일경제,20240213,https://www.mk.co.kr/article/10941402
신한지주 525원·하나금융 1600원…벚꽃배당 기대에 매수세 이어질까,서울경제,20240214,https://www.sedaily.com/NewsView/2D5CW8GKR6
진옥동 신한금융 회장 MWC24행…“금융지주 회장 첫 참관”,대한경제,20240215,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202402151953429030589
"진옥동 신한지주 회장, 카드·증권 CEO와 스페인 MWC 참관",뉴스저널리즘,20240216,https://www.ngetnews.com/news/articleView.html?idxno=501842
정책에 기업가치도 좌지우지…은행들 속앓이,비즈워치,20240217,http://news.bizwatch.co.kr/article/finance/2024/02/16/0027
