제목,언론사,날짜,링크
"크래프톤, 디펜스 더비 신규 유닛 '대장장이' 출시",테크월드,20240101,https://www.epnc.co.kr/news/articleView.html?idxno=239659
"한화투자證 ""크래프톤, 다 빠져도 안 빠지고 있는 배그 매출""",아시아투데이,20240102,https://www.asiatoday.co.kr/view.php?key=20240102010001057
크래프톤 '배그' 잇는 새 캐시카우 발굴 주목,더게임스데일리,20240103,http://www.tgdaily.co.kr/news/articleView.html?idxno=329942
[BBIG TOP 10] 크래프톤 2.93% 올라 구성종목 중 상승률 상위권,핀포인트뉴스,20240104,https://www.pinpointnews.co.kr/news/articleView.html?idxno=236487
게임사는 AI를 어떻게 활용할까,지디넷코리아,20240105,https://zdnet.co.kr/view/?no=20240105104525
1년 만에 격차 '4.7조→1600억'까지…게임주 2등 바뀌나 [진영기의 찐개...,한국경제,20240106,https://www.hankyung.com/article/2024010549476
[신년특집 게임코인TV] 블록체인 선봉에 나선 게임사 크래프톤...오버데...,테크M,20240107,https://www.techm.kr/news/articleView.html?idxno=118665
"크래프톤, 한숨 돌린 中규제…이제 신작 모멘텀이 중요-대신",이데일리,20240108,http://www.edaily.co.kr/news/newspath.asp?newsid=01252966638755752
해외 게이머가 뽑은 韓 최고 게임 '배틀그라운드',뉴시스,20240109,http://www.newsis.com/view/?id=NISX20240109_0002585560&cID=13008&pID=13100
"크래프톤, 커지는 신작 기대감에 투자매력 UP…목표가↑-메리츠",이데일리,20240110,http://www.edaily.co.kr/news/newspath.asp?newsid=01446486638756408
"크래프톤, '배틀그라운드' 27.2 업데이트 라이브 서버에 적용…변경 사...",엑스포츠뉴스,20240111,https://www.xportsnews.com/article/1812654
"코로나가 떠나자 게임 업계 '폐업, 해고' 바람 분다",디스이즈게임,20240112,https://www.thisisgame.com/webzine/special/nboard/11/?n=183346
패밀리레스토랑 뺨치는 폭립이…‘어나더 레벨’ 크래프톤[회사의맛],이데일리,20240113,http://www.edaily.co.kr/news/newspath.asp?newsid=01443206638757392
"[HOT 마켓 트렌드] 크래프톤 '배틀그라운드', 2023년 해외에서 '최고 인...",비즈월드,20240114,http://www.bizwnews.com/news/articleView.html?idxno=74486
"""크래프톤, 신작 기대에 주가 상승 전망…목표가↑""-다올",한국경제,20240115,https://www.hankyung.com/article/2024011536626
"“운명을 건 한 판 게임인데”…엔씨소프트·크래프톤, 왜 이리 다른거...",매일경제,20240116,https://www.mk.co.kr/article/10922331
"크래프톤이 양성한 예비 개발자, 6개 게임 출시",뉴시스,20240117,http://www.newsis.com/view/?id=NISX20240117_0002594933&cID=13008&pID=13100
"'크래프톤 정글 게임랩' 졸업작 해보니...""호평 이유 있었네"" [찍먹 리뷰...",파이낸셜투데이,20240118,http://www.ftoday.co.kr/news/articleView.html?idxno=314832
"크래프톤, '배틀그라운드 모바일' 캐릭터 '잔망루피' 아이템 출시",데일리한국,20240119,https://daily.hankooki.com/news/articleView.html?idxno=1043269
"""글로벌 메가 IP PUBG 매출 견조""...크래프톤 주가 신바람",핀포인트뉴스,20240120,https://www.pinpointnews.co.kr/news/articleView.html?idxno=239825
게임업계가 준비한 1월 따끈한 신작은?,스마트에프엔,20240121,https://www.smartfn.co.kr/article/view/sfn202401190056
