제목,언론사,날짜,링크
"현대차 아이오닉5, 싱가포르 '올해의 자동차'에 첫 선정",연합뉴스,20240101,https://www.yna.co.kr/view/AKR20240101020100003?input=1195m
"美 보조금 받는 전기차, 절반 이상 줄었다",한국경제,20240102,https://www.hankyung.com/article/2024010272891
"[단독]""왜 우리만 임금피크제?""…현대차 前간부들, 무더기 손배소 제기",뉴시스,20240103,http://www.newsis.com/view/?id=NISX20240102_0002578666&cID=10221&pID=10200
더 끈끈해진 '삼성·현대차 동맹'…이번엔 SW 공동개발,한국경제,20240104,https://www.hankyung.com/article/2024010428621
"""친환경차 늘려라""…현대차 공장은 공사 중",한국경제,20240105,https://www.hankyung.com/article/2024010552431
"현대차·기아, 주가 상승 위해선 주주환원이 전제",파이낸셜뉴스,20240106,http://www.fnnews.com/news/202401051600375759
'축구장 크기' 역대급 전시관 꾸린 현대차 [CES 2024 미래를 만나다],파이낸셜뉴스,20240107,http://www.fnnews.com/news/202401071837394581
"현대차, 인도 투자 1조 증액...10년간 총 4조원 투입",파이낸셜뉴스,20240108,http://www.fnnews.com/news/202401082004140452
"""러시아 현대차 공장, 2년 만에 재가동 시작""",뉴시스,20240109,http://www.newsis.com/view/?id=NISX20240109_0002586686&cID=10101&pID=10100
"현대차 슈퍼널, 차세대 기체 'S-A2' 공개…""2028년 상용화""[CES 2024]",뉴시스,20240110,http://www.newsis.com/view/?id=NISX20240109_0002586717&cID=13001&pID=13000
"[CES 현장] 현대차·기아 부스 찾은 스티비 원더…""직접 만져봐도 될까...",연합뉴스,20240111,https://www.yna.co.kr/view/AKR20240111086400003?input=1195m
"""이렇게만 나와라""…현대차, 아이오닉5N 컨셉카 'NPX1' 공개",한국경제,20240112,https://www.hankyung.com/article/202401120647i
'CES 2024' 현대차 전시관,연합뉴스,20240113,https://www.yna.co.kr/view/PYH20240113016000003?input=1196m
'美 전기차 2위' 현대차·기아…새해부터 할인 나섰다,한국경제,20240114,https://www.hankyung.com/article/2024011430731
코요테와 함께 40도 사막을 달린다…현대차 모하비주행시험장 [영상],한겨레,20240115,https://www.hani.co.kr/arti/economy/car/1124432.html
"[단독] 현대차, 충칭공장 3000억에 팔았다…2년만에 중국서 또 처분",매일경제,20240116,https://www.mk.co.kr/article/10922677
현대차 이어 현대모비스도 中 충칭 공장 판다,뉴시스,20240117,http://www.newsis.com/view/?id=NISX20240117_0002596029&cID=10435&pID=13000
[단독] 양희원 신임 현대차 사장 “양산차·미래 모빌리티 R&D ‘2인 3각...,매일경제,20240118,https://www.mk.co.kr/article/10924114
"[단독] 현대차, 세계 1위 中 간펑리튬과 구매 계약 맺었다",한국경제,20240119,https://www.hankyung.com/article/202401195005i
"與 삼성전자 사장, 野 현대차 사장...기업인 영입 경쟁",조선일보,20240120,https://www.chosun.com/politics/assembly/2024/01/20/FOK2WVC4OBDUPHWC3TN2JARITM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
"현대차·기아·제네시스, 영국 '왓 카 어워즈' 5관왕 달성",연합뉴스,20240121,https://www.yna.co.kr/view/AKR20240121015700003?input=1195m
"현대차, 美정부에 ""中 광물 즉각 배제 비현실적…한시 허용해야""",연합뉴스,20240122,https://www.yna.co.kr/view/AKR20240122003900071?input=1195m
"현대차, 대형트럭 '엑시언트 프로' 출시…""승차감 강화""",뉴시스,20240123,http://www.newsis.com/view/?id=NISX20240123_0002601277&cID=10435&pID=13000
"국내 상장사, 지난해 자사주 4.7조 소각…신한지주·현대차 최대",뉴시스,20240124,http://www.newsis.com/view/?id=NISX20240123_0002602388&cID=13001&pID=13000
"현대차, 지난해 영업익 15.1조 '역대 최대'…삼성전자 넘어 1위(종합)",뉴스1,20240125,https://www.news1.kr/articles/5301666
"현대차·기아, 내달 6∼8일 설 특별 무상점검 서비스",연합뉴스,20240126,https://www.yna.co.kr/view/AKR20240126032200003?input=1195m
"현대차, 북미 NFL 챔피언십 TV 중계에 싼타페 광고",조선비즈,20240127,https://biz.chosun.com/industry/company/2024/01/27/TOSRAEKAPVCBXGIZKCUC62ENC4/?utm_source=naver&utm_medium=original&utm_campaign=biz
대세 된 '벚꽃 배당'…현대차·금융지주 '더블 배당'株 담아라,한국경제,20240128,https://www.hankyung.com/article/2024012863581
"설날 함께 즐겨야죠…삼성·현대차·LG, 협력사 대금 5조5000억 미리 푼다",매일경제,20240129,https://www.mk.co.kr/article/10931946
현대차 없이도 12조 잭팟…해외서 '이 기업' 대박 났다는데,한국경제,20240130,https://www.hankyung.com/article/202401301002i
"현대차, 탄소 줄이는 '바다숲 조성 사업' 나선다",연합뉴스,20240131,https://www.yna.co.kr/view/AKR20240131104700003?input=1195m
