date,기아_quantity,기아_value,대우건설_quantity,대우건설_value,대한항공_quantity,대한항공_value,현대차_quantity,현대차_value,KB금융_quantity,KB금융_value,KT_quantity,KT_value,SK하이닉스_quantity,SK하이닉스_value,HMM_quantity,HMM_value,NAVER_quantity,NAVER_value
2024-01-02,10245.0,999912000.0,,,,,,,,,,,,,,,,
2024-01-03,3519.0,330082200.0,12862.0,52862820.0,3677.0,84571000.0,771.0,149419800.0,,,,,,,,,,
2024-01-04,5350.0,497015000.0,,,,,1227.0,233130000.0,2146.0,110948200.0,1387.0,46533850.0,490.0,66836000.0,,,,
2024-01-05,6971.0,638543600.0,,,,,1265.0,236934500.0,1338.0,68639400.0,,,,,,,,
2024-01-08,6971.0,619721900.0,,,,,786.0,145960200.0,,,,,333.0,45288000.0,,,,
2024-01-09,6971.0,621116100.0,,,,,487.0,90387200.0,,,,,,,4920.0,96973200.0,,
2024-01-10,5413.0,489876500.0,,,,,,,,,,,,,12077.0,230429160.0,,
2024-01-11,8066.0,723520200.0,12587.0,53368880.0,3297.0,76325550.0,,,1609.0,82059000.0,,,,,,,,
2024-01-12,7655.0,675936500.0,15252.0,64134660.0,2426.0,55434100.0,300.0,55800000.0,,,,,531.0,71207100.0,,,,
2024-01-15,7937.0,721473300.0,53730.0,220024350.0,,,,,,,,,,,,,,
2024-01-16,7359.0,660838200.0,,,,,410.0,76342000.0,,,2516.0,83405400.0,847.0,111888700.0,,,,
2024-01-17,4829.0,424469100.0,10581.0,42429810.0,2224.0,49150400.0,636.0,115624800.0,,,,,345.0,45195000.0,,,,
2024-01-18,4829.0,421571700.0,7624.0,30267280.0,,,679.0,122355800.0,1190.0,58786000.0,,,,,4572.0,89565480.0,530.0,114745000.0
2024-01-19,4829.0,423020400.0,,,,,333.0,60506100.0,,,,,,,8840.0,169904800.0,257.0,55383500.0
2024-01-22,6114.0,533140800.0,21545.0,83594600.0,1660.0,37350000.0,438.0,78883800.0,,,,,,,9333.0,174993750.0,,
2024-01-23,9308.0,818173200.0,,,,,,,,,,,756.0,106444800.0,,,,
2024-01-24,10526.0,925235400.0,,,,,,,,,,,,,,,,
2024-01-25,3324.0,309132000.0,,,,,,,,,,,,,,,,
2024-01-26,5032.0,475020800.0,,,,,,,,,,,3739.0,508504000.0,,,,
2024-01-29,,,,,,,,,,,,,7463.0,1007505000.0,,,,
2024-01-30,5605.0,549290000.0,,,,,1319.0,250610000.0,,,,,,,,,1058.0,221651000.0
2024-01-31,,,85080.0,334789800.0,,,,,,,,,1081.0,145610700.0,,,2819.0,565209500.0
2024-02-01,,,,,,,,,,,,,7926.0,1051780200.0,,,,
2024-02-02,,,,,,,,,,,,,,,,,,
2024-02-05,,,,,,,,,8836.0,554017200.0,,,3894.0,515176200.0,,,,
2024-02-06,5781.0,645159600.0,47360.0,183993600.0,,,,,,,,,,,,,1293.0,265711500.0
2024-02-07,6845.0,785121500.0,,,,,,,,,,,,,,,1604.0,328018000.0
2024-02-08,6504.0,736252800.0,,,,,,,,,,,,,,,,
2024-02-13,,,,,,,,,,,,,,,63490.0,1131391800.0,,
2024-02-14,,,62639.0,246484465.0,,,,,4705.0,316646500.0,,,,,31764.0,563811000.0,,
2024-02-15,4506.0,511431000.0,,,4438.0,101630200.0,275.0,66000000.0,4124.0,268472400.0,,,,,9172.0,160418280.0,,
2024-02-16,7561.0,875563800.0,,,,,,,,,,,1777.0,260863600.0,,,,
