선택된 인스턴스에 대한 LIME 설명
특성	가중치
t-2 <= 0.28	-0.0124
t-3 <= 0.28	-0.0111
t-4 <= 0.28	-0.0074
t-1 <= 0.28	-0.0069
t-59 > 0.32	-0.0037
t-5 <= 0.28	-0.0031
t-58 > 0.32	-0.0024
t-60 > 0.33	-0.0017
0.28 < t-11 <= 0.29	-0.0015
t-6 <= 0.28	-0.0014
t-27 > 0.31	0.0014
t-48 > 0.32	0.0013
t-57 > 0.32	-0.0011
t-41 > 0.31	-0.0010
t-56 > 0.32	-0.0010
0.29 < t-19 <= 0.31	-0.0009
t-22 > 0.31	0.0008
t-52 > 0.32	0.0008
t-24 > 0.31	-0.0007
t-45 > 0.31	0.0007
t-13 <= 0.28	-0.0007
t-26 > 0.31	-0.0007
t-33 > 0.31	0.0006
t-53 > 0.32	0.0006
t-50 > 0.32	0.0005
t-37 > 0.31	0.0005
0.29 < t-32 <= 0.31	0.0005
t-51 > 0.32	0.0005
0.29 < t-31 <= 0.31	-0.0005
t-35 > 0.31	0.0005
t-46 > 0.32	-0.0005
t-9 <= 0.28	0.0004
0.29 < t-30 <= 0.31	0.0004
t-43 > 0.31	0.0004
0.28 < t-15 <= 0.29	0.0004
t-10 <= 0.28	-0.0004
t-7 <= 0.28	0.0004
t-8 <= 0.28	0.0004
t-20 > 0.31	-0.0004
0.28 < t-16 <= 0.29	-0.0003
0.28 < t-14 <= 0.29	-0.0003
t-54 > 0.32	0.0003
t-23 > 0.31	-0.0003
t-44 > 0.31	-0.0002
t-47 > 0.32	0.0002
t-25 > 0.31	-0.0002
t-40 > 0.31	-0.0002
t-12 <= 0.28	0.0002
t-21 > 0.31	0.0002
t-38 > 0.31	-0.0002
0.29 < t-29 <= 0.31	-0.0001
0.29 < t-18 <= 0.31	-0.0001
t-49 > 0.32	-0.0001
t-42 > 0.31	0.0001
0.28 < t-17 <= 0.29	0.0001
t-36 > 0.31	0.0001
t-34 > 0.31	-0.0001
t-55 > 0.32	-0.0001
t-39 > 0.31	0.0001
t-28 > 0.31	0.0000
