Actual,Predicted,Error%
15720.0,15490.32,1.4610667143765903
15870.000000000002,15531.7295,2.131509185964094
15700.000000000002,15591.189,0.6930608081210307
15950.0,15658.107,1.8300475117554857
15670.0,15728.112,-0.37085069998404596
15380.0,15768.216,-2.5241600800552666
15050.0,15640.502,-3.9236010174418605
15800.0,15407.995,2.4810435621044307
15600.0,15297.326,1.940216846955128
15380.0,15365.939,0.09142098098179453
15480.000000000002,15415.429,0.4171271903262391
14550.0,15459.154,-6.248483140034365
14700.0,15348.434,-4.411112882653061
14660.0,15128.616,-3.196563512534106
15500.0,14891.386,3.9265435987903228
16120.0,14848.755,7.886135962701612
14910.0,15107.547,-1.3249287391012743
14950.0,15276.922,-2.1867683946488294
14850.0,15254.89,-2.726529619107744
15080.0,15135.014,-0.36481214771220155
16020.0,15044.527,6.089092735642946
15850.0,15159.961,4.353558753943218
15600.0,15365.785,1.501377203525641
15310.000000000002,15533.304,-1.4585480792782375
15800.0,15580.243,1.3908660502373418
16270.0,15592.381,4.164837987861094
17300.0,15773.173,8.825590453395954
18340.0,16156.824,11.90390284214831
18560.0,16774.742,9.618845972521552
18010.0,17423.592,3.2560144537756806
16520.0,17808.78,-7.801327462923729
16179.999999999998,17679.965,-9.27048729140916
17550.0,17199.682,1.9961160078347577
17010.0,16871.658,0.8132968658142269
16800.0,16802.387,-0.014206659226190476
16600.0,16798.22,-1.1941006212349397
16780.0,16752.584,0.16338507523837903
17550.0,16715.531,4.7548076923076925
18010.0,16857.42,6.399667285535814
18180.0,17149.049,5.670798525165017
18180.0,17546.318,3.4855975831958195
18000.0,17892.375,0.5979166666666667
19130.0,18101.21,5.377883233141662
19000.0,18356.656,3.386019736842105
19090.0,18668.965,2.2055272721320063
19500.0,18933.969,2.9027243589743588
18410.0,19203.781,-4.311685225420967
17500.0,19268.23,-10.104174107142857
17100.0,19033.475,-11.306869060672515
17030.0,18575.287,-9.073911387991778
18050.0,18134.766,-0.4696156509695291
17540.0,17974.63,-2.477941045467503
17930.0,18024.059,-0.5245878067484663
18510.0,18126.146,2.0737629153160455
19150.0,18361.383,4.1181054177545695
19140.0,18715.084,2.2200418789184955
18980.0,19102.709,-0.6465173043993678
19180.0,19331.69,-0.7908730611313869
19140.0,19462.666,-1.6858203533176592
19010.0,19529.17,-2.7310358857180432
19630.0,19548.088,0.41728023115129903
19690.0,19624.783,0.33121786122397157
19970.0,19790.154,0.9005793847020531
19900.0,20007.072,-0.5380515860552765
19780.0,20224.785,-2.248661052831143
