date,stock,action,quantity,price,amount
2024-01-02,기아,BUY,10245,97600,999912000
2024-01-03,기아,SELL,6726,93800,630898800
2024-01-03,대우건설,BUY,12862,4110,52862820
2024-01-03,대한항공,BUY,3677,23000,84571000
2024-01-03,현대차,BUY,771,193800,149419800
2024-01-04,대우건설,SELL,12862,4100,52734200
2024-01-04,대한항공,SELL,3677,23000,84571000
2024-01-04,KB금융,BUY,2146,51700,110948200
2024-01-04,KT,BUY,1387,33550,46533850
2024-01-04,SK하이닉스,BUY,490,136400,66836000
2024-01-04,기아,BUY,1831,92900,170099900
2024-01-04,현대차,BUY,456,190000,86640000
2024-01-05,KT,SELL,1387,33500,46464500
2024-01-05,SK하이닉스,SELL,490,137500,67375000
2024-01-05,KB금융,SELL,808,51300,41450400
2024-01-05,기아,BUY,1621,91600,148483600
2024-01-05,현대차,BUY,38,187300,7117400
2024-01-08,KB금융,SELL,1338,52200,69843600
2024-01-08,SK하이닉스,BUY,333,136000,45288000
2024-01-08,현대차,SELL,479,185700,88950300
2024-01-09,SK하이닉스,SELL,333,137400,45754200
2024-01-09,HMM,BUY,4920,19710,96973200
2024-01-09,현대차,SELL,299,185600,55494400
2024-01-10,현대차,SELL,487,186700,90922900
2024-01-10,HMM,BUY,7157,19080,136555560
2024-01-10,기아,SELL,1558,90500,140999000
2024-01-11,HMM,SELL,12077,19590,236588430
2024-01-11,KB금융,BUY,1609,51000,82059000
2024-01-11,기아,BUY,2653,89700,237974100
2024-01-11,대우건설,BUY,12587,4240,53368880
2024-01-11,대한항공,BUY,3297,23150,76325550
2024-01-12,KB금융,SELL,1609,51000,82059000
2024-01-12,SK하이닉스,BUY,531,134100,71207100
2024-01-12,기아,SELL,411,88300,36291300
2024-01-12,대우건설,BUY,2665,4205,11206325
2024-01-12,대한항공,SELL,871,22850,19902350
2024-01-12,현대차,BUY,300,186000,55800000
2024-01-15,SK하이닉스,SELL,531,134100,71207100
2024-01-15,대한항공,SELL,2426,22950,55676700
2024-01-15,현대차,SELL,300,187500,56250000
2024-01-15,기아,BUY,282,90900,25633800
2024-01-15,대우건설,BUY,38478,4095,157567410
2024-01-16,대우건설,SELL,53730,4090,219755700
2024-01-16,KT,BUY,2516,33150,83405400
2024-01-16,SK하이닉스,BUY,847,132100,111888700
2024-01-16,기아,SELL,578,89800,51904400
2024-01-16,현대차,BUY,410,186200,76342000
2024-01-17,KT,SELL,2516,33300,83782800
2024-01-17,SK하이닉스,SELL,502,131000,65762000
2024-01-17,기아,SELL,2530,87900,222387000
2024-01-17,대우건설,BUY,10581,4010,42429810
2024-01-17,대한항공,BUY,2224,22100,49150400
2024-01-17,현대차,BUY,226,181800,41086800
2024-01-18,SK하이닉스,SELL,345,136200,46989000
2024-01-18,대한항공,SELL,2224,22250,49484000
2024-01-18,HMM,BUY,4572,19590,89565480
2024-01-18,KB금융,BUY,1190,49400,58786000
2024-01-18,NAVER,BUY,530,216500,114745000
2024-01-18,대우건설,SELL,2957,3970,11739290
2024-01-18,현대차,BUY,43,180200,7748600
2024-01-19,KB금융,SELL,1190,49500,58905000
2024-01-19,대우건설,SELL,7624,3980,30343520
2024-01-19,HMM,BUY,4268,19220,82030960
2024-01-19,NAVER,SELL,273,215500,58831500
2024-01-19,현대차,SELL,346,181700,62868200
2024-01-22,NAVER,SELL,257,217000,55769000
2024-01-22,HMM,BUY,493,18750,9243750
2024-01-22,기아,BUY,1285,87200,112052000
2024-01-22,대우건설,BUY,21545,3880,83594600
2024-01-22,대한항공,BUY,1660,22500,37350000
2024-01-22,현대차,BUY,105,180100,18910500
2024-01-23,HMM,SELL,9333,19800,184793400
2024-01-23,대우건설,SELL,21545,3900,84025500
2024-01-23,대한항공,SELL,1660,22500,37350000
2024-01-23,현대차,SELL,438,184800,80942400
2024-01-23,SK하이닉스,BUY,756,140800,106444800
2024-01-23,기아,BUY,3194,87900,280752600
2024-01-24,SK하이닉스,SELL,756,141500,106974000
2024-01-24,기아,BUY,1218,87900,107062200
2024-01-25,기아,SELL,7202,93000,669786000
2024-01-26,SK하이닉스,BUY,3739,136000,508504000
2024-01-26,기아,BUY,1708,94400,161235200
2024-01-29,기아,SELL,5032,99900,502696800
2024-01-29,SK하이닉스,BUY,3724,135000,502740000
2024-01-30,SK하이닉스,SELL,7463,136900,1021684700
2024-01-30,NAVER,BUY,1058,209500,221651000
2024-01-30,기아,BUY,5605,98000,549290000
2024-01-30,현대차,BUY,1319,190000,250610000
2024-01-31,기아,SELL,5605,102900,576754500
2024-01-31,현대차,SELL,1319,194600,256677400
2024-01-31,NAVER,BUY,1761,200500,353080500
2024-01-31,SK하이닉스,BUY,1081,134700,145610700
2024-01-31,대우건설,BUY,85080,3935,334789800
2024-02-01,NAVER,SELL,2819,202500,570847500
2024-02-01,대우건설,SELL,85080,3965,337342200
2024-02-01,SK하이닉스,BUY,6845,132700,908331500
2024-02-02,SK하이닉스,SELL,7926,134900,1069217400
2024-02-05,KB금융,BUY,8836,62700,554017200
2024-02-05,SK하이닉스,BUY,3894,132300,515176200
2024-02-06,KB금융,SELL,8836,63100,557551600
2024-02-06,SK하이닉스,SELL,3894,138000,537372000
2024-02-06,NAVER,BUY,1293,205500,265711500
2024-02-06,기아,BUY,5781,111600,645159600
2024-02-06,대우건설,BUY,47360,3885,183993600
2024-02-07,대우건설,SELL,47360,3920,185651200
2024-02-07,NAVER,BUY,311,204500,63599500
2024-02-07,기아,BUY,1064,114700,122040800
2024-02-08,NAVER,SELL,1604,206000,330424000
2024-02-08,기아,SELL,341,113200,38601200
2024-02-13,기아,SELL,6504,117200,762268800
2024-02-13,HMM,BUY,63490,17820,1131391800
2024-02-14,HMM,SELL,31726,17750,563136500
2024-02-14,KB금융,BUY,4705,67300,316646500
2024-02-14,대우건설,BUY,62639,3935,246484465
2024-02-15,대우건설,SELL,62639,3930,246171270
2024-02-15,HMM,SELL,22592,17490,395134080
2024-02-15,KB금융,SELL,581,65100,37823100
2024-02-15,기아,BUY,4506,113500,511431000
2024-02-15,대한항공,BUY,4438,22900,101630200
2024-02-15,현대차,BUY,275,240000,66000000
2024-02-16,HMM,SELL,9172,17830,163536760
2024-02-16,KB금융,SELL,4124,67700,279194800
2024-02-16,대한항공,SELL,4438,23100,102517800
2024-02-16,현대차,SELL,275,252500,69437500
2024-02-16,SK하이닉스,BUY,1777,146800,260863600
2024-02-16,기아,BUY,3055,115800,353769000
2024-02-19,SK하이닉스,SELL,1777,151300,268860100
2024-02-19,기아,BUY,2287,117600,268951200
2024-02-20,기아,SELL,3567,116100,414128700
2024-02-20,대우건설,BUY,53821,4010,215822210
2024-02-21,대우건설,SELL,53821,4005,215553105
2024-02-21,KB금융,BUY,5564,65100,362216400
2024-02-21,기아,SELL,3437,116800,401441600
2024-02-21,현대차,BUY,437,239500,104661500
2024-02-22,기아,SELL,2844,119300,339289200
2024-02-22,현대차,SELL,437,243500,106409500
2024-02-22,KB금융,BUY,12236,64900,794116400
2024-02-23,KB금융,SELL,17800,65800,1171240000
2024-02-23,KT,BUY,5714,39400,225131600
2024-02-23,기아,BUY,6254,118400,740473600
2024-02-23,대한항공,BUY,8863,23200,205621600
2024-02-26,대한항공,SELL,8863,23000,203849000
2024-02-26,KT,SELL,2266,38700,87694200
2024-02-26,기아,SELL,276,114600,31629600
2024-02-27,HMM,BUY,6232,18370,114481840
2024-02-27,KB금융,BUY,1097,62400,68452800
2024-02-27,KT,SELL,741,38100,28232100
2024-02-27,SK하이닉스,BUY,951,153800,146263800
2024-02-27,기아,SELL,345,112600,38847000
2024-02-27,대한항공,BUY,2699,22600,60997400
2024-02-28,KB금융,SELL,1097,62300,68343100
2024-02-28,KT,SELL,2707,38400,103948800
2024-02-28,SK하이닉스,SELL,951,158000,150258000
2024-02-28,대한항공,SELL,2699,22700,61267300
2024-02-28,HMM,BUY,3249,18370,59684130
2024-02-28,기아,BUY,2754,117700,324145800
2024-02-29,기아,SELL,8387,124500,1044181500
2024-02-29,HMM,SELL,9481,18270,173217870
2024-02-29,NAVER,BUY,4850,195000,945750000
2024-02-29,대우건설,BUY,68270,3980,271714600
