Group,File,Volatility,Trend
High Volatility,삼성SDI_20200102_20231231_KOSPI.csv,146230.1877841239,Up
High Volatility,크래프톤_20200102_20231231_KOSPI.csv,110787.85628503215,Down
High Volatility,삼성바이오로직스_20200102_20231231_KOSPI.csv,109934.91030151202,Up
High Volatility,NAVER_20200102_20231231_KOSPI.csv,82233.6485237049,Up
High Volatility,셀트리온_20200102_20231231_KOSPI.csv,62328.29887385636,Up
High Volatility,아모레퍼시픽_20200102_20231231_KOSPI.csv,46081.241648963485,Down
High Volatility,현대차_20200102_20231231_KOSPI.csv,38618.170646541,Up
High Volatility,LG전자_20200102_20231231_KOSPI.csv,30149.514029688762,Up
High Volatility,LIG넥스원_20200102_20231231_KOSPI.csv,25510.029521136326,Up
High Volatility,SK하이닉스_20200102_20231231_KOSPI.csv,18601.40430641002,Up
Low Volatility,삼성물산_20200102_20231231_KOSPI.csv,11690.700162444875,Up
Low Volatility,한화솔루션_20200102_20231231_KOSPI.csv,10652.515553824029,Up
Low Volatility,HMM_20200102_20231231_KOSPI.csv,10504.341560767409,Up
Low Volatility,삼성전자_20200102_20231231_KOSPI.csv,9911.498805699086,Up
Low Volatility,KB금융_20200102_20231231_KOSPI.csv,7764.051038693399,Up
Low Volatility,기아_20200102_20231231_KOSPI.csv,6947.144042336986,Up
Low Volatility,KT_20200102_20231231_KOSPI.csv,4855.371016817594,Up
Low Volatility,대한항공_20200102_20231231_KOSPI.csv,4193.7213370797845,Down
Low Volatility,신한지주_20200102_20231231_KOSPI.csv,3930.5557831854517,Down
Low Volatility,대우건설_20200102_20231231_KOSPI.csv,1396.3770232419533,Down
