제목,언론사,날짜,본문,링크,감성점수
"여수광양항만공사·LG화학, 여수시에 4000만 원 후원",newsis,2025.04.08 (화),"민관협력사업 일환으로 저소득층 의료 지원[여수=뉴시스]김석훈 기자 = 여수광양항만공사 차민식 사장(왼쪽에서 세 번째)과 ㈜LG화학 윤명훈 여수공장 전무(오른쪽에서 세 번째)가 29일 여수시청에서 민관협력 사회공헌사업비 2000만 원씩 4000만 원의 후원증서를 권오봉 여수시장에게 전달하고 있다. (사진=여수시청 제공) 2020.01.30.[email protected][여수=뉴시스]김석훈 기자 = 전남 여수광양항만공사와 ㈜LG화학 여수공장이 저소득 중장년층의 맞춤형 의료서비스 지원을 위한 민관협력사업을 펼친다.30일 여수시에 따르면 여수광양항만공사(사장 차민식)와 ㈜LG화학 여수공장(전무 윤명훈)은 민관협력 사회공헌사업으로 써달라며 권오봉 여수시장에게 각각 2000만 원씩 총 4000만 원의 후원증서를 전달했다.후원금은 전남사회복지공동모금회를 거쳐 저소득 중장년·어르신의 치과 진료비 및 복지 용구 구입 지원비로 쓰인다.차민식 사장은 ""어려운 이웃 뿐 아니라, 지역사회를 위해 여수광양항만공사만이 할 수 있는 다양한 사회공헌활동을 펼치겠다""고 말했다.윤명훈 전무는 ""저소득 중장년층의 맞춤형 의료서비스 지원으로 자활 의지를 높이고, 사회의 구성원으로 활동할 수 있는 좋은 기회가 되기를 희망한다""고 말했다.권오봉 여수시장은 ""기탁한 후원금 덕분에 사랑의 온도탑의 온도뿐 아니라 지역주민의 행복지수를 한층 올리는 좋은 기회가 됐다""며 ""외롭고 힘든 이웃 없이 모두가 행복할 수 있도록 노력하겠다""고 말했다.◎공감언론 뉴시스[email protected]",http://www.newsis.com/view/?id=NISX20200130_0000903432&cID=10899&pID=10800,5
"""배터리 생산 늘려라""…LG화학, 폴란드 공장 전방위 채용",이투데이,2020.01.30.,본문 추출 실패,http://www.etoday.co.kr/news/section/newsview.php?idxno=1850032,5
"박진수 LG화학 이사회의장, 4000주 장내매도 < 이슈 < 산업 < 기사본문 - 이코노믹리뷰",이코노믹리뷰,2020.01.30.,기자명강민성 기자입력 2020.01.30 12:28,http://www.econovill.com/news/articleView.html?idxno=384113,4
"대한항공·LG화학, 온실가스감축·에너지절약 평가 1위",연합뉴스,2020/01/28 10:14 송고2020년01월28일 10시14분 송고,"E컨슈머-UNEP, 온실가스 감축 및 에너지사용 절약 평가(서울=연합뉴스) 최재서 기자 = 대한항공[003490]과 LG화학[051910]이 국내 100대 기업 대상 온실가스 감축과 에너지사용 절약 평가에서 각각 1위를 차지했다.에너지소비자단체 E컨슈머는 28일 유엔 산하 UNEP(Environmental Program)와 기업들의 지속가능경영 수준을 평가해 '그리닝 더 컴퍼니'(GREENING the COMPANY)를 선정했다고 밝혔다.온실가스 배출량과 에너지 사용량 데이터는 회사가 공시한 지속가능경영보고서를 참조했으며 2017년과 2018년 결과를 비교 평가했다.평가 결과 온실가스를 가장 많이 감축한 기업은 대한항공이었다. 이어 에쓰오일, 포스코[005490], SK에너지 등 순이었다.에너지 사용을 가장 많이 절약한 기업으로는 LG화학이 꼽혔고 롯데케미칼[011170], 삼성SDI[006400], 포스코 등이 뒤를 이었다.E컨슈머는 ""삼성전자[005930]와 현대자동차[005380]는 매출량 대비 온실가스 배출과 에너지사용량이 증가했다""며 ""이를 줄이기 위해 더 노력해야 한다""고 설명했다.이미지 확대그리닝 더 컴퍼니[E컨슈머 제공]acui721@yna.co.kr제보는 카카오톡 okjebo<저작권자(c) 연합뉴스,무단 전재-재배포, AI 학습 및 활용 금지>2020/01/28 10:14 송고2020년01월28일 10시14분 송고",http://yna.kr/AKR20200128054200003?did=1195m,5
"""손에 손 잡고""… LG화학, 전기차 배터리 '글로벌 No.2' 보인다",뉴데일리,입력 2020-01-30 08:37수정 2020-01-30 10:32,"""손에 손 잡고""… LG화학, 전기차 배터리 '글로벌 No.2' 보인다성재용 기자입력 2020-01-30 08:37수정 2020-01-30 10:32음성으로 듣기공유하기기사 공유하기페이스북X(트위터)카카오텔레그램네이버밴드메일링크복사https://biz.newdaily.co.kr/site/data/html/2020/01/30/2020013000012.html주소가 복사되었습니다.원하는 곳에 붙여넣기 하세요.글자크기가가가가음성으로 듣기GM 등 완성차 및 포스코 등 소재 기업 맞손전략적 동맹 기반 글로벌 영토확장 눈길안정적 수급망 확보… 시장점유율 도약 기대감▲ 배터리셀. ⓒLG전자LG화학이 글로벌 완성차 업체 및 소재 기업들과 잇달아 손을 잡으면서 전기차 배터리 '하이패스' 구축에 나섰다. 안정적으로 배터리를 확보해야 하는 글로벌 완성차 업체와 시장점유율 확대에 집중하고 있는 배터리 소재기업들과 전략적 동맹을 맺으며 영역을 확장해 가고 있는 것이다.원자재 수급부터 안정적 공급처까지 마련하면서 지난해 중국 BYD를 제치고 3위로 올라선 LG화학이 올해 2위로 한 단계 더 도약할 것이라는 전망이 제기된다.30일 업계에 따르면 LG화학은 적극적인 수주 전략과 공격적인 증설 계획을 통해 전기차 배터리 시장의 선두를 달리고 있다. SNE리서치 조사를 보면 2018년 출하량 기준 점유율 4위, 지난해 10월 3위로 올랐다.LG화학은 △메르세데스 벤츠 △폴크스바겐 △포드 △볼보 △GM △르노 △현대자동차 등 13개 글로벌 자동차 브랜드에 배터리를 공급하고 있다. 현재 150조원 규모의 수주를 확보한 것으로 알려졌다.LG화학 측은 ""대규모 수주물량을 바탕으로 안정적인 양산능력을 확보해 전기차 배터리를 중심으로 2024년 전체 배터리사업에 매출 30조원 이상을 달성할 것""이라며 ""선제적인 R&D로 가격, 성능, 안전성 측면에서 경쟁우위를 지속 확보해 3세대 전기차 프로젝트 수주에서도 확실한 1위를 수성해 나갈 것""이라고 말했다.세계 3대 전기차 시장인 미국과 중국, 유럽을 잡기 위한 투자도 활발하다.국내를 비롯해 미국, 중국, 폴란드에 4각 생산체계를 이미 갖췄으며 글로벌 완성차와 현지 수요를 잡기 위한 합작법인도 잇따라 세우고 있다. 배터리 업체는 안정적 수주를 통한 수요 확보를, 완성차 업체는 안정적 배터리 공급을 통한 부품 확보라는 장점이 있는 만큼 상생 모델인 셈이다.중국 최대 완성차 업체인 지리자동차, 미국 최대 자동차 회사인 GM 등과 합작법인을 설립해 중국과 미국에 배터리 공장을 시공 중이며 한국의 완성차 업체인 현대차와도 배터리 합작법인 설립에 대해 논의 중인 것으로 확인됐다.이를 통해 LG화학인 5개의 자체 생산 공장과 2개의 합작 생산공장 등 총 7개의 생산기지를 확보하게 된다.현재 LG화학의 글로벌 전기차 배터리 생산능력은 약 70GWh 수준으로, 올해 약 100GWh로 확대할 계획이다. 중국과 미국 1위 자동차 업체들과 손잡고, 국내 1위 자동차 기업인 현대차와도 합작법인을 설립하게 되면 글로벌 배터리 사업 규모는 더 커질 것으로 보인다.적극적인 투자를 위한 자금력도 확보한 상황이다. LG화학은 지난달 '해외 M&A·투자 공동지원 협의체'를 통해 KDB산업은행, 한국수출입은행, NH농협은행 등 금융기관으로부터 2024년까지 5년간 50억달러를 지원받기로 했다.양적 성장을 이루기 위한 '원활한 재료 수급'도 풍족해지고 있다.지난해 2분기 컨퍼런스콜에서 당시 LG화학의 사장이었던 정호영 사장은 ""3~4년 내로 국내에서 들여오는 양극재의 물량 비중을 50%까지 늘릴 계획""이라고 밝힌 바 있다. 양극재는 배터리 4대 핵심소재(양극재·음극재·전해질·분리막) 중 하나로, 배터리 성능과 용량을 결정하는 핵심 재료다. 특히 배터리 생산원가의 40%에 달할 정도로 큰 비중을 차지한다.이에 LG화학은 지난해 7월 구미시와 손잡고 양극재 생산 공장을 설립한다고 밝혔다. 내년까지 연간 약 6만톤 규모의 양극재를 생산하는 공장을 건설하는 내용의 투자로, 규모만 약 5000억원이다.여기에 최근에는 포스코케미칼과 1조8533억원이라는 대규모 양극재 공급 계약을 체결하면서 약속대로 국내 물량 비중을 높이고 있다. 본 계약을 두고 업계에서는 LG화학이 안정적인 배터리 핵심소재 수급처를 확보했다는 평가를 내렸다. 이 계약을 통해 LG화학은 포스코케미칼로부터 최대 12만톤 규모의 양극재를 공급받는다.포스코케미칼은 안정적인 양극재 양산을 위해 전남 광양시 율촌산단에 올 상반기 연산 3만톤 규모로 생산라인을 증설하고 시장 상황에 따라 단계적으로 9만톤까지 확대할 계획이다. 또 2021년까지 음극재공장의 2단계 증설 투자에 나선다고 밝히기도 했다.앞서 글로벌 양극재 업체인 벨기에 '유미코아(Umicore)' 총 12만5000톤의 양극재를 공급받는 계약을 체결한 바 있다. 해당 물량까지 더하면 380㎞ 이상 주행 가능한 고성능 전기차 기준 200만대에 납품할 수 있는 규모를 확보한 셈이다.업계 한 관계자는 ""포스코케미칼과의 협력으로 독자 기술력 유지가 가능한 수준에서 안정적 공급처를 확보했고, 투자 안정성도 높일 수 있는 전 세계 유수 완성차 업체들과도 합작법인 설립을 적극 추진하고 있다""며 ""급성장하는 전기차 시장에서 주도권을 확보할 것으로 전망된다""고 말했다.한편, 미래에셋대우에 따르면 지난해 25조원인 전 세계 전기차 배터리 시장은 올해 39조3000억원으로 57% 성장하고 2023년에는 95조8000억원까지 급격히 커질 전망이다. 국내도 다르지 않다. 과학기술정보통신부는 지난해 4만2000대인 국내 전기차 판매량이 2030년에는 44만대까지 성장해 완성차 시장의 24.4%를 차지할 것으로 예상한다.성재용 기자이메일 보내기기자의 다른기사 더보기Copyrights ⓒ 2005 뉴데일리 NewDaily무단전재·재배포 금지press@newdaily.co.kr보도자료 및 기사제보뉴데일리 댓글 운영정책라이브리 댓글 작성을 위해 Javascript를 활성화 해주세요.이 시각 주요뉴스트럼프 관세 90일 유예 '가짜뉴스'에 놀아난 美 증시 … 사상 초유 '빅 롤러코스터'미국 도널드 트럼프 행정부의 관세정책 불확실성으로 7일(현지시각) 뉴욕증시가 '빅 롤러코스터 장세'를 펼친 끝에 앞선 2거래일간 이뤄졌던 투매가 다소 진정되는 양상을 보였다.기술주 중심의 나스닥 종합지수는 장중 낙폭..美 강달러 뒤집기 본격화하나 … 日 흔든 '플라자합의' 데자뷔 스멀스멀 韓도 대비해야삼성전자, 갤럭시S25 흥행에 깜짝 실적 … '바닥론' 힘 받나""역사상 가장 큰 자해"" … 서머스 전 美재무, 트럼프 관세 맹비난몰아치는 트럼프發 청구서 … 농민·어민·축산인·수산인 또 눈물 흘리나윤서인의 뉴데툰망상 판타지285화: 나라가 잘 사는 근본이 뭔지 전혀 모르는 사람들새벽N 뉴스레터에너지·화학많이 본 기사01[단독] 삼성SDI, 세계 1위 ESS 업체 뚫었다 … 美 플루언스에 배터리 공급02[단독] 서산 정전에 손실 수백억 … LG·롯데, 이번에도 손실 다 떠안나03'싸게, 더 싸게' … K-배터리, 가성비로 돌파구 찾는다04풍력 No! 태양광·배터리 OK … 美 에너지 정책 기류 변하나05유럽에 공장 쏠린 K-배터리 … 트럼프 관세에 '발등에 불'06정유·석유화학업계, 러·우 휴전 기대감에 '봄바람'07'성장률 5%' 돈 푸는 中 … 불황 닥친 韓 석유화학에도 온기 돌까08효성화학, 3년 적자 끊는다 … '폴리케톤' 영업력 강화09LG화학, 美 투자 속도낸다 … 내년 현지서 양극재 생산10실탄 급한데 … LG화학, '공매도'에 LG엔솔 지분매각 비상등전국뉴스대구·경북이철우, 9일 대선 출마 선언 ‘박정희 생가 참배’충청·세종복기왕·김영석 與野 충남도당위원장, ‘尹 파면’ 헌재 결정 놓고 ‘충돌’호남·제주전남도, 572억 투입해 미래형 양식산업 육성 … 친환경양식 생산기반 구축한다경기·인천유정복 인천시장, 9일 '인천상륙작전' 현장서 대선 출마부산·경남박완수 경남지사 ""헌재 결정 존중, 국론 분열 멈추고 통합해야""강원원주시, '경제위기 극복 긴급처방 예산' 1조8501억 편성뉴데일리 경제많이 본 기사01삼성전자, 갤럭시S25 흥행에 깜짝 실적 … '바닥론' 힘 받나02'보수 지지율 1위' 김문수, 오늘 장관직 사퇴 … 대선 출마한다03애경산업 매각 등 ‘뉴 애경’ 시동 … 제주항공, LCC 인수로 그룹 내 위상 커지나04은행들 ""업종별 위험가중자산 차등해 달라"" 요구한 까닭은05美 증시 안정에 삼전 '깜짝 실적'까지 … 코스피·코스닥 동반 강세06인도 ""BYD 오지마""  … 현대차·LG엔솔 반사이익 얻나07美 관세 늪에 이차전지株 ‘허우적’ … ‘바닥 탈출’은 언제?08크라우드웍스, 공인 AI 전문가 양성기관에 크라우드아카데미 선정09SK에코플랜트, 수익성 나아졌지만 … 빚폭탄 시계 '째깍째깍'10알리바바 국제 로펌에 '신세계-알리' 자문 구해, 합작법인 출범 '9부 능선' 안간힘",http://biz.newdaily.co.kr/site/data/html/2020/01/30/2020013000012.html,1
"LG화학, 박진수 이사회의장 4000주 장내매도",이데일리,2020.01.29.,본문 추출 실패,http://www.edaily.co.kr/news/newspath.asp?newsid=03958966625642640,5
"LG화학, 테슬라와 전기차배터리 공급 협약",한국경제,2020.01.30.,"정영효 기자기자 구독입력2020.01.30 22:16수정2020.01.30 22:16글자크기 조절기사 스크랩기사 스크랩공유공유댓글0댓글클린뷰클린뷰프린트프린트LG화학이 미국 전기차 기업 테슬라와 전기차 배터리 공급을 위한 파트너십을 체결하기로 합의했다고 30일 로이터통신이 보도했다.파트너십에 따르면 테슬라는 전기차 배터리 물량 일부를 LG화학 및 중국 CATL로부터 납품받는다. 그동안 테슬라는 일본 파나소닉과 오랜 기간 배터리 공급 협약을 이어왔다. LG화학은 테슬라의 상하이 공장에 배터리를 공급할 것으로 보인다. 테슬라는 새로운 파트너십에 대한 구체적인 내용은 공개하지 않았다.LG화학은 공식적인 답변을 내놓지 않았다고 로이터통신은 보도했다.정영효 기자 hugh@hankyung.com좋아요싫어요후속기사 원해요ⓒ 한경닷컴, 무단전재 및 재배포 금지한국경제 구독신청모바일한경 보기ADVERTISEMENT관련 뉴스1테슬라, 첫 2분기 연속 흑자전기차 기업 테슬라가 2개 분기 연속 흑자를 발표했다. 2003년 출범 이래 처음이다. 반면 항공기 제조사 보잉은 22년 만에 적자 기업이 돼 희비가 엇갈렸다. 29일(현지시간) AP통신에 따르면 테슬라는 작년 4분...2스페이스X 통신위성 60기 추가 발사..1만2000대의 인공위성으로 지구를 에워싸 전 세계 어디서나 1기가비트(Gbps)급 초고속 인터넷을 저렴하게 쓸 수 있도록 하겠다는 일론 머스크 테슬라 최고경영자(CEO)의 꿈이 착착 현실화하고 있다. CNN 등은 ...3테슬라, 2분기 연속 순익…주가는 고공행진작년 4분기 매출 73억달러·순이익 1억500만달러 세계 최대 전기차 업체 테슬라가 높은 판매량에 힘입어 2분기 연속 순이익을 기록했다. 30일 AP통신에 따르면 테슬라는 작년 10~12월 순이익 1억5...ADVERTISEMENT",https://www.hankyung.com/international/article/202001308778i,5
"[강세 토픽] 2차전지 - 배터리 생산 테마, 삼성SDI +2.79%, LG화학 +2.39%",조선비즈,2020.01.30.,본문 추출 실패: 'NoneType' object has no attribute 'strip',https://biz.chosun.com/site/data/html_dir/2020/01/30/2020013000697.html?utm_source=naver&utm_medium=original&utm_campaign=biz,4
떼느냐 마느냐···LG화학이 ‘배터리 분사’ 고심하는 까닭,시사저널이코노미,2020.01.30.,화학떼느냐 마느냐···LG화학이 ‘배터리 분사’ 고심하는 까닭,http://www.sisajournal-e.com/news/articleView.html?idxno=212837,2
"LG화학, 30일 3.43%변동…",공감신문,2020.01.30.,본문 추출 실패,http://www.gokorea.kr/news/articleView.html?idxno=655119,1
