제목,언론사,날짜,본문,링크
포드·벤츠·현대차 등 15개 차종 3만5868대 리콜,스포츠동아,5,본문 추출 실패,http://sports.donga.com/3/all/20200130/99457762/1
"현대차 3형제, 작년 매출 200조원·영업익 7년만에 증가(종합)",연합뉴스,2020/01/30 14:14 송고2020년01월30일 14시14분 송고,"최윤정기자구독구독중이전다음현대차·기아차·현대모비스 영업이익 합계 8조원(서울=연합뉴스) 최윤정 기자 = 현대차그룹 3형제의 작년 매출이 처음으로 200조원을 넘고 영업이익은 7년 만에 증가했다.30일 현대차·기아차·현대모비스 3사에 따르면 작년 매출액 합계가 202조원에 육박했다.현대차와 기아차는 지난해 매출액이 각각 105조7천904억원과 58조1천460억원이라고 22일 발표했다. 이어 현대모비스는 30일 작년 매출이 38조488억원이라고 밝혔다.지난해 3사 매출액 증가율은 8.5%로 2012년(10.3%) 이후 가장 높다.이미지 확대세계 금융위기 영향을 벗어난 2011년 이래로는 매출 증가세가 이어지긴 했지만 2013년부터는 속도가 느려졌고 2017년과 2018년에는 2년 연속 0%대에 그쳤다.영업이익은 7년 만에 증가세로 돌아섰다.지난해 3사 영업이익은 8조537억원으로 전년(5조6천47억원)에 비해 43.7% 늘었다.현대·기아차 작년 영업이익은 각각 3조6천847억원, 2조97억원으로 전년보다 52.1%와 73.6% 뛰었다. 현대모비스는 16.5% 늘어난 2조3천593억원이다.3사 영업이익은 2012년 14조8천693억원으로 정점을 찍고 줄곧 감소했으며 2017년(-31.2%)과 2018년(-22.8%)에는 상당히 큰 폭으로 줄었다. 현대·기아차는 지난해 원화 약세 효과에 판매단가가 높은 스포츠유틸리티차(SUV) 비중이 올라가며 이익이 많이 늘었다.새로 나온 대형 SUV인 팰리세이드·텔루라이드와 소형 SUV 코나가 국내외에서 인기를 끌었다. 현대차그룹 3사 실적은 올해 더 좋아진다는 관측이 많다.이미지 확대현대자동차와 현대모비스[연합뉴스TV 제공]삼성증권 임은영 애널리스트는 ""현대차는 올해 영업이익률 5% 달성목표에 신뢰감이 상승하고 있다""며 올해 영업이익을 5조3천억원으로 전망했다.DB투자증권 김평모 애널리스트는 ""기아차는 하반기에 주력 신차인 쏘렌토와 K5 판매가 본격화하고 인도법인 흑자전환 효과가 더해질 것""이라며 영업이익을 약 2조2천400억원으로 추정했다.송선재 하나금융투자 애널리스트는 유럽의 환경규제 강화로 현대·기아차 친환경차 생산이 늘어날 수 밖에 없고, 이에 따라 현대모비스의 전동화 부품 매출이 30% 증가할 것이라고 내다봤다.그는 올해 현대모비스 매출액과 영업이익이 40조원과 2조5천억원을 넘을 것으로 전망했다.[표] 현대차·기아차·현대모비스 실적 합계(단위: 억원)매출증감율(%)영업이익증감율(%)20091,381,38785,09820101,249,558-9.54109,15628.320111,472,83417.87141,65229.820121,625,01610.33148,6935.020131,691,0414.06144,170-3.020141,714,7991.40132,637-8.020151,774,9983.51116,468-12.220161,846,2364.01105,597-9.320171,850,5640.2372,618-31.220181,861,3160.5856,047-22.820192,019,8528.5280,53743.7merciel@yna.co.kr제보는 카카오톡 okjebo<저작권자(c) 연합뉴스,무단 전재-재배포, AI 학습 및 활용 금지>2020/01/30 14:14 송고2020년01월30일 14시14분 송고",http://yna.kr/AKR20200129159351003?did=1195m
'최대실적' 현대차證 배당 33% 확 늘려 - 딜사이트,딜사이트,2020.01.30.,본문 추출 실패,https://www.paxnetnews.com/articles/56444
"SK, 재계 서열 2위로 올라서나..현대차와 경쟁 치열",이데일리언론사 선정,2020.01.29.,본문 추출 실패,http://www.edaily.co.kr/news/newspath.asp?newsid=01722006625642640
"모비스 지난해 영업익 2조3,593억원…전기차 부품·非현대차 수출이 견인 | 서울경제",서울경제언론사 선정,입력,본문 추출 실패,https://www.sedaily.com/NewsView/1YXUJVVHBL
"현대차, 우한 폐렴 사태에 中 시장 판매회복 기대 ‘먹구름’ - 조선비즈",조선비즈언론사 선정,2020.01.30.,본문 추출 실패,https://biz.chosun.com/site/data/html_dir/2020/01/29/2020012903011.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"ADI, 현대차와 차세대 소음 제거 시스템 공동개발",IT조선,2020.01.30.,전체메뉴기사검색기사검색검색닫기기사검색기사검색검색닫기로그인facebookpostUPDATED. 2025-04-05 17:43 (토)기사검색,http://it.chosun.com/site/data/html_dir/2020/01/30/2020013002995.html
삼성·현대차 등 6개 대기업 금융그룹 리스크 방지안 나온다(종합),아시아경제,2020.01.29.,"금융그룹감독제 세미나 개최김상조 정책실장 등 참석상반기 모범규준 개정 방침AD원본보기 아이콘[아시아경제 조강욱 기자] 삼성, 현대차, 한화, 미래에셋 등 6개 대기업 금융그룹에 대한 리스크 사전방지안이 만들어진다. 현재 자본규제를 통해 리스크를 관리하는 사후적 방식 대신 한 계열사의 부실이 다른 계열사로 전이될 수 있는 위험 등을 사전에 방지하기 위한 방안이다. 금융당국은 이 같은 내용을 포함해 빠르면 상반기 안에 금융그룹감독제도 모범규준을 개정할 방침이다.29일 금융권에 따르면 금융당국은 지난해 시작한 금융그룹감독제도 개선에 대한 연구용역을 최근 마무리짓고 이날 오후 '금융그룹감독제도 향후 추진방향'을 주제로 세미나를 개최, 그 결과를 논의할 예정이다. 이번 세미나에는 민병두 국회 정무위원회 위원장을 비롯해, 은성수 금융위원장, 김상조 대통령비서실 정책실장 등이 참석한다. 특히 김 실장의 참석은 정부가 금융그룹감독제도의 법제화 추진에 힘을 싣겠다는 의도로 해석된다. 금융그룹감독제도는 문재인 정부의 100대 국정과제 중 하나이기도 하다.자본시장연구원에서는 박창균 선임연구위원이 주요국의 금융그룹감독체계 운영현황과 시사점을, 한국금융연구원에서는 이재연 선임연구위원이 우리나라 금융그룹감독제도의 성과와 과제에 대해 주제발표를 할 계획이다. 또 이인호 서울대 경제학부 교수(금융발전심의회 위원장)를 좌장으로 이창민 한양대 경영학부 교수, 민세진 동국대 경제학과 교수, 김병호 한화생명 상무(최고리스크관리책임자ㆍCRO), 이시연 금융연구원 연구위원, 이성복 자본시장연구원 연구위원, 신진창 금융위 금융그룹감독혁신단장, 최성일 금감원 부원장보 등이 패널로 참여해 금융그룹감독제도 보완 필요사항 및 향후 추진방향에 대해 토론을 진행할 예정이다.박창균 연구위원은 ""글로벌 금융위기를 겪으면서 이제는 한 그룹 안에 있는 두 개의 금융사에서 문제가 발생할 경우 1 더하기 1이 2가 아니라 3이나 4로 위험도가 커질 수 있다는 것을 알게 됐다""면서 ""금융지주에 대한 감독 규제는 일정 부분 이뤄지고 있지만 금융그룹에 대한 규제는 미흡한 상태이기 때문에 유럽, 호주, 미국, 일본 등의 사례를 들어 보완점을 발표할 것""이라고 말했다.금융당국은 지난 2018년부터 금융지주를 제외하고 금융자산이 5조원을 넘어선 그룹 중 여수신ㆍ보험ㆍ금투업 중 2개 이상 업종을 영위하는 금융그룹에 대한 금융그룹감독제도 모범규준을 도입해 시행 중이다. 삼성, 현대차, 한화, 미래에셋, 교보, DB 등 6개 금융그룹이 대상이다. 롯데그룹은 카드사와 손해보험사를 매각하면서 지난해 12월 금융그룹 감독대상에서 제외됐다.이번 연구용역 결과의 골자는 △금융계열사 복원력 △금융그룹 내 집중ㆍ전이위험 평가 △금융그룹발 시스템 리스크 평가 등 세 가지 큰 줄기에서 금융그룹감독제도에 리스크 사전 방지안을 만드는 것으로 파악됐다. 금융그룹 내 자금이 특정 분야에 과도하게 쏠리는 집중위험이나 계열사 부실이 다른 계열사로 전이되는 전이위험 등도 구분하지 않고 전반적으로 규제하는 안도 포함됐다.이재연 연구위원은 ""현재 시행되고 있는 모범규준은 매년 해당 그룹의 위험관리 실태와 자본 적정성을 평가하는 사후적 규제방식에 초점이 맞춰져 있다""면서 ""특히 비금융계열사와의 출자관계 등에 따라 동반부실이 발생할 수 있는 전이위험이 가장 큰 문제인데 이에 대한 사전적 대처를 더욱 강조할 필요가 있다""고 설명했다.한편 금융그룹통합감독법 제정안은 국회 정무위원회 법안심사소위원회에 상정됐지만 한 번도 심의되지 못했다. 20대 국회가 끝나는 오는 5월 29일까지 통과되지 못하면 자동 폐기된다.조강욱 기자 jomarok@asiae.co.krAD꼭 봐야할 주요뉴스""23년부터 추락 시작""…한국 '여권 파워' 세계 39...마스크영역""안희정, 성폭행 피해자에 8304만원 배상"" 판결 확정유시민 ""이재명, 대통령 가능성 상당…檢 유혹만 안 넘어가면 돼""술 두 캔 슬쩍하려다 '발각'…잡고 보니 프로야구 350승 전설 투수[일본人사이드]'친구랑은 좀…' 혼자만, 밤 중에만 먹는다는 '피자' 뭐길래<ⓒ투자가를 위한 경제콘텐츠 플랫폼, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>",https://view.asiae.co.kr/article/2020012913390561860
현대차 오르니 부품주도 가속 페달,파이낸셜뉴스,13면 1단,본문 추출 실패,http://www.fnnews.com/news/202001301813211885
"현대차 비정규직 노조 ""근로자 지위 인정하라"" 법원앞 농성 돌입",연합뉴스,2020/01/29 11:42 송고2020년01월29일 11시42분 송고,"(서울=연합뉴스) 권선미 기자 = 현대자동차 비정규직노조가 하청노동자의 근로자 지위확인소송을 재판중인 법원에 ""근로자 지위를 인정하라""고 촉구하며 법원 청사 앞에서 연좌농성에 돌입했다.이들은 29일 오전 서울 서초구 서울중앙지법 앞에서 기자회견을 열고 ""우리 하청 비정규직 노동자들은 오늘 이 시간 이후 이 자리에서 법원의 판단을 지켜보겠다""고 말했다.현대차 하청노동자의 근로자지위 확인소송 사건 선고는 다음달 6일과 13일로 예정돼 있다고 이들은 설명했다.노조는 ""현대자동차는 2004년 고용노동부로부터 불법파견 사업장으로 판단된 사업장""이라며 ""그런데도 현대자동차 내 하청노동자들에 대해 제대로 된 정규직 전환이 이뤄지지 않고 있다""고 지적했다.그러면서 ""현대글로비스, 현대모비스 등 현대자동차 계열사를 중간에 끼워 넣은 중간 재하도급 형태의 2차 하청 비정규직 노동자들이 현대자동차 생산 현장 내에 확산돼 남용되고 있다""며 ""2014년, 2017년 서울중앙지법과 서울고등법원은 이러한 형태의 2차 하청 노동자도 불법파견이라고 판단했다""고 설명했다.이어 ""현대자동차는 2차 하청 불법파견 문제는 모르쇠로 일관하며 현대자동차와 직접적인 이해 당사자들이 아니라고 주장하고 있다""며 ""이는 계열사로 일감을 몰아주고 이중, 삼중 착취구조를 강화해 계속해서 하청노동자들의 피와 땀으로 부당이윤을 쌓아 올리겠다는 의미""라고 비판했다.이들은 법원에 ""사측의 불법행위에 면죄부를 쥐어주는 판결이 아니라 제조업 내 모든 형태의 하도급제 철폐와 불법파견 비정규직 사용에 경종을 울리는 판결을 촉구한다""고 강조했다.fortuna@yna.co.kr제보는 카카오톡 okjebo<저작권자(c) 연합뉴스,무단 전재-재배포, AI 학습 및 활용 금지>2020/01/29 11:42 송고2020년01월29일 11시42분 송고",http://yna.kr/AKR20200129084500004?did=1195m
